,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,4 Conjola Close ,-35.1710369,149.1237940,house,4,2,2,"$860,000",https://www.auhouseprices.com/sold/view/ACT/341058270/4+Conjola+Close%2C+Amaroo+ACT/
1,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,92 Burdekin Avenue ,-35.1658346,149.1253713,house,5,2,2,"$905,000",https://www.auhouseprices.com/sold/view/ACT/341345370/92+Burdekin+Avenue%2C+Amaroo+ACT/
2,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,3 Allyn Close ,-35.1701904,149.1227180,house,3,2,4,"$640,000",https://www.auhouseprices.com/sold/view/ACT/341467070/3+Allyn+Close%2C+Amaroo+ACT/
3,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,11 Annan Close ,-35.1700748,149.1267333,house,3,2,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341505070/11+Annan+Close%2C+Amaroo+ACT/
4,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,45 Burdekin Avenue ,-35.1687867,149.1205077,house,4,2,5,"$1,000,000",https://www.auhouseprices.com/sold/view/ACT/341752970/45+Burdekin+Avenue%2C+Amaroo+ACT/
5,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,2 Benaroon Circuit ,-35.1705758,149.1356613,house,4,2,2,"$855,000",https://www.auhouseprices.com/sold/view/ACT/341081970/2+Benaroon+Circuit%2C+Amaroo+ACT/
6,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,1/11 Clara Close ,-35.1743311,149.1217704,townhouse,3,1,3,"$526,000",https://www.auhouseprices.com/sold/view/ACT/341183270/1-11+Clara+Close%2C+Amaroo+ACT/
7,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,52 Wanderer Court ,-35.1691886,149.1176307,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341851870/52+Wanderer+Court%2C+Amaroo+ACT/
8,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,12 Bywaters Street ,-35.1700990,149.1217605,house,4,2,2,"$805,000",https://www.auhouseprices.com/sold/view/ACT/341547770/12+Bywaters+Street%2C+Amaroo+ACT/
9,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,2/32 Roderick Street ,-35.1744766,149.1255552,townhouse,3,1,1,"$505,000",https://www.auhouseprices.com/sold/view/ACT/341696770/2-32+Roderick+Street%2C+Amaroo+ACT/
10,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,33 Dulverton Crescent ,-35.1675422,149.1287532,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341808770/33+Dulverton+Crescent%2C+Amaroo+ACT/
11,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,5 Larpent Street ,-35.1722231,149.1317079,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341095670/5+Larpent+Street%2C+Amaroo+ACT/
12,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,4 Meerup Street ,-35.1712498,149.1337356,house,4,2,2,"$1,080,000",https://www.auhouseprices.com/sold/view/ACT/341145670/4+Meerup+Street%2C+Amaroo+ACT/
13,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,5 Marrett Street ,-35.1701335,149.1300614,house,4,2,3,,https://www.auhouseprices.com/sold/view/ACT/341695570/5+Marrett+Street%2C+Amaroo+ACT/
14,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,1/43 Bywaters Street ,-35.1691714,149.1239477,townhouse,3,2,2,"$577,000",https://www.auhouseprices.com/sold/view/ACT/341662260/1-43+Bywaters+Street%2C+Amaroo+ACT/
15,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,21 Conjola Close ,-35.1713513,149.1243731,house,5,2,5,"$1,025,000",https://www.auhouseprices.com/sold/view/ACT/341267160/21+Conjola+Close%2C+Amaroo+ACT/
16,2914,Amaroo,77,https://www.auhouseprices.com/sold/list/ACT/2914/Amaroo/,53 Benaroon Circuit ,-35.1705891,149.1374621,house,4,2,2,"$800,000",https://www.auhouseprices.com/sold/view/ACT/341902160/53+Benaroon+Circuit%2C+Amaroo+ACT/
