,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,46 Bilin Bilin Street ,-35.1521812,149.1460622,house,5,3,2,"$1,050,000",https://www.auhouseprices.com/sold/view/ACT/341271370/46+Bilin+Bilin+Street%2C+Bonner+ACT/
1,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,103 Essie Coffey Street ,-35.1542885,149.1385436,house,3,2,2,"$705,000",https://www.auhouseprices.com/sold/view/ACT/341825270/103+Essie+Coffey+Street%2C+Bonner+ACT/
2,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,6 Maria Lock Street ,-35.1549016,149.1471984,house,4,2,2,"$808,000",https://www.auhouseprices.com/sold/view/ACT/341427270/6+Maria+Lock+Street%2C+Bonner+ACT/
3,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,3 Numiari Street ,-35.1578796,149.1399000,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341921270/3+Numiari+Street%2C+Bonner+ACT/
4,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,36 Irinyili Street ,-35.1559125,149.1359187,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341776970/36+Irinyili+Street%2C+Bonner+ACT/
5,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,37 Roy Marika Street ,-35.1558020,149.1411518,house,4,2,2,"$780,000",https://www.auhouseprices.com/sold/view/ACT/341234970/37+Roy+Marika+Street%2C+Bonner+ACT/
6,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,37 Milerum Lane ,-35.1552624,149.1354626,house,3,1,1,"$586,000",https://www.auhouseprices.com/sold/view/ACT/341544870/37+Milerum+Lane%2C+Bonner+ACT/
7,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,113 Ida West Street ,-35.1527463,149.1446940,house,4,2,2,"$830,000",https://www.auhouseprices.com/sold/view/ACT/341072870/113+Ida+West+Street%2C+Bonner+ACT/
8,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,6 Syddall Street ,-35.1570129,149.1486260,house,4,2,2,"$790,500",https://www.auhouseprices.com/sold/view/ACT/341441870/6+Syddall+Street%2C+Bonner+ACT/
9,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,37 Henry Williams Street ,-35.1550733,149.1476859,house,5,3,2,"$1,052,000",https://www.auhouseprices.com/sold/view/ACT/341942870/37+Henry+Williams+Street%2C+Bonner+ACT/
10,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,32 Bieundurry Street ,-35.1532710,149.1384730,house,4,3,2,"$777,000",https://www.auhouseprices.com/sold/view/ACT/341250770/32+Bieundurry+Street%2C+Bonner+ACT/
11,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,44 Bieundurry Street ,-35.1532608,149.1375178,house,4,2,2,"$785,000",https://www.auhouseprices.com/sold/view/ACT/341042670/44+Bieundurry+Street%2C+Bonner+ACT/
12,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,21/10 Charles Perkins Circuit ,-35.1585411,149.1450588,house,3,2,1,"$500,000",https://www.auhouseprices.com/sold/view/ACT/341232570/21-10+Charles+Perkins+Circuit%2C+Bonner+ACT/
13,2914,Bonner,98,https://www.auhouseprices.com/sold/list/ACT/2914/Bonner/,168 Roden Cutler Drive ,-35.1513994,149.1362288,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341418460/168+Roden+Cutler+Drive%2C+Bonner+ACT/
