,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,4/82 Pennington Crescent ,-35.4419351,149.1008530,townhouse,3,1,1,"$530,000",https://www.auhouseprices.com/sold/view/ACT/341711470/4-82+Pennington+Crescent%2C+Calwell+ACT/
1,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,87 O'Connor Circuit ,-35.4425153,149.1076055,house,5,3,2,,https://www.auhouseprices.com/sold/view/ACT/341664370/87+O%27Connor+Circuit%2C+Calwell+ACT/
2,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,6 Mackrell Place ,-35.4448099,149.1000862,house,3,2,1,"$850,000",https://www.auhouseprices.com/sold/view/ACT/341233270/6+Mackrell+Place%2C+Calwell+ACT/
3,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,50 Must Circuit ,-35.4364572,149.0988227,house,2,1,2,"$605,000",https://www.auhouseprices.com/sold/view/ACT/341101270/50+Must+Circuit%2C+Calwell+ACT/
4,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,22 Casey Crescent ,-35.4373373,149.1098718,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341236170/22+Casey+Crescent%2C+Calwell+ACT/
5,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,6 Roope Close ,-35.4365766,149.1121321,house,3,1,1,"$640,000",https://www.auhouseprices.com/sold/view/ACT/341239070/6+Roope+Close%2C+Calwell+ACT/
6,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,56 Must Circuit ,-35.4371646,149.0985767,house,5,2,2,,https://www.auhouseprices.com/sold/view/ACT/341124070/56+Must+Circuit%2C+Calwell+ACT/
7,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,12 Casey Crescent ,-35.4367801,149.1108045,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341099270/12+Casey+Crescent%2C+Calwell+ACT/
8,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,5/10 Minehan Place ,-35.4457353,149.1021226,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341325970/5-10+Minehan+Place%2C+Calwell+ACT/
9,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,3 Oman Place ,-35.4376169,149.0948543,house,4,2,2,"$740,000",https://www.auhouseprices.com/sold/view/ACT/341828170/3+Oman+Place%2C+Calwell+ACT/
10,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,26 Johnstone Circuit ,-35.4344608,149.0969865,house,4,2,2,"$760,000",https://www.auhouseprices.com/sold/view/ACT/341087770/26+Johnstone+Circuit%2C+Calwell+ACT/
