,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,101 Blamey Crescent ,-35.2882076,149.1531834,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341632470/101+Blamey+Crescent%2C+Campbell+ACT/
1,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,10 Elliott Street ,-35.2913643,149.1546194,house,5,4,2,,https://www.auhouseprices.com/sold/view/ACT/341762070/10+Elliott+Street%2C+Campbell+ACT/
2,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,6/1 Provan Street ,-35.2882190,149.1439306,unit,3,2,2,"$1,150,000",https://www.auhouseprices.com/sold/view/ACT/341601070/6-1+Provan+Street%2C+Campbell+ACT/
3,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,29 Chowne Street ,-35.2870933,149.1453807,house,4,2,2,"$1,585,000",https://www.auhouseprices.com/sold/view/ACT/341222970/29+Chowne+Street%2C+Campbell+ACT/
4,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,42 Holmes Crescent ,-35.2893351,149.1617343,house,5,2,3,"$2,120,000",https://www.auhouseprices.com/sold/view/ACT/341843970/42+Holmes+Crescent%2C+Campbell+ACT/
5,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,410/6 Provan Street ,-35.2887970,149.1438688,apartment,2,2,2,"$730,000",https://www.auhouseprices.com/sold/view/ACT/341369870/410-6+Provan+Street%2C+Campbell+ACT/
6,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,10/19 Ryrie Street ,-35.2845339,149.1514304,villa,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341336770/10-19+Ryrie+Street%2C+Campbell+ACT/
7,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,4/12 Key Street ,-35.2840857,149.1507809,townhouse,3,2,2,"$1,220,000",https://www.auhouseprices.com/sold/view/ACT/341933770/4-12+Key+Street%2C+Campbell+ACT/
8,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,2/54 Jacka Crescent ,-35.2903580,149.1510602,townhouse,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341599570/2-54+Jacka+Crescent%2C+Campbell+ACT/
9,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,2/12 Key Street ,-35.2840857,149.1507809,townhouse,3,2,2,"$1,065,000",https://www.auhouseprices.com/sold/view/ACT/341194360/2-12+Key+Street%2C+Campbell+ACT/
10,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,4 Elliott Street ,-35.2915986,149.1551314,house,4,3,2,"$2,100,000",https://www.auhouseprices.com/sold/view/ACT/341338260/4+Elliott+Street%2C+Campbell+ACT/
11,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,323/1 Kalma Way ,-35.2903061,149.1436667,apartment,1,1,1,"$455,000",https://www.auhouseprices.com/sold/view/ACT/341513260/323-1+Kalma+Way%2C+Campbell+ACT/
12,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,227/20 Anzac Park ,-35.2888406,149.1429354,apartment,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341302260/227-20+Anzac+Park%2C+Campbell+ACT/
13,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,18/6 Edmondson Street ,-35.2858904,149.1522030,apartment,2,1,0,"$448,500",https://www.auhouseprices.com/sold/view/ACT/341329160/18-6+Edmondson+Street%2C+Campbell+ACT/
14,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,310/21 Provan Street ,-35.2901356,149.1431125,apartment,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341372260/310-21+Provan+Street%2C+Campbell+ACT/
15,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,89 Waller Crescent ,-35.2858497,149.1585192,house,4,2,1,"$1,330,000",https://www.auhouseprices.com/sold/view/ACT/341869960/89+Waller+Crescent%2C+Campbell+ACT/
16,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,21 Truscott Street ,-35.2864509,149.1627131,house,3,2,3,"$1,417,500",https://www.auhouseprices.com/sold/view/ACT/341953960/21+Truscott+Street%2C+Campbell+ACT/
17,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,14 Godfrey Street ,-35.2859744,149.1611282,house,4,2,1,,https://www.auhouseprices.com/sold/view/ACT/341850960/14+Godfrey+Street%2C+Campbell+ACT/
18,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,308/6 Provan Street ,-35.2887970,149.1438688,apartment,3,2,2,"$828,000",https://www.auhouseprices.com/sold/view/ACT/341107860/308-6+Provan+Street%2C+Campbell+ACT/
19,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,24 Garsia Street ,-35.2901785,149.1498271,house,6,3,2,,https://www.auhouseprices.com/sold/view/ACT/341587860/24+Garsia+Street%2C+Campbell+ACT/
20,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,22 Gellibrand Street ,-35.2893432,149.1602722,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341967660/22+Gellibrand+Street%2C+Campbell+ACT/
21,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,12/137 Blamey Crescent ,-35.2908527,149.1529831,apartment,1,1,1,"$200,000",https://www.auhouseprices.com/sold/view/ACT/341914660/12-137+Blamey+Crescent%2C+Campbell+ACT/
22,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,304/59 Constitution Avenue ,-35.2907784,149.1439761,apartment,2,2,2,"$642,000",https://www.auhouseprices.com/sold/view/ACT/341023560/304-59+Constitution+Avenue%2C+Campbell+ACT/
23,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,62 Gellibrand Street ,-35.2925969,149.1572800,house,5,3,2,"$1,560,000",https://www.auhouseprices.com/sold/view/ACT/341059350/62+Gellibrand+Street%2C+Campbell+ACT/
24,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,16 Gellibrand Street ,-35.2887726,149.1604220,house,3,3,2,"$1,425,000",https://www.auhouseprices.com/sold/view/ACT/341718350/16+Gellibrand+Street%2C+Campbell+ACT/
25,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,48 Getting Crescent ,-35.2888985,149.1472865,house,4,3,2,"$1,755,000",https://www.auhouseprices.com/sold/view/ACT/341664250/48+Getting+Crescent%2C+Campbell+ACT/
26,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,19/6 Edmondson Street ,-35.2858904,149.1522030,apartment,2,1,0,"$487,500",https://www.auhouseprices.com/sold/view/ACT/341321250/19-6+Edmondson+Street%2C+Campbell+ACT/
27,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,19/8 Edmondson Street ,-35.2857088,149.1522751,apartment,2,1,0,"$447,000",https://www.auhouseprices.com/sold/view/ACT/341629050/19-8+Edmondson+Street%2C+Campbell+ACT/
28,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,38/116 Blamey Crescent ,-35.2903252,149.1527382,apartment,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341437950/38-116+Blamey+Crescent%2C+Campbell+ACT/
29,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,211/6 Provan Street ,-35.2887970,149.1438688,apartment,2,2,2,,https://www.auhouseprices.com/sold/view/ACT/341140950/211-6+Provan+Street%2C+Campbell+ACT/
30,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,1/134 Blamey Crescent ,-35.2913434,149.1517536,townhouse,3,2,2,"$1,369,000",https://www.auhouseprices.com/sold/view/ACT/341718850/1-134+Blamey+Crescent%2C+Campbell+ACT/
31,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,30 Gellibrand Street ,-35.2900898,149.1598632,house,4,2,3,"$1,800,000",https://www.auhouseprices.com/sold/view/ACT/341229850/30+Gellibrand+Street%2C+Campbell+ACT/
32,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,212/12 Provan Street ,-35.2891815,149.1435381,unit,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341448750/212-12+Provan+Street%2C+Campbell+ACT/
33,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,12 Chowne Street ,-35.2882615,149.1450817,house,5,3,4,"$1,510,000",https://www.auhouseprices.com/sold/view/ACT/341480440/12+Chowne+Street%2C+Campbell+ACT/
34,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,7 Patey Street ,-35.2875301,149.1487016,house,4,2,1,"$1,240,000",https://www.auhouseprices.com/sold/view/ACT/341998440/7+Patey+Street%2C+Campbell+ACT/
35,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,24/59 Constitution Avenue ,-35.2907784,149.1439761,apartment,3,2,2,"$849,000",https://www.auhouseprices.com/sold/view/ACT/341344340/24-59+Constitution+Avenue%2C+Campbell+ACT/
36,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,204/59 Constitution Avenue ,-35.2907784,149.1439761,apartment,2,2,2,"$645,000",https://www.auhouseprices.com/sold/view/ACT/341774240/204-59++Constitution+Avenue%2C+Campbell+ACT/
37,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,3 Getting Crescent ,-35.2906380,149.1453400,house,4,2,2,"$1,321,000",https://www.auhouseprices.com/sold/view/ACT/341765140/3+Getting+Crescent%2C+Campbell+ACT/
38,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,20/8 Edmondson Street ,-35.2857088,149.1522751,apartment,2,1,0,"$445,000",https://www.auhouseprices.com/sold/view/ACT/341861140/20-8+Edmondson+Street%2C+Campbell+ACT/
39,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,3 Butler Place ,-35.2904835,149.1489006,house,5,2,2,"$1,300,000",https://www.auhouseprices.com/sold/view/ACT/341773040/3+Butler+Place%2C+Campbell+ACT/
40,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,47 White Crescent ,-35.2865736,149.1573620,house,3,1,1,"$920,000",https://www.auhouseprices.com/sold/view/ACT/341113940/47+White+Crescent%2C+Campbell+ACT/
41,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,22 Rosenthal Street ,-35.2825110,149.1571882,house,4,3,2,"$1,825,000",https://www.auhouseprices.com/sold/view/ACT/341912840/22+Rosenthal+Street%2C+Campbell+ACT/
42,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,1/12 Key Street ,-35.2840840,149.1507900,townhouse,3,2,2,"$1,130,000",https://www.auhouseprices.com/sold/view/ACT/341654740/1-12+Key+Street%2C+Campbell+ACT/
43,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,2/1 Provan Street ,-35.2882190,149.1439306,apartment,2,2,4,"$710,000",https://www.auhouseprices.com/sold/view/ACT/341800740/2-1+Provan+Street%2C+Campbell+ACT/
44,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,604/21 Provan Street ,-35.2901356,149.1431125,apartment,3,2,2,"$949,000",https://www.auhouseprices.com/sold/view/ACT/341897529/604-21+Provan+Street%2C+Campbell+ACT/
45,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,55 Blamey Crescent ,-35.2854871,149.1495272,house,5,3,2,"$1,900,000",https://www.auhouseprices.com/sold/view/ACT/341053529/55+Blamey+Crescent%2C+Campbell+ACT/
46,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,509/6 Provan Street ,-35.2887970,149.1438688,unit,2,1,2,"$551,500",https://www.auhouseprices.com/sold/view/ACT/341264529/509-6+Provan+Street%2C+Campbell+ACT/
47,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,50/81 Constitution Avenue ,-35.2920395,149.1460655,unit,1,1,1,"$417,000",https://www.auhouseprices.com/sold/view/ACT/341830429/50-81+Constitution+Avenue%2C+Campbell+ACT/
48,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,G22/26 Anzac Park ,-35.2884469,149.1432769,apartment,2,2,2,,https://www.auhouseprices.com/sold/view/ACT/341589329/G22-26+Anzac+Park%2C+Campbell+ACT/
49,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,409/6 Provan Street ,-35.2887970,149.1438688,apartment,2,2,2,,https://www.auhouseprices.com/sold/view/ACT/341469329/409-6+Provan+Street%2C+Campbell+ACT/
50,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,11 Gellibrand Street ,-35.2885137,149.1607889,house,4,2,2,"$1,760,000",https://www.auhouseprices.com/sold/view/ACT/341831329/11+Gellibrand+Street%2C+Campbell+ACT/
51,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,1/50 Jacka Crescent ,-35.2900308,149.1515539,townhouse,3,2,4,,https://www.auhouseprices.com/sold/view/ACT/341858229/1-50+Jacka+Crescent%2C+Campbell+ACT/
52,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,224/12 Provan Street ,-35.2887710,149.1429530,apartment,2,2,1,"$507,500",https://www.auhouseprices.com/sold/view/ACT/341995229/224-12+Provan+Street%2C+Campbell+ACT/
