,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,6 Loveday Crescent ,-35.1775648,149.0900510,house,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341187370/6+Loveday+Crescent%2C+Casey+ACT/
1,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,16/68 Dalkin Crescent ,-35.1733634,149.0958064,apartment,2,2,1,"$465,000",https://www.auhouseprices.com/sold/view/ACT/341515370/16-68+Dalkin+Crescent%2C+Casey+ACT/
2,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,4/29 Bott Crescent ,-35.1634979,149.0959767,townhouse,3,2,2,"$630,000",https://www.auhouseprices.com/sold/view/ACT/341799270/4-29++Bott+Crescent%2C+Casey+ACT/
3,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,17 Borthwick Avenue ,-35.1698769,149.0915010,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341928270/17+Borthwick+Avenue%2C+Casey+ACT/
4,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,11 Edna Thompson Crescent ,-35.1580419,149.0971257,house,4,2,2,"$760,000",https://www.auhouseprices.com/sold/view/ACT/341332170/11+Edna+Thompson+Crescent%2C+Casey+ACT/
5,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,13/146 Plimsoll Drive ,-35.1620493,149.0983306,townhouse,3,2,2,"$597,000",https://www.auhouseprices.com/sold/view/ACT/341982170/13-146+Plimsoll+Drive%2C+Casey+ACT/
6,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,1 Housley Street ,-35.1704505,149.0885623,house,6,3,2,"$1,073,000",https://www.auhouseprices.com/sold/view/ACT/341479070/1+Housley+Street%2C+Casey+ACT/
7,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,2/14 Andersch Street ,-35.1606941,149.1003647,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341910070/2-14+Andersch+Street%2C+Casey+ACT/
8,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,1/12 Maris King Street ,-35.1701886,149.0953736,townhouse,3,2,2,"$602,000",https://www.auhouseprices.com/sold/view/ACT/341874170/1-12+Maris+King+Street%2C+Casey+ACT/
9,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,8 Pender Street ,-35.1622612,149.1002310,house,4,2,2,"$792,500",https://www.auhouseprices.com/sold/view/ACT/341311070/8+Pender+Street%2C+Casey+ACT/
10,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,6/4 Annie Douglas Street ,-35.1594276,149.1015244,townhouse,3,1,2,"$500,000",https://www.auhouseprices.com/sold/view/ACT/341258970/6-4+Annie+Douglas+Street%2C+Casey+ACT/
11,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,18 Dunk Street ,-35.1693098,149.0935395,house,4,2,3,"$998,000",https://www.auhouseprices.com/sold/view/ACT/341802970/18+Dunk+Street%2C+Casey+ACT/
12,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,24 Loveday Crescent ,-35.1777403,149.0887598,house,4,2,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341249870/24+Loveday+Crescent%2C+Casey+ACT/
13,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,13/4 Annie Douglas Street ,-35.1594276,149.1015244,house,3,1,2,"$496,000",https://www.auhouseprices.com/sold/view/ACT/341047970/13-4+Annie+Douglas+Street%2C+Casey+ACT/
14,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,16 Mick Shann Terrace ,-35.1770212,149.0870725,townhouse,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341814970/16+Mick+Shann+Terrace%2C+Casey+ACT/
15,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,2 Quealy Street ,-35.1589323,149.0988061,townhouse,3,3,2,"$590,000",https://www.auhouseprices.com/sold/view/ACT/341448870/2+Quealy+Street%2C+Casey+ACT/
16,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,33 Liz O'Neill Street ,-35.1636217,149.0997610,house,4,2,2,"$741,888",https://www.auhouseprices.com/sold/view/ACT/341464670/33+Liz+O%27Neill+Street%2C+Casey+ACT/
17,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,82 Rockwood Street ,-35.1714221,149.0949441,duplex-semi-detached,3,2,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341270670/82+Rockwood+Street%2C+Casey+ACT/
18,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,40 Dalkin Crescent ,-35.1742005,149.0948407,townhouse,3,2,1,"$491,000",https://www.auhouseprices.com/sold/view/ACT/341057570/40+Dalkin+Crescent%2C+Casey+ACT/
19,2913,Casey,116,https://www.auhouseprices.com/sold/list/ACT/2913/Casey/,4 Loveday Crescent ,-35.1774662,149.0900155,house,3,2,1,"$611,000",https://www.auhouseprices.com/sold/view/ACT/341990570/4+Loveday+Crescent%2C+Casey+ACT/
