,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,38/1 Gordon Street ,-35.2824407,149.1250223,apartment,1,1,1,"$412,000",https://www.auhouseprices.com/sold/view/ACT/341251470/38-1+Gordon+Street%2C+City+ACT/
1,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,1103/39 London Circuit ,-35.2795872,149.1268276,apartment,3,2,2,"$1,500,000",https://www.auhouseprices.com/sold/view/ACT/341878270/1103-39+London+Circuit%2C+City+ACT/
2,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,802/240 Bunda Street ,-35.2815888,149.1344878,apartment,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341602270/802-240+Bunda+Street%2C+City+ACT/
3,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,505/21 Marcus Clarke Street ,-35.2845174,149.1248347,apartment,2,2,2,,https://www.auhouseprices.com/sold/view/ACT/341436370/505-21+Marcus+Clarke+Street%2C+City+ACT/
4,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,104/16 Moore Street ,-35.2759804,149.1284153,apartment,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341511270/104-16+Moore+Street%2C+City+ACT/
5,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,822/240 Bunda Street ,-35.2815888,149.1344878,apartment,2,2,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341078170/822-240+Bunda+Street%2C+City+ACT/
6,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,1508/25 Edinburgh Avenue ,-35.2851732,149.1234226,apartment,3,3,2,"$1,285,000",https://www.auhouseprices.com/sold/view/ACT/341552270/1508-25+Edinburgh+Avenue%2C+City+ACT/
7,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,813/25 Edinburgh Avenue ,-35.2851732,149.1234226,apartment,3,3,4,,https://www.auhouseprices.com/sold/view/ACT/341813270/813-25+Edinburgh+Avenue%2C+City+ACT/
8,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,112/2 Akuna Street ,-35.2819387,149.1325401,apartment,1,1,0,"$299,500",https://www.auhouseprices.com/sold/view/ACT/341997070/112-2+Akuna+Street%2C+City+ACT/
9,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,G05/19 Marcus Clarke Street ,-35.2849278,149.1250763,apartment,1,2,1,"$580,000",https://www.auhouseprices.com/sold/view/ACT/341088970/G05-19+Marcus+Clarke+Street%2C+City+ACT/
10,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,6/3 London Circuit ,-35.2828564,149.1254729,apartment,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341337970/6-3+London+Circuit%2C+City+ACT/
11,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,G12/19 Marcus Clarke Street ,-35.2849278,149.1250763,apartment,1,1,1,"$598,000",https://www.auhouseprices.com/sold/view/ACT/341745070/G12-19+Marcus+Clarke+Street%2C+City+ACT/
12,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,1/12 Marcus Clarke Street ,-35.2829808,149.1245527,apartment,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341512970/1-12+Marcus+Clarke+Street%2C+City+ACT/
13,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,1312/25 Edinburgh Avenue ,-35.2851732,149.1234226,apartment,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341301970/1312-25+Edinburgh+Avenue%2C+City+ACT/
14,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,804/2 Akuna Street ,-35.2819387,149.1325401,unit,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341432270/804-2+Akuna+Street%2C+City+ACT/
