,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,2/6 Eaglemont Retreat ,-35.4632880,149.1121111,townhouse,3,1,1,"$585,000",https://www.auhouseprices.com/sold/view/ACT/341316370/2-6+Eaglemont+Retreat%2C+Conder+ACT/
1,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,20 Jane Sutherland Street ,-35.4664234,149.1116672,house,4,2,3,,https://www.auhouseprices.com/sold/view/ACT/341186170/20+Jane+Sutherland+Street%2C+Conder+ACT/
2,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,26 Montgomery Place ,-35.4528852,149.0955256,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341766170/26+Montgomery+Place%2C+Conder+ACT/
3,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,20 Whiteley Street ,-35.4483174,149.0948563,house,3,2,2,"$761,000",https://www.auhouseprices.com/sold/view/ACT/341555170/20+Whiteley+Street%2C+Conder+ACT/
4,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,9/2 Merri Place ,-35.4572364,149.0985016,townhouse,3,1,2,"$557,000",https://www.auhouseprices.com/sold/view/ACT/341577970/9-2+Merri+Place%2C+Conder+ACT/
5,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,3 Lethbridge Street ,-35.4624910,149.1045566,house,3,1,2,"$650,000",https://www.auhouseprices.com/sold/view/ACT/341792770/3+Lethbridge+Street%2C+Conder+ACT/
6,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,40/81 Box Hill Avenue ,-35.4621148,149.0976094,unit,3,1,1,"$520,000",https://www.auhouseprices.com/sold/view/ACT/341493170/40-81+Box+Hill+Avenue%2C+Conder+ACT/
7,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,4 Sommers Street ,-35.4623406,149.0935120,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341233770/4+Sommers+Street%2C+Conder+ACT/
8,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,2/20 Sturgeon Street ,-35.4636457,149.0949761,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341499260/2-20+Sturgeon+Street%2C+Conder+ACT/
9,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,12/4-6 Merri Place ,-35.4572364,149.0985016,townhouse,3,2,2,"$520,000",https://www.auhouseprices.com/sold/view/ACT/341839260/12-4-6+Merri+Place%2C+Conder+ACT/
10,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,8 Humphrey Street ,-35.4669371,149.1075485,house,4,2,2,"$775,000",https://www.auhouseprices.com/sold/view/ACT/341343260/8+Humphrey+Street%2C+Conder+ACT/
11,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,60 Tom Roberts Avenue ,-35.4628274,149.1054248,house,3,1,1,"$570,000",https://www.auhouseprices.com/sold/view/ACT/341844260/60+Tom+Roberts+Avenue%2C+Conder+ACT/
12,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,10 Darebin Place ,-35.4636742,149.1070115,house,4,2,3,,https://www.auhouseprices.com/sold/view/ACT/341135160/10+Darebin+Place%2C+Conder+ACT/
13,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,65 Templestowe Avenue ,-35.4651846,149.1113704,house,5,3,2,,https://www.auhouseprices.com/sold/view/ACT/341944360/65+Templestowe+Avenue%2C+Conder+ACT/
14,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,7 Humphrey Street ,-35.4672498,149.1077109,house,3,2,2,"$695,000",https://www.auhouseprices.com/sold/view/ACT/341344960/7+Humphrey+Street%2C+Conder+ACT/
15,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,13/7 Sommers Street ,-35.4623079,149.0938853,townhouse,3,1,1,"$465,000",https://www.auhouseprices.com/sold/view/ACT/341080450/13-7+Sommers+Street%2C+Conder+ACT/
16,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,20 Roughsey Place ,-35.4520768,149.0927613,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341934350/20+Roughsey+Place%2C+Conder+ACT/
17,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,7 Abrahams Crescent ,-35.4646983,149.1020467,house,3,2,2,"$630,000",https://www.auhouseprices.com/sold/view/ACT/341767250/7+Abrahams+Crescent%2C+Conder+ACT/
18,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,25 Handasyde Street ,-35.4579012,149.1012130,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341937250/25+Handasyde+Street%2C+Conder+ACT/
19,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,4/2 Jane Price Crescent ,-35.4569510,149.0978988,townhouse,3,1,1,"$450,000",https://www.auhouseprices.com/sold/view/ACT/341940150/4-2+Jane+Price+Crescent%2C+Conder+ACT/
20,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,37 Ina Gregory Circuit ,-35.4646684,149.1094396,house,4,2,2,"$730,000",https://www.auhouseprices.com/sold/view/ACT/341403150/37+Ina+Gregory+Circuit%2C+Conder+ACT/
21,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,8 Sommers Street ,-35.4625171,149.0937260,house,3,1,0,,https://www.auhouseprices.com/sold/view/ACT/341766050/8+Sommers+Street%2C+Conder+ACT/
22,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,65 Charterisville Avenue ,-35.4572860,149.1037268,house,4,2,2,"$845,000",https://www.auhouseprices.com/sold/view/ACT/341502050/65+Charterisville+Avenue%2C+Conder+ACT/
23,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,4 Feint Street ,-35.4636873,149.0927866,house,3,2,2,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341226950/4+Feint+Street%2C+Conder+ACT/
24,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,32 Loureiro Street ,-35.4548649,149.0920953,house,5,2,2,"$815,000",https://www.auhouseprices.com/sold/view/ACT/341893950/32+Loureiro+Street%2C+Conder+ACT/
