,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,52 Benalla Street ,-35.2069420,149.1053169,Land,4,"$190,000",0,"$281,500",https://www.auhouseprices.com/sold/view/ACT/32144303/52+Benalla+Street%2C+Crace+ACT/
1,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,27 Nuleri Street ,-35.2073773,149.1077523,house,4,2,2,"$975,000",https://www.auhouseprices.com/sold/view/ACT/341342470/27+Nuleri+Street%2C+Crace+ACT/
2,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,34/4 Thadoona Street ,-35.2016297,149.1090755,unit,1,1,1,"$316,000",https://www.auhouseprices.com/sold/view/ACT/341623370/34-4+Thadoona+Street%2C+Crace+ACT/
3,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,102 Langtree Crescent ,-35.2041661,149.1140617,house,4,2,2,"$855,000",https://www.auhouseprices.com/sold/view/ACT/341412370/102+Langtree+Crescent%2C+Crace+ACT/
4,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,62 Cocoparra Crescent ,-35.2087772,149.1091615,townhouse,3,2,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341866270/62+Cocoparra+Crescent%2C+Crace+ACT/
5,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,54 Benalla Street ,-35.2051317,149.1072878,house,4,2,2,"$975,000",https://www.auhouseprices.com/sold/view/ACT/341699170/54+Benalla+Street%2C+Crace+ACT/
6,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,12/47 Abena Avenue ,-35.2013002,149.1067714,apartment,1,1,0,"$293,000",https://www.auhouseprices.com/sold/view/ACT/341871270/12-47+Abena+Avenue%2C+Crace+ACT/
7,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,7/4 Thadoona Street ,-35.2016297,149.1090755,townhouse,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341491970/7-4+Thadoona+Street%2C+Crace+ACT/
8,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,16 Ultimo Street ,-35.2034110,149.1051455,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341568870/16+Ultimo+Street%2C+Crace+ACT/
9,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,129 Samaria Street ,-35.2047090,149.1098141,house,4,2,2,"$1,250,000",https://www.auhouseprices.com/sold/view/ACT/341858870/129+Samaria+Street%2C+Crace+ACT/
10,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,41/37 Redruth Street ,-35.2032042,149.1066669,unit,2,1,1,"$368,000",https://www.auhouseprices.com/sold/view/ACT/341158870/41-37+Redruth+Street%2C+Crace+ACT/
11,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,4 Quain Street ,-35.2016575,149.1059240,house,3,2,2,"$675,000",https://www.auhouseprices.com/sold/view/ACT/341647870/4+Quain+Street%2C+Crace+ACT/
12,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,17 Arcadia Street ,-35.2050032,149.1069001,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341357870/17+Arcadia+Street%2C+Crace+ACT/
13,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,4 Zanci Street ,-35.2027748,149.1044042,villa,3,2,2,"$736,000",https://www.auhouseprices.com/sold/view/ACT/341878770/4+Zanci+Street%2C+Crace+ACT/
14,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,3/47 Abena Avenue ,-35.2013002,149.1067714,apartment,1,1,1,"$310,000",https://www.auhouseprices.com/sold/view/ACT/341154770/3-47+Abena+Avenue%2C+Crace+ACT/
15,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,16/48 Abena Avenue ,-35.2017070,149.1065460,apartment,1,1,1,"$300,000",https://www.auhouseprices.com/sold/view/ACT/341344670/16-48+Abena+Avenue%2C+Crace+ACT/
16,2911,Crace,66,https://www.auhouseprices.com/sold/list/ACT/2911/Crace/,26 Durong Street ,-35.1992248,149.1068826,house,4,2,2,"$910,000",https://www.auhouseprices.com/sold/view/ACT/341977460/26+Durong+Street%2C+Crace+ACT/
