,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,2 Propsting Street ,-35.3226725,149.0821315,house,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341568370/2+Propsting+Street%2C+Curtin+ACT/
1,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,11 Parker Street ,-35.3272258,149.0841691,house,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341249370/11+Parker+Street%2C+Curtin+ACT/
2,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,74/3 Waddell Place ,-35.3252951,149.0806038,apartment,1,1,1,"$200,000",https://www.auhouseprices.com/sold/view/ACT/341556370/74-3+Waddell+Place%2C+Curtin+ACT/
3,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,6 Jenkins Street ,-35.3231215,149.0759350,house,3,1,3,"$1,270,000",https://www.auhouseprices.com/sold/view/ACT/341400070/6+Jenkins+Street%2C+Curtin+ACT/
4,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,3 Byrnes Place ,-35.3181808,149.0722890,house,3,1,3,,https://www.auhouseprices.com/sold/view/ACT/341285070/3+Byrnes+Place%2C+Curtin+ACT/
5,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,8A Parker Street ,-35.3269253,149.0835730,house,3,1,1,"$708,000",https://www.auhouseprices.com/sold/view/ACT/341704070/8A+Parker+Street%2C+Curtin+ACT/
6,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,1/4 Walsh Place ,-35.3249821,149.0846438,apartment,2,1,1,"$298,000",https://www.auhouseprices.com/sold/view/ACT/341217970/1-4+Walsh+Place%2C+Curtin+ACT/
7,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,30 Ayers Street ,-35.3248869,149.0775972,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341676870/30+Ayers+Street%2C+Curtin+ACT/
8,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,80 Theodore St ,-35.3325616,149.0795208,house,3,1,0,"$830,000",https://www.auhouseprices.com/sold/view/ACT/341564770/80+Theodore+St%2C+Curtin+ACT/
9,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,2/3 Blyth Place ,-35.3252428,149.0783701,townhouse,3,2,2,"$870,000",https://www.auhouseprices.com/sold/view/ACT/341664870/2-3+Blyth+Place%2C+Curtin+ACT/
