,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,9 Carmichael Street ,-35.3188970,149.1054365,house,3,1,0,"$1,510,000",https://www.auhouseprices.com/sold/view/ACT/341503370/9+Carmichael+Street%2C+Deakin+ACT/
1,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,23 Kent Street ,-35.3154480,149.0984839,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341149270/23+Kent+Street%2C+Deakin+ACT/
2,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,11 Beauchamp Street ,-35.3222809,149.0990235,residential land,4,2,2,"$1,700,000",https://www.auhouseprices.com/sold/view/ACT/341107070/11+Beauchamp+Street%2C+Deakin+ACT/
3,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,8 Nathan Street ,-35.3159595,149.1022477,house,6,4,2,,https://www.auhouseprices.com/sold/view/ACT/341074070/8+Nathan+Street%2C+Deakin+ACT/
4,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,1 Macartney Crescent ,-35.3149410,149.1006815,house,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341205970/1+Macartney+Crescent%2C+Deakin+ACT/
5,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,208/2 Grose Street ,-35.3138114,149.1070687,apartment,2,2,1,"$942,000",https://www.auhouseprices.com/sold/view/ACT/341038870/208-2+Grose+Street%2C+Deakin+ACT/
6,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,420/2 Grose Street ,-35.3138114,149.1070687,apartment,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341157460/420-2+Grose+Street%2C+Deakin+ACT/
7,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,19 Dugan Street ,-35.3188904,149.1109798,house,3,2,1,"$1,500,000",https://www.auhouseprices.com/sold/view/ACT/341570360/19+Dugan+Street%2C+Deakin+ACT/
8,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,324/2 Grose Street ,-35.3138114,149.1070687,apartment,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341821460/324-2+Grose+Street%2C+Deakin+ACT/
9,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,13 Canterbury Crescent ,-35.3111831,149.1186870,house,5,3,2,"$2,825,000",https://www.auhouseprices.com/sold/view/ACT/341394770/13+Canterbury+Crescent%2C+Deakin+ACT/
10,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,93 Strickland Crescent ,-35.3215921,149.1044174,house,4,4,2,"$1,950,000",https://www.auhouseprices.com/sold/view/ACT/341076060/93+Strickland+Crescent%2C+Deakin+ACT/
11,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,14 Dugan Street ,-35.3188661,149.1103082,house,4,2,2,"$1,420,000",https://www.auhouseprices.com/sold/view/ACT/341987060/14+Dugan+Street%2C+Deakin+ACT/
12,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,6/78 MacGregor Street ,-35.3160694,149.1073363,apartment,1,1,1,"$385,000",https://www.auhouseprices.com/sold/view/ACT/341404060/6-78+MacGregor+Street%2C+Deakin+ACT/
13,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,79 Stradbroke Street ,-35.3180114,149.1060734,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341459960/79+Stradbroke+Street%2C+Deakin+ACT/
