,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,12 Hugh McKay Crescent ,-35.1985429,149.0156479,house,2,1,1,"$530,000",https://www.auhouseprices.com/sold/view/ACT/341175370/12+Hugh+McKay+Crescent%2C+Dunlop+ACT/
1,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,19 Kilburn Close ,-35.1996995,149.0171153,house,3,1,3,,https://www.auhouseprices.com/sold/view/ACT/341652370/19+Kilburn+Close%2C+Dunlop+ACT/
2,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,66 Jeff Snell Crescent ,-35.1915771,149.0181595,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341207170/66+Jeff+Snell+Crescent%2C+Dunlop+ACT/
3,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,31 Stump Jump Crescent ,-35.1908415,149.0308803,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341713170/31+Stump+Jump+Crescent%2C+Dunlop+ACT/
4,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,10 Siroset Close ,-35.1849002,149.0287627,house,3,2,2,"$670,000",https://www.auhouseprices.com/sold/view/ACT/341071170/10+Siroset+Close%2C+Dunlop+ACT/
5,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,53 Branson Street ,-35.1871746,149.0291487,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341973070/53+Branson+Street%2C+Dunlop+ACT/
6,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,32 Polwarth Circuit ,-35.1938405,149.0219234,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341932070/32+Polwarth+Circuit%2C+Dunlop+ACT/
7,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,77 Percy Begg Circuit ,-35.1907535,149.0188968,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341767870/77+Percy+Begg+Circuit%2C+Dunlop+ACT/
8,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,9 McDonnell Close ,-35.1989046,149.0107035,house,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341995870/9+McDonnell+Close%2C+Dunlop+ACT/
9,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,1 Bandt Place ,-35.1908509,149.0227937,house,3,2,2,"$640,000",https://www.auhouseprices.com/sold/view/ACT/341886670/1+Bandt+Place%2C+Dunlop+ACT/
10,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,3 Goodhart Crescent ,-35.1939819,149.0247933,house,3,2,2,"$650,000",https://www.auhouseprices.com/sold/view/ACT/341675670/3+Goodhart+Crescent%2C+Dunlop+ACT/
11,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,78 Shoobridge Circuit ,-35.1906151,149.0207233,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341290570/78+Shoobridge+Circuit%2C+Dunlop+ACT/
12,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,21 Overbury Street ,-35.1912239,149.0306592,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341766460/21+Overbury+Street%2C+Dunlop+ACT/
13,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,9 Favco Place ,-35.1850324,149.0300179,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341488460/9+Favco+Place%2C+Dunlop+ACT/
14,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,13 Henry Sutton Circuit ,-35.1868963,149.0236772,house,5,3,2,"$840,000",https://www.auhouseprices.com/sold/view/ACT/341060260/13+Henry+Sutton+Circuit%2C+Dunlop+ACT/
15,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,15 Westall Close ,-35.1954787,149.0242374,house,3,2,2,"$690,000",https://www.auhouseprices.com/sold/view/ACT/341648160/15+Westall+Close%2C+Dunlop+ACT/
16,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,8 Leonard Close ,-35.2010320,149.0161377,house,3,2,1,"$591,000",https://www.auhouseprices.com/sold/view/ACT/341234060/8+Leonard+Close%2C+Dunlop+ACT/
17,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,33 Jeff Snell Crescent ,-35.1919786,149.0184110,house,2,1,1,,https://www.auhouseprices.com/sold/view/ACT/341094260/33+Jeff+Snell+Crescent%2C+Dunlop+ACT/
18,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,7/20 Splayd Close ,-35.1883012,149.0307632,townhouse,3,2,2,"$570,000",https://www.auhouseprices.com/sold/view/ACT/341661060/7-20+Splayd+Close%2C+Dunlop+ACT/
19,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,10 Branson Street ,-35.1897173,149.0285860,house,4,2,2,"$791,000",https://www.auhouseprices.com/sold/view/ACT/341493960/10+Branson+Street%2C+Dunlop+ACT/
20,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,6 Toft Street ,-35.1916678,149.0175906,house,3,1,1,"$515,000",https://www.auhouseprices.com/sold/view/ACT/341004860/6+Toft+Street%2C+Dunlop+ACT/
21,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,7 Clendinnen Street ,-35.1924958,149.0149644,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341707760/7+Clendinnen+Street%2C+Dunlop+ACT/
22,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,5/24 Hugh Mckay Crescent ,-35.1983035,149.0148553,townhouse,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341517860/5-24+Hugh+Mckay+Crescent%2C+Dunlop+ACT/
23,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,3/8 Jeff Snell Crescent ,-35.1935694,149.0181648,unit,2,2,2,"$384,500",https://www.auhouseprices.com/sold/view/ACT/341931660/3-8+Jeff+Snell+Crescent%2C+Dunlop+ACT/
24,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,2 Fleay Place ,-35.2005966,149.0157535,house,2,1,1,,https://www.auhouseprices.com/sold/view/ACT/341202660/2+Fleay+Place%2C+Dunlop+ACT/
