,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,52 Ashkanasy Crescent ,-35.2111550,149.0685541,house,3,1,2,"$606,000",https://www.auhouseprices.com/sold/view/ACT/341324270/52+Ashkanasy+Crescent%2C+Evatt+ACT/
1,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,22 Cutlack Street ,-35.2092139,149.0781930,house,3,2,2,"$810,000",https://www.auhouseprices.com/sold/view/ACT/341631270/22+Cutlack+Street%2C+Evatt+ACT/
2,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,30 Ligertwood Street ,-35.2136454,149.0647286,house,4,2,4,,https://www.auhouseprices.com/sold/view/ACT/341646170/30+Ligertwood+Street%2C+Evatt+ACT/
3,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,27 Freehill Street ,-35.2118695,149.0694730,house,4,3,2,"$856,000",https://www.auhouseprices.com/sold/view/ACT/341687170/27+Freehill+Street%2C+Evatt+ACT/
4,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,17 Fuhrman Street ,-35.2032115,149.0707360,residential land,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341572170/17+Fuhrman+Street%2C+Evatt+ACT/
5,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,13/2 McClure Street ,-35.2085146,149.0726982,unit,1,1,1,"$300,000",https://www.auhouseprices.com/sold/view/ACT/341824070/13-2+McClure+Street%2C+Evatt+ACT/
6,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,27 McClure Street ,-35.2076207,149.0727921,house,3,1,2,"$740,000",https://www.auhouseprices.com/sold/view/ACT/341313970/27+McClure+Street%2C+Evatt+ACT/
7,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,37 Fitzhardinge Crescent ,-35.2164149,149.0677868,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341470870/37+Fitzhardinge+Crescent%2C+Evatt+ACT/
8,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,9 Eagar Place ,-35.2092330,149.0702408,house,4,2,4,,https://www.auhouseprices.com/sold/view/ACT/341772870/9+Eagar+Place%2C+Evatt+ACT/
9,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,35 McClure Street ,-35.2075275,149.0726661,house,3,2,1,"$650,000",https://www.auhouseprices.com/sold/view/ACT/341529070/35+McClure+Street%2C+Evatt+ACT/
10,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,13 Callaghan Street ,-35.2156728,149.0669001,house,4,3,2,"$1,045,000",https://www.auhouseprices.com/sold/view/ACT/341959260/13+Callaghan+Street%2C+Evatt+ACT/
11,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,21 Kellway Street ,-35.2061038,149.0724021,house,3,2,3,"$780,000",https://www.auhouseprices.com/sold/view/ACT/341537260/21+Kellway+Street%2C+Evatt+ACT/
12,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,154 Copland Drive ,-35.2054549,149.0692333,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341543960/154+Copland+Drive%2C+Evatt+ACT/
13,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,40 Badenoch Crescent ,-35.2024944,149.0747047,house,4,2,4,,https://www.auhouseprices.com/sold/view/ACT/341941960/40+Badenoch+Crescent%2C+Evatt+ACT/
14,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,6 Eagar Place ,-35.2094268,149.0705094,house,4,2,1,"$800,000",https://www.auhouseprices.com/sold/view/ACT/341993760/6+Eagar+Place%2C+Evatt+ACT/
