,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,29 Custance Street ,-35.3776654,149.1007437,house,4,3,2,"$1,410,000",https://www.auhouseprices.com/sold/view/ACT/341014370/29+Custance+Street%2C+Farrer+ACT/
1,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,26a Custance Street ,-35.3769286,149.0995689,house,4,3,2,"$1,545,000",https://www.auhouseprices.com/sold/view/ACT/341439270/26a+Custance+Street%2C+Farrer+ACT/
2,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,6/34 Gatton Street ,-35.3747835,149.1031675,townhouse,2,1,1,,https://www.auhouseprices.com/sold/view/ACT/341581270/6-34+Gatton+Street%2C+Farrer+ACT/
3,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,19 Wenholz Street ,-35.3801330,149.1081276,house,4,2,3,,https://www.auhouseprices.com/sold/view/ACT/341215070/19+Wenholz+Street%2C+Farrer+ACT/
4,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,5 Molineaux Place ,-35.3730768,149.1085053,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341175870/5+Molineaux+Place%2C+Farrer+ACT/
5,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,109 Hawkesbury Crescent ,-35.3833842,149.1062418,house,4,2,2,"$1,210,000",https://www.auhouseprices.com/sold/view/ACT/341391870/109+Hawkesbury+Crescent%2C+Farrer+ACT/
6,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,133 Lambrigg Street ,-35.3794008,149.1097926,house,4,1,1,"$840,000",https://www.auhouseprices.com/sold/view/ACT/341359360/133+Lambrigg+Street%2C+Farrer+ACT/
7,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,32 Dookie Street ,-35.3775737,149.1082456,townhouse,4,2,2,"$970,000",https://www.auhouseprices.com/sold/view/ACT/341016360/32+Dookie+Street%2C+Farrer+ACT/
8,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,9B Gluyas Street ,-35.3725070,149.0980435,house,4,2,2,"$995,000",https://www.auhouseprices.com/sold/view/ACT/341355260/9B+Gluyas+Street%2C+Farrer+ACT/
9,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,3 Roseworthy Crescent ,-35.3734484,149.1047728,house,4,2,3,"$1,110,000",https://www.auhouseprices.com/sold/view/ACT/341525260/3+Roseworthy+Crescent%2C+Farrer+ACT/
10,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,18 Muresk Street ,-35.3806948,149.1069314,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341797160/18+Muresk+Street%2C+Farrer+ACT/
