,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,7 Araluen Street ,-35.3605174,149.0557850,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341356170/7+Araluen+Street%2C+Fisher+ACT/
1,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,3 Bendigo Street ,-35.3568175,149.0538865,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341771170/3+Bendigo+Street%2C+Fisher+ACT/
2,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,34 Rosebery Street ,-35.3622084,149.0522953,house,5,3,2,"$1,130,000",https://www.auhouseprices.com/sold/view/ACT/341553970/34+Rosebery+Street%2C+Fisher+ACT/
3,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,2 Rossarden ,-35.3596506,149.0542774,house,3,2,3,"$815,000",https://www.auhouseprices.com/sold/view/ACT/341849770/2+Rossarden%2C+Fisher+ACT/
4,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,61/177 Badimara Street ,-35.3580900,149.0567393,retirement living,3,1,1,"$428,000",https://www.auhouseprices.com/sold/view/ACT/341705770/61-177+Badimara+Street%2C+Fisher+ACT/
5,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,19/177 Badimara Street ,-35.3580900,149.0567393,retirement living,2,1,1,"$330,000",https://www.auhouseprices.com/sold/view/ACT/341813770/19-177+Badimara+Street%2C+Fisher+ACT/
6,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,27 Chillagoe Street ,-35.3653959,149.0599367,house,5,2,3,"$775,000",https://www.auhouseprices.com/sold/view/ACT/341341770/27+Chillagoe+Street%2C+Fisher+ACT/
7,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,197 Namatjira Drive ,-35.3623283,149.0489528,house,4,3,1,,https://www.auhouseprices.com/sold/view/ACT/341575570/197+Namatjira+Drive%2C+Fisher+ACT/
8,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,4B Yampi Place ,-35.3610603,149.0519581,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341170570/4B+Yampi+Place%2C+Fisher+ACT/
9,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,19 Kapunda Street ,-35.3605474,149.0497771,house,5,2,2,,https://www.auhouseprices.com/sold/view/ACT/341236460/19+Kapunda+Street%2C+Fisher+ACT/
10,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,6/177 Badimara Street ,-35.3580900,149.0567393,retirement living,3,1,1,"$410,000",https://www.auhouseprices.com/sold/view/ACT/341989460/6-177+Badimara+Street%2C+Fisher+ACT/
11,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,23/177 Badimara Street ,-35.3580900,149.0567393,retirement living,2,1,1,"$325,000",https://www.auhouseprices.com/sold/view/ACT/341569160/23-177+Badimara+Street%2C+Fisher+ACT/
12,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,73/177 Badimara Street ,-35.3580900,149.0567393,unit,3,1,1,"$440,000",https://www.auhouseprices.com/sold/view/ACT/341607160/73-177+Badimara+Street%2C+Fisher+ACT/
13,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,76/177 Badimara Street ,-35.3580900,149.0567393,retirement living,2,1,1,"$325,000",https://www.auhouseprices.com/sold/view/ACT/341272160/76-177+Badimara+Street%2C+Fisher+ACT/
14,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,80/177 Badimara Street ,-35.3580900,149.0567393,unit,2,1,1,"$315,000",https://www.auhouseprices.com/sold/view/ACT/341395060/80-177+Badimara+Street%2C+Fisher+ACT/
15,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,205B Badimara Street ,-35.3563528,149.0546032,duplex-semi-detached,1,1,1,"$381,000",https://www.auhouseprices.com/sold/view/ACT/341946060/205B+Badimara+Street%2C+Fisher+ACT/
16,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,28/177 Badimara Street ,-35.3580900,149.0567393,retirement living,2,1,1,"$325,000",https://www.auhouseprices.com/sold/view/ACT/341723060/28-177+Badimara+Street%2C+Fisher+ACT/
17,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,7/177 Badimara Street ,-35.3580900,149.0567393,unit,2,1,1,"$335,000",https://www.auhouseprices.com/sold/view/ACT/341673060/7-177+Badimara+Street%2C+Fisher+ACT/
18,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,82/177 Badimara Street ,-35.3580900,149.0567393,retirement living,2,1,1,"$310,000",https://www.auhouseprices.com/sold/view/ACT/341935760/82-177+Badimara+Street%2C+Fisher+ACT/
19,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,68 Bendigo Street ,-35.3593438,149.0516395,house,4,2,2,"$941,000",https://www.auhouseprices.com/sold/view/ACT/341648660/68+Bendigo+Street%2C+Fisher+ACT/
20,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,44 Bendigo Street ,-35.3576191,149.0507485,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341172560/44+Bendigo+Street%2C+Fisher+ACT/
21,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,74/177 Badimara Street ,-35.3580900,149.0567393,unit,2,1,1,"$310,000",https://www.auhouseprices.com/sold/view/ACT/341512560/74-177+Badimara+Street%2C+Fisher+ACT/
22,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,28 Kambalda Crescent ,-35.3646442,149.0622508,house,4,1,2,,https://www.auhouseprices.com/sold/view/ACT/341826350/28+Kambalda+Crescent%2C+Fisher+ACT/
23,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,1 Callide Street ,-35.3603070,149.0538428,house,3,1,2,"$660,000",https://www.auhouseprices.com/sold/view/ACT/341829250/1+Callide+Street%2C+Fisher+ACT/
24,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,25 Chillagoe Street ,-35.3654176,149.0597172,house,4,1,1,"$710,000",https://www.auhouseprices.com/sold/view/ACT/341618250/25+Chillagoe+Street%2C+Fisher+ACT/
25,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,225 Badimara Street ,-35.3549375,149.0531126,house,3,1,1,"$750,000",https://www.auhouseprices.com/sold/view/ACT/341105250/225+Badimara+Street%2C+Fisher+ACT/
26,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,3 Chillagoe Street ,-35.3640237,149.0579319,house,3,1,1,"$688,000",https://www.auhouseprices.com/sold/view/ACT/341667150/3+Chillagoe+Street%2C+Fisher+ACT/
27,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,85 Kambalda Crescent ,-35.3663921,149.0607214,house,4,1,3,"$722,000",https://www.auhouseprices.com/sold/view/ACT/341763150/85+Kambalda+Crescent%2C+Fisher+ACT/
28,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,26/177 Badimara Street ,-35.3580900,149.0567393,retirement living,2,1,1,"$417,000",https://www.auhouseprices.com/sold/view/ACT/341361050/26-177+Badimara+Street%2C+Fisher+ACT/
29,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,45/177 Badimara Street ,-35.3580900,149.0567393,unit,2,1,1,"$330,000",https://www.auhouseprices.com/sold/view/ACT/341826850/45-177+Badimara+Street%2C+Fisher+ACT/
30,2611,Fisher,47,https://www.auhouseprices.com/sold/list/ACT/2611/Fisher/,22/177 Badimara Street ,-35.3580900,149.0567393,retirement living,1,1,1,"$255,000",https://www.auhouseprices.com/sold/view/ACT/341118950/22-177+Badimara+Street%2C+Fisher+ACT/
