,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,12 Rossell Place ,-35.2076819,149.0367987,house,4,2,2,"$715,000",https://www.auhouseprices.com/sold/view/ACT/341908870/12+Rossell+Place%2C+Flynn+ACT/
1,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,5 Inlander Crescent ,-35.2103381,149.0471466,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341079870/5+Inlander+Crescent%2C+Flynn+ACT/
2,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,3 Willyama Place ,-35.2035085,149.0485128,house,5,3,2,"$835,000",https://www.auhouseprices.com/sold/view/ACT/341187870/3+Willyama+Place%2C+Flynn+ACT/
3,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,15 Nulsen Circuit ,-35.2065623,149.0401099,house,5,2,2,"$865,000",https://www.auhouseprices.com/sold/view/ACT/341180870/15+Nulsen+Circuit%2C+Flynn+ACT/
4,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,48 Tillyard Drive ,-35.2042297,149.0394364,house,4,2,2,"$700,000",https://www.auhouseprices.com/sold/view/ACT/341910970/48+Tillyard+Drive%2C+Flynn+ACT/
5,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,27 Pattinson Crescent ,-35.2036675,149.0487035,house,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341751770/27+Pattinson+Crescent%2C+Flynn+ACT/
6,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,32 Pattinson Crescent ,-35.2034401,149.0493568,house,4,2,3,,https://www.auhouseprices.com/sold/view/ACT/341484570/32+Pattinson+Crescent%2C+Flynn+ACT/
7,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,37 Inlander Crescent ,-35.2123837,149.0455942,house,3,1,2,"$700,500",https://www.auhouseprices.com/sold/view/ACT/341721570/37+Inlander+Crescent%2C+Flynn+ACT/
8,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,20B Wilkinson Street ,-35.1977776,149.0478197,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341634960/20B+Wilkinson+Street%2C+Flynn+ACT/
9,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,41 Bingle Street ,-35.2043404,149.0430309,house,4,1,2,,https://www.auhouseprices.com/sold/view/ACT/341133960/41+Bingle+Street%2C+Flynn+ACT/
10,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,40 Crawford Crescent ,-35.2005938,149.0460123,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341290860/40+Crawford+Crescent%2C+Flynn+ACT/
11,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,29 Crawford Crescent ,-35.2011144,149.0450808,house,4,2,4,,https://www.auhouseprices.com/sold/view/ACT/341065760/29+Crawford+Crescent%2C+Flynn+ACT/
12,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,17 Vogelsang Place ,-35.2113058,149.0405581,house,3,2,3,"$710,000",https://www.auhouseprices.com/sold/view/ACT/341885760/17+Vogelsang+Place%2C+Flynn+ACT/
13,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,8 Flierl Place ,-35.1986198,149.0481264,house,4,2,3,"$840,000",https://www.auhouseprices.com/sold/view/ACT/341740560/8+Flierl+Place%2C+Flynn+ACT/
14,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,14 Murrell Place ,-35.2116585,149.0420938,house,4,2,2,"$750,500",https://www.auhouseprices.com/sold/view/ACT/341519350/14+Murrell+Place%2C+Flynn+ACT/
15,2615,Flynn,45,https://www.auhouseprices.com/sold/list/ACT/2615/Flynn/,26 Huelin Circuit ,-35.2016847,149.0476103,house,5,3,4,"$749,000",https://www.auhouseprices.com/sold/view/ACT/341694450/26+Huelin+Circuit%2C+Flynn+ACT/
