,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,42 Baracchi Crescent ,-35.2065167,149.0918980,house,5,3,2,,https://www.auhouseprices.com/sold/view/ACT/341169170/42+Baracchi+Crescent%2C+Giralang+ACT/
1,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,10 Gidja Place ,-35.2114140,149.1052930,house,5,2,1,,https://www.auhouseprices.com/sold/view/ACT/341418170/10+Gidja+Place%2C+Giralang+ACT/
2,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,100 Chuculba Crescent ,-35.2105981,149.1003619,house,4,2,2,"$899,000",https://www.auhouseprices.com/sold/view/ACT/341944070/100+Chuculba+Crescent%2C+Giralang+ACT/
3,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,10 Alphard Place ,-35.2122240,149.0923740,house,6,2,3,"$910,000",https://www.auhouseprices.com/sold/view/ACT/341263970/10+Alphard+Place%2C+Giralang+ACT/
4,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,26 Balamara Street ,-35.2123325,149.0892242,house,4,2,3,"$875,000",https://www.auhouseprices.com/sold/view/ACT/341105870/26+Balamara+Street%2C+Giralang+ACT/
5,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,14 Malindi Place ,-35.2091316,149.0996760,house,3,1,2,"$725,000",https://www.auhouseprices.com/sold/view/ACT/341046770/14+Malindi+Place%2C+Giralang+ACT/
6,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,1 Avior Place ,-35.2157162,149.0900841,house,5,2,2,,https://www.auhouseprices.com/sold/view/ACT/341540770/1+Avior+Place%2C+Giralang+ACT/
7,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,161 Chuculba Crescent ,-35.2147570,149.1007107,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341766670/161+Chuculba+Crescent%2C+Giralang+ACT/
8,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,12 Maraar Place ,-35.2151008,149.0990828,house,3,1,4,"$726,750",https://www.auhouseprices.com/sold/view/ACT/341710770/12+Maraar+Place%2C+Giralang+ACT/
9,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,47 Kootingal Street ,-35.2130359,149.0963109,townhouse,2,1,1,,https://www.auhouseprices.com/sold/view/ACT/341716570/47+Kootingal+Street%2C+Giralang+ACT/
10,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,8 Musca Place ,-35.2077509,149.0961146,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341956360/8+Musca+Place%2C+Giralang+ACT/
11,2617,Giralang,45,https://www.auhouseprices.com/sold/list/ACT/2617/Giralang/,12 Chuculba Crescent ,-35.2096882,149.0899143,house,3,1,4,"$675,000",https://www.auhouseprices.com/sold/view/ACT/341596960/12+Chuculba+Crescent%2C+Giralang+ACT/
