,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,27 Sherwood Circuit ,-35.4624123,149.0893709,house,3,1,1,"$550,000",https://www.auhouseprices.com/sold/view/ACT/341846370/27+Sherwood+Circuit%2C+Gordon+ACT/
1,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,48 Charlton Crescent ,-35.4613504,149.0777850,house,4,2,2,"$825,000",https://www.auhouseprices.com/sold/view/ACT/341090170/48+Charlton+Crescent%2C+Gordon+ACT/
2,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,4 Thomas Hales Place ,-35.4486223,149.0824483,house,4,2,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341496070/4+Thomas+Hales+Place%2C+Gordon+ACT/
3,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,6/13 Sherwood Circuit ,-35.4611205,149.0894520,townhouse,2,1,1,"$435,000",https://www.auhouseprices.com/sold/view/ACT/341924170/6-13+Sherwood+Circuit%2C+Gordon+ACT/
4,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,3/23 Kellick Place ,-35.4622107,149.0857046,townhouse,3,1,1,"$465,000",https://www.auhouseprices.com/sold/view/ACT/341961070/3-23+Kellick+Place%2C+Gordon+ACT/
5,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,10 Hickenbotham Street ,-35.4670573,149.0851161,townhouse,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341656970/10+Hickenbotham+Street%2C+Gordon+ACT/
6,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,19 Woodfull Loop ,-35.4440263,149.0844450,house,4,2,2,"$844,000",https://www.auhouseprices.com/sold/view/ACT/341500970/19+Woodfull+Loop%2C+Gordon+ACT/
7,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,5 Wootton Crescent ,-35.4586928,149.0787303,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341631770/5+Wootton+Crescent%2C+Gordon+ACT/
8,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,7/2 Travers Street ,-35.4648719,149.0853398,townhouse,2,2,2,"$465,000",https://www.auhouseprices.com/sold/view/ACT/341874670/7-2+Travers+Street%2C+Gordon+ACT/
9,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,18 Chipperfield Circuit ,-35.4743586,149.0892723,house,3,1,2,"$590,000",https://www.auhouseprices.com/sold/view/ACT/341576770/18+Chipperfield+Circuit%2C+Gordon+ACT/
10,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,6/15 Oxenham Circuit ,-35.4598703,149.0852464,townhouse,3,1,1,"$530,000",https://www.auhouseprices.com/sold/view/ACT/341982670/6-15+Oxenham+Circuit%2C+Gordon+ACT/
11,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,44 Kirkwood Crescent ,-35.4607571,149.0792573,house,4,2,2,"$830,000",https://www.auhouseprices.com/sold/view/ACT/341468770/44+Kirkwood+Crescent%2C+Gordon+ACT/
12,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,162 Knoke Avenue ,-35.4676405,149.0878312,house,4,2,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341177570/162+Knoke+Avenue%2C+Gordon+ACT/
13,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,20 Shean Place ,-35.4710446,149.0875115,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341651460/20+Shean+Place%2C+Gordon+ACT/
14,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,4/9 Ferry Place ,-35.4613309,149.0884933,townhouse,2,1,2,"$470,000",https://www.auhouseprices.com/sold/view/ACT/341182360/4-9+Ferry+Place%2C+Gordon+ACT/
15,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,9 Jerome Place ,-35.4543105,149.0887096,house,3,2,3,"$791,000",https://www.auhouseprices.com/sold/view/ACT/341973360/9+Jerome+Place%2C+Gordon+ACT/
16,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,8 Cropper Place ,-35.4449770,149.0857694,house,5,2,2,"$855,000",https://www.auhouseprices.com/sold/view/ACT/341065260/8+Cropper+Place%2C+Gordon+ACT/
17,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,3/8 Popplewell Place ,-35.4661774,149.0885580,townhouse,3,1,1,"$470,000",https://www.auhouseprices.com/sold/view/ACT/341996160/3-8+Popplewell+Place%2C+Gordon+ACT/
18,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,8 Lawlor Place ,-35.4672628,149.0862126,house,3,1,1,"$570,000",https://www.auhouseprices.com/sold/view/ACT/341296160/8+Lawlor+Place%2C+Gordon+ACT/
19,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,33 Lewis Luxton Avenue ,-35.4513338,149.0893378,house,5,2,2,"$848,000",https://www.auhouseprices.com/sold/view/ACT/341139260/33+Lewis+Luxton+Avenue%2C+Gordon+ACT/
20,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,28 Callaway Crescent ,-35.4598830,149.0813282,house,4,3,4,,https://www.auhouseprices.com/sold/view/ACT/341231160/28+Callaway+Crescent%2C+Gordon+ACT/
21,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,9 Saggers Close ,-35.4629275,149.0898140,house,3,2,4,"$635,000",https://www.auhouseprices.com/sold/view/ACT/341042960/9+Saggers+Close%2C+Gordon+ACT/
22,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,Unit 10/5 Bushby Cl ,-35.4664697,149.0886007,townhouse,2,1,2,"$395,000",https://www.auhouseprices.com/sold/view/ACT/341542260/Unit+10-5+Bushby+Cl%2C+Gordon+ACT/
23,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,8 Donohoe Place ,-35.4494197,149.0858620,house,4,2,3,"$795,000",https://www.auhouseprices.com/sold/view/ACT/341086860/8+Donohoe+Place%2C+Gordon+ACT/
24,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,24 Saggers Close ,-35.4636261,149.0890387,house,3,1,4,"$639,000",https://www.auhouseprices.com/sold/view/ACT/341855560/24+Saggers+Close%2C+Gordon+ACT/
25,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,2 McHale Place ,-35.4612503,149.0867184,house,4,2,2,"$675,000",https://www.auhouseprices.com/sold/view/ACT/341690560/2+McHale+Place%2C+Gordon+ACT/
26,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,16/34 Sid Barnes Crescent ,-35.4551851,149.0905720,townhouse,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341562450/16-34+Sid+Barnes+Crescent%2C+Gordon+ACT/
27,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,17 Chevalley Loop ,-35.4455670,149.0897064,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341984450/17+Chevalley+Loop%2C+Gordon+ACT/
28,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,7 Pullar Place ,-35.4607788,149.0863537,house,2,1,2,"$485,000",https://www.auhouseprices.com/sold/view/ACT/341064350/7+Pullar+Place%2C+Gordon+ACT/
29,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,1 Donohoe Place ,-35.4490799,149.0851812,house,4,2,4,"$966,500",https://www.auhouseprices.com/sold/view/ACT/341784250/1+Donohoe+Place%2C+Gordon+ACT/
30,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,4 Chevalley Loop ,-35.4460018,149.0890677,house,3,1,1,"$535,000",https://www.auhouseprices.com/sold/view/ACT/341357250/4+Chevalley+Loop%2C+Gordon+ACT/
31,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,13 Cleeve Place ,-35.4633929,149.0853193,house,3,1,2,"$540,000",https://www.auhouseprices.com/sold/view/ACT/341611250/13+Cleeve+Place%2C+Gordon+ACT/
32,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,11/5 Harry Hopman Circuit ,-35.4686076,149.0882586,townhouse,3,2,1,"$515,000",https://www.auhouseprices.com/sold/view/ACT/341801150/11-5+Harry+Hopman+Circuit%2C+Gordon+ACT/
33,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,22 Flegg Crescent ,-35.4501735,149.0907510,house,6,3,4,"$800,000",https://www.auhouseprices.com/sold/view/ACT/341406050/22+Flegg+Crescent%2C+Gordon+ACT/
34,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,3 Mackney Place ,-35.4500016,149.0881796,house,4,2,2,"$710,000",https://www.auhouseprices.com/sold/view/ACT/341255950/3+Mackney+Place%2C+Gordon+ACT/
35,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,34 Clare Dennis Avenue ,-35.4454322,149.0875988,house,4,2,2,"$697,000",https://www.auhouseprices.com/sold/view/ACT/341088850/34+Clare+Dennis+Avenue%2C+Gordon+ACT/
36,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,40 Lewis Luxton Avenue ,-35.4506197,149.0894515,house,4,2,1,"$751,000",https://www.auhouseprices.com/sold/view/ACT/341334950/40+Lewis+Luxton+Avenue%2C+Gordon+ACT/
37,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,4 Myles Connell Crescent ,-35.4587036,149.0807139,house,3,2,2,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341670950/4+Myles+Connell+Crescent%2C+Gordon+ACT/
38,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,12/3 Charles Place ,-35.4570374,149.0838098,townhouse,4,2,2,"$615,000",https://www.auhouseprices.com/sold/view/ACT/341644850/12-3+Charles+Place%2C+Gordon+ACT/
39,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,41 Sid Barnes Crescent ,-35.4534329,149.0894141,house,4,2,2,"$870,000",https://www.auhouseprices.com/sold/view/ACT/341208750/41+Sid+Barnes+Crescent%2C+Gordon+ACT/
40,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,75 Jim Pike Avenue ,-35.4588828,149.0777856,townhouse,3,1,2,"$465,000",https://www.auhouseprices.com/sold/view/ACT/341328750/75+Jim+Pike+Avenue%2C+Gordon+ACT/
41,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,7/29 Popplewell Place ,-35.4655399,149.0893239,townhouse,3,1,1,"$455,000",https://www.auhouseprices.com/sold/view/ACT/341304750/7-29+Popplewell+Place%2C+Gordon+ACT/
42,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,47 Clem Hill Street ,-35.4638990,149.0810681,house,4,3,2,"$870,000",https://www.auhouseprices.com/sold/view/ACT/341391750/47+Clem+Hill+Street%2C+Gordon+ACT/
43,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,37 Woodfull Loop ,-35.4450138,149.0836442,house,3,1,2,"$665,000",https://www.auhouseprices.com/sold/view/ACT/341564650/37+Woodfull+Loop%2C+Gordon+ACT/
44,2906,Gordon,93,https://www.auhouseprices.com/sold/list/ACT/2906/Gordon/,10 Coventry Close ,-35.4725533,149.0904488,house,3,1,1,"$540,000",https://www.auhouseprices.com/sold/view/ACT/341941550/10+Coventry+Close%2C+Gordon+ACT/
