,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,14/224 Flemington Road ,-35.1947398,149.1516710,townhouse,3,2,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341541470/14-224+Flemington+Road%2C+Harrison+ACT/
1,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,89/224 Flemington Road ,-35.1947398,149.1516710,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341266370/89-224+Flemington+Road%2C+Harrison+ACT/
2,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,73/11 Wimmera Street ,-35.1993471,149.1506744,apartment,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341805370/73-11+Wimmera+Street%2C+Harrison+ACT/
3,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,37/17 Wimmera Street ,-35.1985961,149.1508303,townhouse,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341908370/37-17+Wimmera+Street%2C+Harrison+ACT/
4,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,40 Adventure Street ,-35.2082223,149.1539730,house,5,2,2,"$828,000",https://www.auhouseprices.com/sold/view/ACT/341705270/40+Adventure+Street%2C+Harrison+ACT/
5,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,46/224 Flemington Road ,-35.1947398,149.1516710,townhouse,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341312270/46-224+Flemington+Road%2C+Harrison+ACT/
6,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,13 Oberon Close ,-35.1925866,149.1557015,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341473270/13+Oberon+Close%2C+Harrison+ACT/
7,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,61/11 Wimmera Street ,-35.1993471,149.1506744,apartment,2,2,2,"$411,500",https://www.auhouseprices.com/sold/view/ACT/341084370/61-11+Wimmera+Street%2C+Harrison+ACT/
8,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,39/128 Flemington Road ,-35.2072078,149.1481577,apartment,1,1,2,,https://www.auhouseprices.com/sold/view/ACT/341307270/39-128+Flemington+Road%2C+Harrison+ACT/
9,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,19/4 Sapling Street ,-35.1925966,149.1520997,apartment,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341551070/19-4+Sapling+Street%2C+Harrison+ACT/
10,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,21 Kalianna ,-35.1866175,149.1537429,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341378970/21+Kalianna%2C+Harrison+ACT/
11,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,124/2 Windjana Street ,-35.2021502,149.1496939,unit,2,1,1,"$330,000",https://www.auhouseprices.com/sold/view/ACT/341809970/124-2+Windjana+Street%2C+Harrison+ACT/
12,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,72/148 Flemington Road ,-35.2028986,149.1491755,apartment,2,1,1,"$355,000",https://www.auhouseprices.com/sold/view/ACT/341747970/72-148+Flemington+Road%2C+Harrison+ACT/
13,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,6 Eldorado Street ,-35.1886535,149.1573656,house,5,2,2,"$937,000",https://www.auhouseprices.com/sold/view/ACT/341055370/6+Eldorado+Street%2C+Harrison+ACT/
14,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,8 Alanvale Street ,-35.2076812,149.1590443,house,4,2,2,"$900,000",https://www.auhouseprices.com/sold/view/ACT/341330970/8+Alanvale+Street%2C+Harrison+ACT/
15,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,3 Andruco Street ,-35.2014468,149.1603399,house,4,2,2,"$1,100,000",https://www.auhouseprices.com/sold/view/ACT/341709870/3+Andruco+Street%2C+Harrison+ACT/
16,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,10 Angora Street ,-35.2004936,149.1591944,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341026870/10+Angora+Street%2C+Harrison+ACT/
17,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,25 Parsley Street ,-35.1909455,149.1526821,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341714870/25+Parsley+Street%2C+Harrison+ACT/
18,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,83/148 Flemington Road ,-35.2028986,149.1491755,apartment,1,1,1,"$320,000",https://www.auhouseprices.com/sold/view/ACT/341122870/83-148+Flemington+Road%2C+Harrison+ACT/
19,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,32/224 Flemington Road ,-35.1947398,149.1516710,apartment,4,2,2,"$625,000",https://www.auhouseprices.com/sold/view/ACT/341895770/32-224+Flemington+Road%2C+Harrison+ACT/
20,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,34/224 Flemington Road ,-35.1947398,149.1516710,townhouse,3,2,1,"$542,000",https://www.auhouseprices.com/sold/view/ACT/341511770/34-224+Flemington+Road%2C+Harrison+ACT/
21,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,1/224 Flemington Rd ,-35.1947398,149.1516710,townhouse,4,2,2,"$635,000",https://www.auhouseprices.com/sold/view/ACT/341862670/1-224+Flemington+Rd%2C+Harrison+ACT/
22,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,96/148 Flemington Road ,-35.2028986,149.1491755,apartment,3,2,2,"$472,050",https://www.auhouseprices.com/sold/view/ACT/341517570/96-148+Flemington+Road%2C+Harrison+ACT/
23,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,45 Helby Street ,-35.2076164,149.1596466,house,5,3,2,"$960,000",https://www.auhouseprices.com/sold/view/ACT/341310460/45+Helby+Street%2C+Harrison+ACT/
24,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,32 Casilda Street ,-35.2072075,149.1613383,house,5,3,2,"$1,225,000",https://www.auhouseprices.com/sold/view/ACT/341411460/32+Casilda+Street%2C+Harrison+ACT/
25,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,2/2 Dimby Street ,-35.2007474,149.1570924,apartment,2,1,1,"$417,000",https://www.auhouseprices.com/sold/view/ACT/341148360/2-2+Dimby+Street%2C+Harrison+ACT/
