,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,4 Southam Place ,-35.2214263,149.0246621,house,3,2,2,"$782,500",https://www.auhouseprices.com/sold/view/ACT/341922470/4+Southam+Place%2C+Holt+ACT/
1,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,14/131 Britten-Jones Drive ,-35.2276934,149.0038485,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341518270/14-131+Britten-Jones+Drive%2C+Holt+ACT/
2,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,1 Trott Place ,-35.2248931,149.0081365,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341034270/1+Trott+Place%2C+Holt+ACT/
3,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,23 Mockridge Crescent ,-35.2291623,149.0159657,house,4,1,3,"$730,000",https://www.auhouseprices.com/sold/view/ACT/341683070/23+Mockridge+Crescent%2C+Holt+ACT/
4,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,16 Cavill Close ,-35.2245577,149.0066121,house,3,1,0,"$650,000",https://www.auhouseprices.com/sold/view/ACT/341462970/16+Cavill+Close%2C+Holt+ACT/
5,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,12 Beaurepaire Crescent ,-35.2267556,149.0154008,house,4,2,4,"$855,000",https://www.auhouseprices.com/sold/view/ACT/341963970/12+Beaurepaire+Crescent%2C+Holt+ACT/
6,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,3 Kieran Place ,-35.2219626,149.0103385,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341685970/3+Kieran+Place%2C+Holt+ACT/
7,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,11/68 Lorraway Street ,-35.2275328,148.9977314,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341005770/11-68+Lorraway+Street%2C+Holt+ACT/
8,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,19 Brownlow Place ,-35.2261702,149.0196931,house,3,2,2,"$612,000",https://www.auhouseprices.com/sold/view/ACT/341617670/19+Brownlow+Place%2C+Holt+ACT/
9,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,40 Blackham Street ,-35.2230252,149.0271034,townhouse,2,1,1,"$425,000",https://www.auhouseprices.com/sold/view/ACT/341452670/40+Blackham+Street%2C+Holt+ACT/
10,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,34 Trumper Street ,-35.2231917,149.0150380,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341666570/34+Trumper+Street%2C+Holt+ACT/
11,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,4 Bunton Place ,-35.2222788,149.0108406,house,3,1,2,"$730,000",https://www.auhouseprices.com/sold/view/ACT/341853570/4+Bunton+Place%2C+Holt+ACT/
12,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,54/23 Blackham Street ,-35.2245267,149.0271279,townhouse,3,1,1,"$465,000",https://www.auhouseprices.com/sold/view/ACT/341791570/54-23+Blackham+Street%2C+Holt+ACT/
13,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,69 Lionel Rose ,-35.2268339,148.9987178,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341050570/69+Lionel+Rose%2C+Holt+ACT/
14,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,8 Kellermann Close ,-35.2252138,149.0181203,house,3,1,2,"$435,000",https://www.auhouseprices.com/sold/view/ACT/341833460/8+Kellermann+Close%2C+Holt+ACT/
15,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,11 Eaves Street ,-35.2283796,149.0142434,house,5,2,4,"$780,000",https://www.auhouseprices.com/sold/view/ACT/341042460/11+Eaves+Street%2C+Holt+ACT/
16,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,7 Trumper Street ,-35.2245744,149.0142921,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341121460/7+Trumper+Street%2C+Holt+ACT/
17,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,6 Giltinan Place ,-35.2242579,149.0299949,townhouse,2,1,1,,https://www.auhouseprices.com/sold/view/ACT/341939360/6+Giltinan+Place%2C+Holt+ACT/
18,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,81 Lionel Rose Street ,-35.2260877,148.9985896,house,4,3,2,"$700,000",https://www.auhouseprices.com/sold/view/ACT/341451260/81+Lionel+Rose+Street%2C+Holt+ACT/
19,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,17 Slight Place ,-35.2229902,149.0011024,house,3,1,2,"$578,000",https://www.auhouseprices.com/sold/view/ACT/341334160/17+Slight+Place%2C+Holt+ACT/
20,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,6 Trickett Street ,-35.2298318,149.0106298,townhouse,4,2,2,"$520,000",https://www.auhouseprices.com/sold/view/ACT/341442160/6+Trickett+Street%2C+Holt+ACT/
21,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,126 Pro Hart Avenue ,-35.2304569,148.9955104,house,4,2,2,"$640,000",https://www.auhouseprices.com/sold/view/ACT/341639060/126+Pro+Hart+Avenue%2C+Holt+ACT/
22,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,7/49 Fullston Way ,-35.2287033,148.9987690,townhouse,4,2,2,"$642,000",https://www.auhouseprices.com/sold/view/ACT/341537760/7-49+Fullston+Way%2C+Holt+ACT/
23,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,12/23 Chave Street ,-35.2236400,149.0259715,townhouse,3,1,1,"$443,975",https://www.auhouseprices.com/sold/view/ACT/341557660/12-23+Chave+Street%2C+Holt+ACT/
24,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,6 Southam Place ,-35.2213237,149.0248682,house,3,1,4,,https://www.auhouseprices.com/sold/view/ACT/341425660/6+Southam+Place%2C+Holt+ACT/
25,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,58/68 Hardwick Crescent ,-35.2203995,149.0192026,unit,2,2,1,"$310,000",https://www.auhouseprices.com/sold/view/ACT/341164660/58-68+Hardwick+Crescent%2C+Holt+ACT/
26,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,23 McCabe Crescent ,-35.2285743,149.0171707,house,4,1,1,,https://www.auhouseprices.com/sold/view/ACT/341591660/23+McCabe+Crescent%2C+Holt+ACT/
27,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,5 Bardsley Place ,-35.2276240,149.0098080,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341627560/5+Bardsley+Place%2C+Holt+ACT/
28,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,3 Beach Place ,-35.2204913,149.0115326,house,5,3,3,"$820,000",https://www.auhouseprices.com/sold/view/ACT/341673560/3+Beach+Place%2C+Holt+ACT/
29,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,10 Chester Close ,-35.2242918,148.9981610,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341682450/10+Chester+Close%2C+Holt+ACT/
