,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,193 Kent Street ,-35.3328961,149.0951177,duplex-semi-detached,3,1,1,"$990,000",https://www.auhouseprices.com/sold/view/ACT/341079370/193+Kent+Street%2C+Hughes+ACT/
1,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,25 Conyers Street ,-35.3370817,149.0928825,house,3,1,1,"$1,216,000",https://www.auhouseprices.com/sold/view/ACT/341561370/25+Conyers+Street%2C+Hughes+ACT/
2,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,8/9 Bisdee Street ,-35.3360122,149.0916710,townhouse,3,3,2,"$775,000",https://www.auhouseprices.com/sold/view/ACT/341637070/8-9+Bisdee+Street%2C+Hughes+ACT/
3,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,14 Pope Street ,-35.3372926,149.0916337,house,3,3,1,"$1,605,000",https://www.auhouseprices.com/sold/view/ACT/341421970/14+Pope+Street%2C+Hughes+ACT/
4,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,56 Carroll Street ,-35.3337612,149.0920310,duplex-semi-detached,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341444770/56+Carroll+Street%2C+Hughes+ACT/
5,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,19 Pope Street ,-35.3371326,149.0920257,house,3,2,1,"$990,000",https://www.auhouseprices.com/sold/view/ACT/341066670/19+Pope+Street%2C+Hughes+ACT/
6,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,27 Conyers Street ,-35.3372368,149.0927765,house,4,2,1,"$1,131,000",https://www.auhouseprices.com/sold/view/ACT/341116670/27+Conyers+Street%2C+Hughes+ACT/
7,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,46 Groom Street ,-35.3313467,149.0893243,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341730670/46+Groom+Street%2C+Hughes+ACT/
8,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,20 Bamford Street ,-35.3377153,149.0968924,house,4,2,5,"$1,200,000",https://www.auhouseprices.com/sold/view/ACT/341452460/20+Bamford+Street%2C+Hughes+ACT/
9,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,4/27 Coxen Street ,-35.3352594,149.0924547,studio,1,"$195,000",0,"$195,000",https://www.auhouseprices.com/sold/view/ACT/341508260/4-27+Coxen+Street%2C+Hughes+ACT/
10,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,15 Goble Street ,-35.3328180,149.0996151,house,5,3,2,"$2,500,000",https://www.auhouseprices.com/sold/view/ACT/341027160/15+Goble+Street%2C+Hughes+ACT/
11,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,62 Groom Place ,-35.3302633,149.0894174,house,5,3,2,,https://www.auhouseprices.com/sold/view/ACT/341150060/62+Groom+Place%2C+Hughes+ACT/
12,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,25 Glasgow Street ,-35.3291694,149.0989597,house,4,2,2,"$1,655,000",https://www.auhouseprices.com/sold/view/ACT/341907960/25+Glasgow+Street%2C+Hughes+ACT/
13,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,73A Birdwood Street ,-35.3334010,149.1018634,house,4,3,2,"$1,325,000",https://www.auhouseprices.com/sold/view/ACT/341857960/73A+Birdwood+Street%2C+Hughes+ACT/
14,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,4 Bamford Street ,-35.3364989,149.0978951,house,3,1,1,"$1,045,000",https://www.auhouseprices.com/sold/view/ACT/341288760/4+Bamford+Street%2C+Hughes+ACT/
15,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,14 Downes Place ,-35.3308605,149.1022816,house,6,3,4,"$1,540,000",https://www.auhouseprices.com/sold/view/ACT/341861760/14+Downes+Place%2C+Hughes+ACT/
16,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,10 Spence Place ,-35.3291651,149.0924473,house,5,4,2,,https://www.auhouseprices.com/sold/view/ACT/341188660/10+Spence+Place%2C+Hughes+ACT/
17,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,19 Birdwood Street ,-35.3299024,149.0972405,house,4,2,3,,https://www.auhouseprices.com/sold/view/ACT/341000760/19+Birdwood+Street%2C+Hughes+ACT/
18,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,2/38 Coxen Street ,-35.3359264,149.0925883,townhouse,4,3,2,"$955,000",https://www.auhouseprices.com/sold/view/ACT/341525760/2-38+Coxen+Street%2C+Hughes+ACT/
19,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,24 Bisdee Street ,-35.3364577,149.0919533,house,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341639560/24+Bisdee+Street%2C+Hughes+ACT/
20,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,56 Bamford Street ,-35.3363535,149.0995195,house,4,2,2,"$1,130,000",https://www.auhouseprices.com/sold/view/ACT/341181450/56+Bamford+Street%2C+Hughes+ACT/
21,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,23 Webster Street ,-35.3342715,149.0885745,house,5,2,2,,https://www.auhouseprices.com/sold/view/ACT/341073450/23+Webster+Street%2C+Hughes+ACT/
22,2605,Hughes,45,https://www.auhouseprices.com/sold/list/ACT/2605/Hughes/,30 Bisdee Street ,-35.3366961,149.0927625,house,3,1,1,"$940,108",https://www.auhouseprices.com/sold/view/ACT/341533450/30+Bisdee+Street%2C+Hughes+ACT/
