,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,71 Alberga Street ,-35.2363891,149.1009389,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341781470/71+Alberga+Street%2C+Kaleen+ACT/
1,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,7 Cataract Street ,-35.2339909,149.0973171,house,4,2,4,"$1,100,011",https://www.auhouseprices.com/sold/view/ACT/341580370/7+Cataract+Street%2C+Kaleen+ACT/
2,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,53 Maribyrnong Avenue ,-35.2182447,149.1054407,house,4,2,2,"$820,000",https://www.auhouseprices.com/sold/view/ACT/341407370/53+Maribyrnong+Avenue%2C+Kaleen+ACT/
3,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,19 Florentine Circuit ,-35.2263204,149.1086554,house,3,2,4,"$990,000",https://www.auhouseprices.com/sold/view/ACT/341480270/19+Florentine+Circuit%2C+Kaleen+ACT/
4,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,27 Oakover Street ,-35.2309647,149.1116653,house,2,2,3,"$1,102,000",https://www.auhouseprices.com/sold/view/ACT/341424370/27+Oakover+Street%2C+Kaleen+ACT/
5,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,57 Callabonna Street ,-35.2157306,149.1053825,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341093970/57+Callabonna+Street%2C+Kaleen+ACT/
6,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,12 Pieman Crescent ,-35.2270169,149.1172980,house,5,2,2,,https://www.auhouseprices.com/sold/view/ACT/341328870/12+Pieman+Crescent%2C+Kaleen+ACT/
7,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,33A Gascoyne Place ,-35.2185536,149.1081231,duplex-semi-detached,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341362870/33A+Gascoyne+Place%2C+Kaleen+ACT/
8,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,7 Cooks Street ,-35.2217773,149.1050004,townhouse,3,2,1,"$651,500",https://www.auhouseprices.com/sold/view/ACT/341643770/7+Cooks+Street%2C+Kaleen+ACT/
9,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,7 Sherlock ,-35.2280372,149.1001302,house,3,1,2,"$803,000",https://www.auhouseprices.com/sold/view/ACT/341737670/7+Sherlock%2C+Kaleen+ACT/
10,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,29 Pokana Circuit ,-35.2307629,149.0947509,house,4,3,2,"$910,000",https://www.auhouseprices.com/sold/view/ACT/341754670/29+Pokana+Circuit%2C+Kaleen+ACT/
11,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,36 Powlett Street ,-35.2186225,149.1018649,house,3,1,1,"$906,000",https://www.auhouseprices.com/sold/view/ACT/341550460/36+Powlett+Street%2C+Kaleen+ACT/
12,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,16 Gascoyne Circuit ,-35.2187011,149.1071949,house,3,2,3,,https://www.auhouseprices.com/sold/view/ACT/341617460/16+Gascoyne+Circuit%2C+Kaleen+ACT/
13,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,55 Shannon Circuit ,-35.2379971,149.1038593,house,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341687460/55+Shannon+Circuit%2C+Kaleen+ACT/
14,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,8 Darby Street ,-35.2170854,149.1067907,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341509460/8+Darby+Street%2C+Kaleen+ACT/
15,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,17 Balonne Street ,-35.2298273,149.1019123,house,3,2,1,"$850,000",https://www.auhouseprices.com/sold/view/ACT/341025460/17+Balonne+Street%2C+Kaleen+ACT/
16,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,5/112 Baldwin Drive ,-35.2228581,149.1009086,apartment,3,2,2,"$430,000",https://www.auhouseprices.com/sold/view/ACT/341836360/5-112+Baldwin+Drive%2C+Kaleen+ACT/
17,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,20 Terewah Circuit ,-35.2323890,149.1101200,house,3,1,2,"$866,000",https://www.auhouseprices.com/sold/view/ACT/341859160/20+Terewah+Circuit%2C+Kaleen+ACT/
18,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,34 Pokana Circuit ,-35.2301878,149.0951646,house,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341454160/34+Pokana+Circuit%2C+Kaleen+ACT/
19,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,46 Terewah Circuit ,-35.2340119,149.1090743,house,3,1,2,"$832,000",https://www.auhouseprices.com/sold/view/ACT/341747060/46+Terewah+Circuit%2C+Kaleen+ACT/
20,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,47 Maranoa Street ,-35.2315451,149.0995504,house,3,1,1,"$822,000",https://www.auhouseprices.com/sold/view/ACT/341447960/47+Maranoa+Street%2C+Kaleen+ACT/
21,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,7 Callabonna Street ,-35.2192572,149.1010787,duplex-semi-detached,2,2,1,"$625,000",https://www.auhouseprices.com/sold/view/ACT/341613860/7+Callabonna+Street%2C+Kaleen+ACT/
22,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,61 Shannon Circuit ,-35.2378370,149.1032178,house,4,2,3,"$872,500",https://www.auhouseprices.com/sold/view/ACT/341683860/61+Shannon+Circuit%2C+Kaleen+ACT/
23,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,46 Bellinger Crescent ,-35.2242122,149.1163242,house,4,3,2,"$990,000",https://www.auhouseprices.com/sold/view/ACT/341641450/46+Bellinger+Crescent%2C+Kaleen+ACT/
24,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,34A Pambula Street ,-35.2350840,149.1081707,house,2,1,1,"$446,000",https://www.auhouseprices.com/sold/view/ACT/341680350/34A+Pambula+Street%2C+Kaleen+ACT/
25,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,10 Greenough Circuit ,-35.2268039,149.1124583,house,5,3,2,,https://www.auhouseprices.com/sold/view/ACT/341802350/10+Greenough+Circuit%2C+Kaleen+ACT/
26,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,17 Neales Street ,-35.2285653,149.1029455,house,5,3,2,"$1,005,000",https://www.auhouseprices.com/sold/view/ACT/341421350/17+Neales+Street%2C+Kaleen+ACT/
27,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,21 Neales Street ,-35.2289355,149.1029111,house,4,2,2,"$947,000",https://www.auhouseprices.com/sold/view/ACT/341410150/21+Neales+Street%2C+Kaleen+ACT/
28,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,23 Bokhara Circuit ,-35.2285609,149.1145804,house,3,1,2,"$862,000",https://www.auhouseprices.com/sold/view/ACT/341344050/23+Bokhara+Circuit%2C+Kaleen+ACT/
29,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,14 Sanford Place ,-35.2261985,149.1156397,house,4,2,2,"$980,000",https://www.auhouseprices.com/sold/view/ACT/341617050/14+Sanford+Place%2C+Kaleen+ACT/
30,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,20 Oakover Circuit ,-35.2312661,149.1119588,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341157050/20+Oakover+Circuit%2C+Kaleen+ACT/
31,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,29 Daintree Crescent ,-35.2336196,149.1119209,house,3,1,1,"$730,000",https://www.auhouseprices.com/sold/view/ACT/341488050/29+Daintree+Crescent%2C+Kaleen+ACT/
32,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,55 Yarra Street ,-35.2195110,149.1119287,house,3,1,2,"$760,000",https://www.auhouseprices.com/sold/view/ACT/341175250/55+Yarra+Street%2C+Kaleen+ACT/
33,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,59 Gascoyne Circuit ,-35.2197000,149.1062000,house,4,2,2,"$950,000",https://www.auhouseprices.com/sold/view/ACT/341729440/59+Gascoyne+Circuit%2C+Kaleen+ACT/
34,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,52 Maribyrnong Avenue ,-35.2184300,149.1057600,house,3,1,3,"$750,000",https://www.auhouseprices.com/sold/view/ACT/341149440/52+Maribyrnong+Avenue%2C+Kaleen+ACT/
35,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,24 Skardon Street ,-35.2349899,149.1098578,house,3,1,2,"$800,500",https://www.auhouseprices.com/sold/view/ACT/341543340/24+Skardon+Street%2C+Kaleen+ACT/
36,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,26 Greenough Circuit ,-35.2270300,149.1144600,house,5,2,1,"$1,010,000",https://www.auhouseprices.com/sold/view/ACT/341107240/26+Greenough+Circuit%2C+Kaleen+ACT/
37,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,7/112 Baldwin Drive ,-35.2228581,149.1009086,apartment,3,2,2,"$410,000",https://www.auhouseprices.com/sold/view/ACT/341089140/7-112+Baldwin+Drive%2C+Kaleen+ACT/
38,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,38 Bellinger Crescent ,-35.2233291,149.1163013,house,3,1,0,"$761,000",https://www.auhouseprices.com/sold/view/ACT/341178940/38+Bellinger+Crescent%2C+Kaleen+ACT/
39,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,2 Inman Place ,-35.2213661,149.1172061,house,4,2,3,"$1,030,000",https://www.auhouseprices.com/sold/view/ACT/341306740/2+Inman+Place%2C+Kaleen+ACT/
40,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,31 Bingham Circuit ,-35.2341120,149.0939690,house,4,1,2,"$721,000",https://www.auhouseprices.com/sold/view/ACT/341202540/31+Bingham+Circuit%2C+Kaleen+ACT/
41,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,13 Warrego Circuit ,-35.2291174,149.1131666,house,4,2,2,"$756,000",https://www.auhouseprices.com/sold/view/ACT/341492529/13+Warrego+Circuit%2C+Kaleen+ACT/
42,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,27 Fitzmaurice Street ,-35.2308428,149.1057291,house,4,2,1,"$770,008",https://www.auhouseprices.com/sold/view/ACT/341483540/27+Fitzmaurice+Street%2C+Kaleen+ACT/
43,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,16 Murchison Street ,-35.2193000,149.1091300,house,4,2,2,"$860,000",https://www.auhouseprices.com/sold/view/ACT/341056429/16+Murchison+Street%2C+Kaleen+ACT/
44,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,9 Bemboka Crescent ,-35.2215542,149.1059065,house,3,1,1,"$683,000",https://www.auhouseprices.com/sold/view/ACT/341390329/9+Bemboka+Crescent%2C+Kaleen+ACT/
45,2617,Kaleen,82,https://www.auhouseprices.com/sold/list/ACT/2617/Kaleen/,3 Loddon Street ,-35.2294663,149.0993430,residential land,3,1,1,"$680,000",https://www.auhouseprices.com/sold/view/ACT/341404329/3+Loddon+Street%2C+Kaleen+ACT/
