,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,13 Battersby Circuit ,-35.3758247,149.0531354,house,3,1,3,,https://www.auhouseprices.com/sold/view/ACT/341510370/13+Battersby+Circuit%2C+Kambah+ACT/
1,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,119 Harrington Circuit ,-35.3772003,149.0607652,house,4,1,3,"$810,000",https://www.auhouseprices.com/sold/view/ACT/341630370/119+Harrington+Circuit%2C+Kambah+ACT/
2,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,33 Bateman Street ,-35.3915504,149.0481396,house,4,2,2,"$751,000",https://www.auhouseprices.com/sold/view/ACT/341043370/33+Bateman+Street%2C+Kambah+ACT/
3,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,22 Inkster Street ,-35.3768742,149.0661283,house,3,2,2,"$800,000",https://www.auhouseprices.com/sold/view/ACT/341122370/22+Inkster+Street%2C+Kambah+ACT/
4,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,17 McLeod Place ,-35.3910512,149.0552388,house,3,1,1,"$696,000",https://www.auhouseprices.com/sold/view/ACT/341758270/17+McLeod+Place%2C+Kambah+ACT/
5,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,25A Humble Court ,-35.3825775,149.0783933,house,3,2,1,"$730,000",https://www.auhouseprices.com/sold/view/ACT/341792270/25A+Humble+Court%2C+Kambah+ACT/
6,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,11 McCullock Place ,-35.3856937,149.0670137,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341751270/11+McCullock+Place%2C+Kambah+ACT/
7,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,19 Broadhurst Street ,-35.3872556,149.0805279,house,4,2,2,"$1,080,000",https://www.auhouseprices.com/sold/view/ACT/341277170/19+Broadhurst+Street%2C+Kambah+ACT/
8,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,6 Masters Place ,-35.3907655,149.0518959,house,4,2,1,"$753,000",https://www.auhouseprices.com/sold/view/ACT/341049170/6+Masters+Place%2C+Kambah+ACT/
9,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,12/19 Ashby Circuit ,-35.3960927,149.0670212,townhouse,2,1,1,,https://www.auhouseprices.com/sold/view/ACT/341464170/12-19+Ashby+Circuit%2C+Kambah+ACT/
10,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,17 Maidment Place ,-35.3931297,149.0496328,house,3,1,4,"$752,000",https://www.auhouseprices.com/sold/view/ACT/341821170/17+Maidment+Place%2C+Kambah+ACT/
11,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,5 Broad Place ,-35.3901100,149.0575708,house,4,3,4,,https://www.auhouseprices.com/sold/view/ACT/341534070/5+Broad+Place%2C+Kambah+ACT/
12,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,5 Franks Place ,-35.3908791,149.0605738,house,3,2,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341519970/5+Franks+Place%2C+Kambah+ACT/
13,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,58 Summerland Circuit ,-35.3841370,149.0684271,house,3,1,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341021070/58+Summerland+Circuit%2C+Kambah+ACT/
14,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,2/112 Bacchus Circuit ,-35.3789010,149.0540057,duplex-semi-detached,4,2,2,"$780,000",https://www.auhouseprices.com/sold/view/ACT/341837270/2-112+Bacchus+Circuit%2C+Kambah+ACT/
15,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,15 Trussell Place ,-35.4006973,149.0605154,house,4,2,2,"$1,116,500",https://www.auhouseprices.com/sold/view/ACT/341383970/15+Trussell+Place%2C+Kambah+ACT/
16,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,34 Fisken Crescent ,-35.3726350,149.0413437,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341271870/34+Fisken+Crescent%2C+Kambah+ACT/
17,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,3 Bellingham Crescent ,-35.3879225,149.0684687,house,4,1,2,"$725,000",https://www.auhouseprices.com/sold/view/ACT/341652870/3+Bellingham+Crescent%2C+Kambah+ACT/
18,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,14 Horton Close ,-35.3876218,149.0880340,house,4,2,2,"$800,000",https://www.auhouseprices.com/sold/view/ACT/341447670/14+Horton+Close%2C+Kambah+ACT/
19,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,6 Bethune Close ,-35.3866737,149.0523646,house,3,1,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341891670/6+Bethune+Close%2C+Kambah+ACT/
20,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,10/71 Morrison Street ,-35.3923050,149.0706566,townhouse,3,1,2,"$541,000",https://www.auhouseprices.com/sold/view/ACT/341208370/10-71+Morrison+Street%2C+Kambah+ACT/
21,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,76A Learmonth Drive ,-35.3963518,149.0563727,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341505570/76A+Learmonth+Drive%2C+Kambah+ACT/
22,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,13 Faithfull Circuit ,-35.3818699,149.0459245,house,3,1,2,"$755,000",https://www.auhouseprices.com/sold/view/ACT/341021570/13+Faithfull+Circuit%2C+Kambah+ACT/
23,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,3 Rounsevell Street ,-35.3944266,149.0465169,residential land,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341381570/3+Rounsevell+Street%2C+Kambah+ACT/
24,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,50 Harrington Circuit ,-35.3756823,149.0577987,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341049460/50+Harrington+Circuit%2C+Kambah+ACT/
25,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,24 Stanfield Close ,-35.3866440,149.0509328,house,3,1,1,"$637,500",https://www.auhouseprices.com/sold/view/ACT/341704360/24+Stanfield+Close%2C+Kambah+ACT/
