,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,13 Joske Place ,-35.2163271,149.0389591,house,3,2,2,"$825,000",https://www.auhouseprices.com/sold/view/ACT/341254370/13+Joske+Place%2C+Latham+ACT/
1,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,13 Kinchela Crescent ,-35.2102255,149.0286678,house,5,2,2,"$862,000",https://www.auhouseprices.com/sold/view/ACT/341834370/13+Kinchela+Crescent%2C+Latham+ACT/
2,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,15 Faucett Street ,-35.2248027,149.0362049,house,3,1,1,"$625,000",https://www.auhouseprices.com/sold/view/ACT/341695070/15+Faucett+Street%2C+Latham+ACT/
3,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,4 Chubb Street ,-35.2244369,149.0354377,house,3,1,1,"$672,000",https://www.auhouseprices.com/sold/view/ACT/341172970/4+Chubb+Street%2C+Latham+ACT/
4,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,26 Wrixon Street ,-35.2218000,149.0335591,house,3,1,1,"$690,000",https://www.auhouseprices.com/sold/view/ACT/341424870/26+Wrixon+Street%2C+Latham+ACT/
5,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,36 Hensman Street ,-35.2211304,149.0304883,house,5,2,4,"$855,000",https://www.auhouseprices.com/sold/view/ACT/341213870/36+Hensman+Street%2C+Latham+ACT/
6,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,8 Macfarlan Place ,-35.2163685,149.0311386,house,3,2,1,"$520,000",https://www.auhouseprices.com/sold/view/ACT/341561870/8+Macfarlan+Place%2C+Latham+ACT/
7,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,100 Dalley Crescent ,-35.2152399,149.0296275,house,4,1,1,"$781,000",https://www.auhouseprices.com/sold/view/ACT/341412870/100+Dalley+Crescent%2C+Latham+ACT/
8,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,54 Herron Crescent ,-35.2091365,149.0323205,house,5,2,2,"$815,000",https://www.auhouseprices.com/sold/view/ACT/341439770/54+Herron+Crescent%2C+Latham+ACT/
9,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,6 Markell Place ,-35.2172561,149.0400040,house,3,2,4,,https://www.auhouseprices.com/sold/view/ACT/341567460/6+Markell+Place%2C+Latham+ACT/
10,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,8 Rudall Street ,-35.2158516,149.0356077,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341140460/8+Rudall+Street%2C+Latham+ACT/
11,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,48 Macrossan Crescent ,-35.2130792,149.0337479,house,4,2,1,"$775,000",https://www.auhouseprices.com/sold/view/ACT/341642360/48+Macrossan+Crescent%2C+Latham+ACT/
12,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,6 O'Loghlen Street ,-35.2213064,149.0387871,house,3,1,4,"$657,000",https://www.auhouseprices.com/sold/view/ACT/341483160/6+O%27Loghlen+Street%2C+Latham+ACT/
13,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,9 Inglis Place ,-35.2160413,149.0307570,house,2,1,1,"$505,000",https://www.auhouseprices.com/sold/view/ACT/341243160/9+Inglis+Place%2C+Latham+ACT/
14,2615,Latham,51,https://www.auhouseprices.com/sold/list/ACT/2615/Latham/,3 Dovey Place ,-35.2097816,149.0320180,house,4,2,2,"$789,000",https://www.auhouseprices.com/sold/view/ACT/341006060/3+Dovey+Place%2C+Latham+ACT/
