,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,12 Boelke Place ,-35.2071611,149.0031673,house,3,2,2,"$771,000",https://www.auhouseprices.com/sold/view/ACT/341102470/12+Boelke+Place%2C+MacGregor+ACT/
1,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,2/21 Beeston Street ,-35.2104814,149.0229425,house,4,2,1,"$756,000",https://www.auhouseprices.com/sold/view/ACT/341199370/2-21+Beeston+Street%2C+MacGregor+ACT/
2,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,3B Bowden Crescent ,-35.2094589,149.0238375,house,3,2,1,"$651,000",https://www.auhouseprices.com/sold/view/ACT/341775270/3B+Bowden+Crescent%2C+MacGregor+ACT/
3,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,8 Dagmar Berne St ,-35.2163005,149.0022055,house,4,2,2,"$760,000",https://www.auhouseprices.com/sold/view/ACT/341790170/8+Dagmar+Berne+St%2C+MacGregor+ACT/
4,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,63 Brownless Street ,-35.2167374,149.0133734,house,3,2,3,,https://www.auhouseprices.com/sold/view/ACT/341248170/63+Brownless+Street%2C+MacGregor+ACT/
5,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,3/85 Macfarlane Burnet Avenue ,-35.2099440,149.0032027,townhouse,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341054170/3-85+Macfarlane+Burnet+Avenue%2C+MacGregor+ACT/
6,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,21 Eric De Salis Street ,-35.2134608,149.0054642,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341146370/21+Eric+De+Salis+Street%2C+MacGregor+ACT/
7,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,7 Bennie Street ,-35.2148357,149.0106350,house,3,1,2,"$666,000",https://www.auhouseprices.com/sold/view/ACT/341546070/7+Bennie+Street%2C+MacGregor+ACT/
8,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,32 Heighway Street ,-35.2122393,149.0035557,house,4,2,2,"$712,000",https://www.auhouseprices.com/sold/view/ACT/341373170/32+Heighway+Street%2C+MacGregor+ACT/
9,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,23 Mileham Street ,-35.2073455,149.0159643,house,4,2,2,"$794,000",https://www.auhouseprices.com/sold/view/ACT/341141070/23+Mileham+Street%2C+MacGregor+ACT/
10,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,91 Carman Loop ,-35.2065114,149.0086434,house,3,2,1,"$650,000",https://www.auhouseprices.com/sold/view/ACT/341958970/91+Carman+Loop%2C+MacGregor+ACT/
11,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,3A Bowden Crescent ,-35.2094589,149.0238375,house,3,2,1,"$653,000",https://www.auhouseprices.com/sold/view/ACT/341668970/3A+Bowden+Crescent%2C+MacGregor+ACT/
12,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,3B Wassell Place ,-35.2086999,149.0104178,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341411170/3B+Wassell+Place%2C+MacGregor+ACT/
13,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,28 Bryan Hudson Street ,-35.2150822,149.0044605,duplex-semi-detached,3,1,1,"$582,500",https://www.auhouseprices.com/sold/view/ACT/341871770/28+Bryan+Hudson+Street%2C+MacGregor+ACT/
14,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,47 Dagmar Berne Street ,-35.2138816,149.0023767,house,3,1,1,"$546,000",https://www.auhouseprices.com/sold/view/ACT/341646670/47+Dagmar+Berne+Street%2C+MacGregor+ACT/
15,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,26 Archdall Street ,-35.2080360,149.0172666,house,4,2,2,"$837,000",https://www.auhouseprices.com/sold/view/ACT/341069570/26+Archdall+Street%2C+MacGregor+ACT/
16,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,21 Pulleine Crescent ,-35.2163441,149.0082884,house,4,2,1,,https://www.auhouseprices.com/sold/view/ACT/341318570/21+Pulleine+Crescent%2C+MacGregor+ACT/
17,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,88A Hollows Circuit ,-35.2090410,148.9985231,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341189570/88A+Hollows+Circuit%2C+MacGregor+ACT/
18,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,23 Florey Drive ,-35.2164751,149.0188376,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341207460/23+Florey+Drive%2C+MacGregor+ACT/
19,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,48 Brownless Street ,-35.2166873,149.0142180,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341186460/48+Brownless+Street%2C+MacGregor+ACT/
20,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,15 Sewell Place ,-35.2184612,149.0148880,residential land,4,2,2,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341862460/15+Sewell+Place%2C+MacGregor+ACT/
