,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,4 Warramoo Crescent ,-35.3353342,149.1533441,house,2,1,1,,https://www.auhouseprices.com/sold/view/ACT/341460370/4+Warramoo+Crescent%2C+Narrabundah+ACT/
1,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,22 Mckinlay Street ,-35.3273820,149.1468191,house,2,1,0,"$1,337,000",https://www.auhouseprices.com/sold/view/ACT/341213370/22+Mckinlay+Street%2C+Narrabundah+ACT/
2,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,1 Strzelecki Crescent ,-35.3278462,149.1450493,house,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341195270/1+Strzelecki+Crescent%2C+Narrabundah+ACT/
3,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,47 Sprent Street ,-35.3377810,149.1419675,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341394270/47+Sprent+Street%2C+Narrabundah+ACT/
4,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,5/201 Goyder Street ,-35.3383348,149.1488581,apartment,2,1,1,"$440,500",https://www.auhouseprices.com/sold/view/ACT/341171270/5-201+Goyder+Street%2C+Narrabundah+ACT/
5,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,37 Tallara Parkway ,-35.3355708,149.1532184,house,4,1,1,"$1,043,000",https://www.auhouseprices.com/sold/view/ACT/341526170/37+Tallara+Parkway%2C+Narrabundah+ACT/
6,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,16 Caley Crescent ,-35.3332253,149.1370618,house,3,1,1,"$1,590,000",https://www.auhouseprices.com/sold/view/ACT/341344170/16+Caley+Crescent%2C+Narrabundah+ACT/
7,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,2/41 Leahy Close ,-35.3433290,149.1429220,apartment,2,2,1,"$400,000",https://www.auhouseprices.com/sold/view/ACT/341987970/2-41+Leahy+Close%2C+Narrabundah+ACT/
8,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,3/317 Goyder Street ,-35.3431632,149.1394312,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341831970/3-317+Goyder+Street%2C+Narrabundah+ACT/
9,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,12 Keira Street ,-35.3266874,149.1509037,house,4,2,2,"$1,450,000",https://www.auhouseprices.com/sold/view/ACT/341131970/12+Keira+Street%2C+Narrabundah+ACT/
10,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,7 Bayley Street ,-35.3300751,149.1454273,house,4,2,1,"$1,665,000",https://www.auhouseprices.com/sold/view/ACT/341611870/7+Bayley+Street%2C+Narrabundah+ACT/
11,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,31/50 Lumeah Street ,-35.3362147,149.1494775,apartment,2,2,2,"$575,000",https://www.auhouseprices.com/sold/view/ACT/341954870/31-50+Lumeah+Street%2C+Narrabundah+ACT/
12,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,7B Narambi Street ,-35.3339812,149.1528792,townhouse,3,2,2,"$1,150,000",https://www.auhouseprices.com/sold/view/ACT/341801770/7B+Narambi+Street%2C+Narrabundah+ACT/
13,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,48 Euroka Street ,-35.3292755,149.1564175,house,3,1,2,"$935,000",https://www.auhouseprices.com/sold/view/ACT/341128670/48+Euroka+Street%2C+Narrabundah+ACT/
14,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,34 Carnegie Crescent ,-35.3366515,149.1405955,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341708670/34+Carnegie+Crescent%2C+Narrabundah+ACT/
15,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,34/39 Jerrabomberra Avenue ,-35.3379195,149.1504358,apartment,1,1,2,"$335,000",https://www.auhouseprices.com/sold/view/ACT/341936670/34-39+Jerrabomberra+Avenue%2C+Narrabundah+ACT/
16,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,113 Walker Crescent ,-35.3355214,149.1453512,house,5,3,1,"$1,700,000",https://www.auhouseprices.com/sold/view/ACT/341119570/113+Walker+Crescent%2C+Narrabundah+ACT/
17,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,176 Goyder Street ,-35.3367325,149.1507519,house,5,2,1,"$1,266,000",https://www.auhouseprices.com/sold/view/ACT/341819570/176+Goyder+Street%2C+Narrabundah+ACT/
18,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,48 Bungonia Street ,-35.3301264,149.1577381,villa,2,1,4,,https://www.auhouseprices.com/sold/view/ACT/341479570/48+Bungonia+Street%2C+Narrabundah+ACT/
19,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,4 Caley Crescent ,-35.3334898,149.1358697,house,4,1,1,"$1,420,000",https://www.auhouseprices.com/sold/view/ACT/341028570/4+Caley+Crescent%2C+Narrabundah+ACT/
20,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,21/45 Leahy Close ,-35.3440033,149.1428690,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341758770/21-45+Leahy+Close%2C+Narrabundah+ACT/
21,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,20/34 Leahy Close ,-35.3441873,149.1416680,townhouse,3,2,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341219460/20-34+Leahy+Close%2C+Narrabundah+ACT/
22,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,12/49 Leahy Close ,-35.3443851,149.1431981,townhouse,3,2,2,"$575,000",https://www.auhouseprices.com/sold/view/ACT/341481460/12-49+Leahy+Close%2C+Narrabundah+ACT/
23,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,6 Nimbin Street ,-35.3311453,149.1531780,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341599360/6+Nimbin+Street%2C+Narrabundah+ACT/
24,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,46/34 Leahy Close ,-35.3441873,149.1416680,apartment,2,2,2,,https://www.auhouseprices.com/sold/view/ACT/341007260/46-34+Leahy+Close%2C+Narrabundah+ACT/
25,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,30 Tarana Street ,-35.3317725,149.1584420,house,2,1,2,"$835,000",https://www.auhouseprices.com/sold/view/ACT/341322160/30+Tarana+Street%2C+Narrabundah+ACT/
26,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,4 Nimbin Street ,-35.3312736,149.1530604,house,3,1,1,"$935,000",https://www.auhouseprices.com/sold/view/ACT/341737960/4+Nimbin+Street%2C+Narrabundah+ACT/
27,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,12/41 Leahy Close ,-35.3434917,149.1427454,apartment,1,1,1,,https://www.auhouseprices.com/sold/view/ACT/341452960/12-41+Leahy+Close%2C+Narrabundah+ACT/
28,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,55 Caley Crescent ,-35.3350520,149.1413234,house,3,1,0,,https://www.auhouseprices.com/sold/view/ACT/341270960/55+Caley+Crescent%2C+Narrabundah+ACT/
29,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,41 McIntyre Street ,-35.3326143,149.1440753,house,4,2,3,"$1,320,000",https://www.auhouseprices.com/sold/view/ACT/341455860/41+McIntyre+Street%2C+Narrabundah+ACT/
30,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,17 Strzelecki Place ,-35.3287782,149.1458660,house,3,1,0,"$1,205,000",https://www.auhouseprices.com/sold/view/ACT/341260660/17+Strzelecki+Place%2C+Narrabundah+ACT/
31,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,22 Sprent Street ,-35.3401587,149.1400610,house,4,3,1,"$1,500,000",https://www.auhouseprices.com/sold/view/ACT/341934560/22+Sprent+Street%2C+Narrabundah+ACT/
32,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,8 Wambool Street ,-35.3281475,149.1539565,house,4,3,2,"$1,200,000",https://www.auhouseprices.com/sold/view/ACT/341594560/8+Wambool+Street%2C+Narrabundah+ACT/
33,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,19 Sprent Street ,-35.3399581,149.1396816,house,3,1,0,,https://www.auhouseprices.com/sold/view/ACT/341196560/19+Sprent+Street%2C+Narrabundah+ACT/
34,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,3 Hamelin Crescent ,-35.3340085,149.1361034,house,5,2,2,"$1,575,000",https://www.auhouseprices.com/sold/view/ACT/341210560/3+Hamelin+Crescent%2C+Narrabundah+ACT/
35,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,27 Scott Street ,-35.3381544,149.1402281,house,4,3,2,"$1,411,000",https://www.auhouseprices.com/sold/view/ACT/341471450/27+Scott+Street%2C+Narrabundah+ACT/
36,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,34 McKinlay Street ,-35.3288737,149.1465835,house,3,1,1,"$1,120,000",https://www.auhouseprices.com/sold/view/ACT/341213250/34+++McKinlay+Street%2C+Narrabundah+ACT/
37,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,30 Carnegie Crescent ,-35.3364748,149.1408989,house,2,2,1,"$1,130,000",https://www.auhouseprices.com/sold/view/ACT/341928150/30+Carnegie+Crescent%2C+Narrabundah+ACT/
38,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,3 Arunta Street ,-35.3312106,149.1495055,house,2,1,2,"$890,000",https://www.auhouseprices.com/sold/view/ACT/341054050/3+Arunta+Street%2C+Narrabundah+ACT/
39,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,47/201 Goyder Street ,-35.3383348,149.1488581,apartment,2,1,1,"$380,000",https://www.auhouseprices.com/sold/view/ACT/341191050/47-201+Goyder+Street%2C+Narrabundah+ACT/
40,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,132 Captain Cook Crescent ,-35.3337692,149.1419826,house,3,1,0,"$950,000",https://www.auhouseprices.com/sold/view/ACT/341176950/132+Captain+Cook+Crescent%2C+Narrabundah+ACT/
41,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,15 Green Street ,-35.3392607,149.1444380,house,4,2,2,"$1,415,000",https://www.auhouseprices.com/sold/view/ACT/341594850/15+Green+Street%2C+Narrabundah+ACT/
42,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,42/39 Jerrabomberra Avenue ,-35.3379195,149.1504358,unit,2,2,2,"$420,000",https://www.auhouseprices.com/sold/view/ACT/341743750/42-39+Jerrabomberra+Avenue%2C+Narrabundah+ACT/
43,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,21 Sprent Street ,-35.3397853,149.1397651,house,5,2,2,"$1,512,000",https://www.auhouseprices.com/sold/view/ACT/341810750/21++Sprent+Street%2C+Narrabundah+ACT/
44,2604,Narrabundah,82,https://www.auhouseprices.com/sold/list/ACT/2604/Narrabundah/,27/44 Jerrabomberra Avenue ,-35.3390545,149.1504614,townhouse,2,2,1,,https://www.auhouseprices.com/sold/view/ACT/341975850/27-44+Jerrabomberra+Avenue%2C+Narrabundah+ACT/
