,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,38 Tipiloura Street ,-35.1640217,149.1084068,house,4,2,4,"$860,000",https://www.auhouseprices.com/sold/view/ACT/341802470/38+Tipiloura+Street%2C+Ngunnawal+ACT/
1,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,22 Mundang Street ,-35.1684566,149.1027355,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341369370/22+Mundang+Street%2C+Ngunnawal+ACT/
2,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,83/42 Paul Coe Crescent ,-35.1772442,149.1183319,house,2,1,2,"$415,000",https://www.auhouseprices.com/sold/view/ACT/341158370/83-42+Paul+Coe+Crescent%2C+Ngunnawal+ACT/
3,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,31 Jabanungga Avenue ,-35.1724600,149.1058031,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341072370/31+Jabanungga+Avenue%2C+Ngunnawal+ACT/
4,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,3/33 Yarrawonga Street ,-35.1747813,149.1073474,townhouse,3,1,2,"$464,500",https://www.auhouseprices.com/sold/view/ACT/341655270/3-33+Yarrawonga+Street%2C+Ngunnawal+ACT/
5,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,6/3 Newlop Street ,-35.1713351,149.0997013,townhouse,3,2,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341688370/6-3+Newlop+Street%2C+Ngunnawal+ACT/
6,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,26 Bimbiang Crescent ,-35.1724585,149.1053748,house,3,1,0,"$605,000",https://www.auhouseprices.com/sold/view/ACT/341415270/26+Bimbiang+Crescent%2C+Ngunnawal+ACT/
7,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,62 Taylor Street ,-35.1687425,149.1085836,house,3,2,2,"$750,000",https://www.auhouseprices.com/sold/view/ACT/341051270/62+Taylor+Street%2C+Ngunnawal+ACT/
8,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,1 Maray Place ,-35.1736805,149.1054579,duplex-semi-detached,3,1,2,"$620,000",https://www.auhouseprices.com/sold/view/ACT/341596170/1+Maray+Place%2C+Ngunnawal+ACT/
9,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,55 Tipiloura Street ,-35.1634290,149.1077548,house,3,2,2,"$637,000",https://www.auhouseprices.com/sold/view/ACT/341190270/55+Tipiloura+Street%2C+Ngunnawal+ACT/
10,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,19/66 Paul Coe Crescent ,-35.1800108,149.1185382,townhouse,2,1,1,"$445,000",https://www.auhouseprices.com/sold/view/ACT/341294170/19-66+Paul+Coe+Crescent%2C+Ngunnawal+ACT/
11,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,34 Karrugang Circuit ,-35.1703681,149.1011598,house,3,1,1,"$600,000",https://www.auhouseprices.com/sold/view/ACT/341965170/34+Karrugang+Circuit%2C+Ngunnawal+ACT/
12,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,6 Burrai Place ,-35.1690995,149.1087904,house,3,2,3,,https://www.auhouseprices.com/sold/view/ACT/341069070/6+Burrai+Place%2C+Ngunnawal+ACT/
13,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,13 Kavangal Circuit ,-35.1593795,149.1062823,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341620070/13+Kavangal+Circuit%2C+Ngunnawal+ACT/
14,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,12 Ahmatt Street ,-35.1657926,149.1086940,house,4,2,2,"$1,102,000",https://www.auhouseprices.com/sold/view/ACT/341642070/12+Ahmatt+Street%2C+Ngunnawal+ACT/
15,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,16 Maynard Street ,-35.1616673,149.1090047,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341671070/16+Maynard+Street%2C+Ngunnawal+ACT/
16,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,4 Karla Place ,-35.1772700,149.1215296,house,4,2,2,"$920,000",https://www.auhouseprices.com/sold/view/ACT/341352070/4+Karla+Place%2C+Ngunnawal+ACT/
17,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,32 Wallabalooa Street ,-35.1621913,149.1042581,house,4,2,2,"$786,000",https://www.auhouseprices.com/sold/view/ACT/341208870/32+Wallabalooa+Street%2C+Ngunnawal+ACT/
18,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,2 Yuyu Street ,-35.1642760,149.1051681,house,4,2,2,"$850,000",https://www.auhouseprices.com/sold/view/ACT/341386870/2+Yuyu+Street%2C+Ngunnawal+ACT/
19,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,5/17 Wellington Street ,-35.1725788,149.1116465,townhouse,3,1,1,"$573,000",https://www.auhouseprices.com/sold/view/ACT/341618870/5-17+Wellington+Street%2C+Ngunnawal+ACT/
20,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,35 Paul Coe Crescent ,-35.1776173,149.1191999,house,4,1,0,"$810,000",https://www.auhouseprices.com/sold/view/ACT/341731870/35+Paul+Coe+Crescent%2C+Ngunnawal+ACT/
21,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,97 Kavangal Circuit ,-35.1594375,149.1039785,house,3,2,1,"$553,000",https://www.auhouseprices.com/sold/view/ACT/341034770/97+Kavangal+Circuit%2C+Ngunnawal+ACT/
22,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,10 Murrung Crescent ,-35.1804403,149.1119054,house,3,2,3,"$620,000",https://www.auhouseprices.com/sold/view/ACT/341365770/10+Murrung+Crescent%2C+Ngunnawal+ACT/
23,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,26 Mawalan Street ,-35.1616596,149.1110024,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341204770/26+Mawalan+Street%2C+Ngunnawal+ACT/
24,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,2 Samuels Crescent ,-35.1764454,149.1078383,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341323570/2+Samuels+Crescent%2C+Ngunnawal+ACT/
25,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,2 Budyan Court ,-35.1690495,149.1147616,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341804460/2+Budyan+Court%2C+Ngunnawal+ACT/
26,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,78 Burrumarra Avenue ,-35.1603512,149.1053523,house,2,1,1,"$478,000",https://www.auhouseprices.com/sold/view/ACT/341819360/78+Burrumarra+Avenue%2C+Ngunnawal+ACT/
27,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,80 Burrumarra Avenue ,-35.1603165,149.1052746,townhouse,2,1,1,"$450,000",https://www.auhouseprices.com/sold/view/ACT/341740360/80+Burrumarra+Avenue%2C+Ngunnawal+ACT/
28,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,60 Mundawari Circuit ,-35.1722586,149.1007913,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341678360/60+Mundawari+Circuit%2C+Ngunnawal+ACT/
29,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,17 Patten Street ,-35.1770554,149.1105991,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341227360/17+Patten+Street%2C+Ngunnawal+ACT/
30,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,7/22 Aroona Court ,-35.1757788,149.1053281,townhouse,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341791360/7-22+Aroona+Court%2C+Ngunnawal+ACT/
31,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,15 Anakie Court ,-35.1659981,149.1046416,house,4,1,2,"$752,000",https://www.auhouseprices.com/sold/view/ACT/341520260/15+Anakie+Court%2C+Ngunnawal+ACT/
32,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,64 Windradyne Street ,-35.1623623,149.1130954,house,4,2,2,"$640,000",https://www.auhouseprices.com/sold/view/ACT/341719260/64+Windradyne+Street%2C+Ngunnawal+ACT/
33,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,23/66 Paul Coe Crescent ,-35.1800108,149.1185382,townhouse,3,1,1,"$430,000",https://www.auhouseprices.com/sold/view/ACT/341214160/23-66+Paul+Coe+Crescent%2C+Ngunnawal+ACT/
34,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,5 Hughes Crescent ,-35.1778649,149.1091487,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341401160/5+Hughes+Crescent%2C+Ngunnawal+ACT/
35,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,5 Arabanoo Crescent ,-35.1730594,149.1096942,house,3,1,2,"$500,000",https://www.auhouseprices.com/sold/view/ACT/341577060/5+Arabanoo+Crescent%2C+Ngunnawal+ACT/
36,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,65 Karrugang Circuit ,-35.1714293,149.1013079,house,3,1,1,,https://www.auhouseprices.com/sold/view/ACT/341826060/65+Karrugang+Circuit%2C+Ngunnawal+ACT/
37,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,2 Dyara Close ,-35.1720865,149.1117222,house,3,2,2,"$665,000",https://www.auhouseprices.com/sold/view/ACT/341052060/2+Dyara+Close%2C+Ngunnawal+ACT/
38,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,21 Gudamang Street ,-35.1592678,149.1049292,house,3,2,2,"$705,000",https://www.auhouseprices.com/sold/view/ACT/341418960/21+Gudamang+Street%2C+Ngunnawal+ACT/
39,2913,Ngunnawal,131,https://www.auhouseprices.com/sold/list/ACT/2913/Ngunnawal/,48 Bunima Crescent ,-35.1624004,149.1036377,house,3,2,2,"$638,000",https://www.auhouseprices.com/sold/view/ACT/341680960/48+Bunima+Crescent%2C+Ngunnawal+ACT/
