,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,6 Acacia Place ,-35.1962965,149.1057704,house,3,1,1,"$690,000",https://www.auhouseprices.com/sold/view/ACT/341391370/6+Acacia+Place%2C+Nicholls+ACT/
1,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,3 McRitchie Circuit ,-35.1902935,149.0947985,house,5,3,4,"$1,650,000",https://www.auhouseprices.com/sold/view/ACT/341697970/3+McRitchie+Circuit%2C+Nicholls+ACT/
2,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,5 Fleetwood Smith Street ,-35.1832584,149.0845307,house,4,3,2,"$1,560,000",https://www.auhouseprices.com/sold/view/ACT/341992970/5+Fleetwood+Smith+Street%2C+Nicholls+ACT/
3,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,10 Hendry Close ,-35.1879986,149.0909180,house,6,5,6,"$2,201,000",https://www.auhouseprices.com/sold/view/ACT/341102970/10+Hendry+Close%2C+Nicholls+ACT/
4,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,14/25 Temperley Street ,-35.1840824,149.0938526,house,3,2,2,"$785,000",https://www.auhouseprices.com/sold/view/ACT/341129870/14-25+Temperley+Street%2C+Nicholls+ACT/
5,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,11 Fitzsimmons Street ,-35.1813486,149.0881232,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341242870/11+Fitzsimmons+Street%2C+Nicholls+ACT/
6,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,7 Krantzcke Circuit ,-35.1891319,149.0978435,house,4,2,2,"$820,000",https://www.auhouseprices.com/sold/view/ACT/341638770/7+Krantzcke+Circuit%2C+Nicholls+ACT/
7,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,18 Arthaldo Court ,-35.1834489,149.1063502,house,5,4,2,"$1,350,000",https://www.auhouseprices.com/sold/view/ACT/341101770/18+Arthaldo+Court%2C+Nicholls+ACT/
8,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,17 Krantzcke Circuit ,-35.1891231,149.0983484,house,4,2,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341080770/17+Krantzcke+Circuit%2C+Nicholls+ACT/
9,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,114 Temperley Street ,-35.1929866,149.0959768,house,5,3,3,"$2,050,000",https://www.auhouseprices.com/sold/view/ACT/341051770/114+Temperley+Street%2C+Nicholls+ACT/
10,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,5 Quist Place ,-35.1839027,149.1092828,house,5,3,2,"$1,090,000",https://www.auhouseprices.com/sold/view/ACT/341289670/5+Quist+Place%2C+Nicholls+ACT/
11,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,81 Tazewell Circuit ,-35.1869738,149.1042779,house,4,2,2,"$956,000",https://www.auhouseprices.com/sold/view/ACT/341555670/81+Tazewell+Circuit%2C+Nicholls+ACT/
12,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,2/81 Kelleway Avenue ,-35.1836797,149.0975867,townhouse,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341273570/2-81+Kelleway+Avenue%2C+Nicholls+ACT/
13,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,76 McClelland Avenue ,-35.1810430,149.0906848,house,4,2,2,"$956,000",https://www.auhouseprices.com/sold/view/ACT/341708460/76+McClelland+Avenue%2C+Nicholls+ACT/
14,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,9/17 Freda Bennett Circuit ,-35.1800678,149.1032475,townhouse,3,1,2,"$560,000",https://www.auhouseprices.com/sold/view/ACT/341380460/9-17+Freda+Bennett+Circuit%2C+Nicholls+ACT/
15,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,19 Cockatoo Close ,-35.1904785,149.1121653,house,4,2,2,"$730,000",https://www.auhouseprices.com/sold/view/ACT/341409360/19+Cockatoo+Close%2C+Nicholls+ACT/
16,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,19/23 Temperley Street ,-35.1838966,149.0928671,house,3,2,2,,https://www.auhouseprices.com/sold/view/ACT/341997360/19-23+Temperley+Street%2C+Nicholls+ACT/
17,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,14 Platypus Place ,-35.1934472,149.1078713,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341522360/14+Platypus+Place%2C+Nicholls+ACT/
