,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,44/12 Correa Street ,-35.2519319,149.1220604,apartment,2,1,1,"$370,000",https://www.auhouseprices.com/sold/view/ACT/341635370/44-12+Correa+Street%2C+O%27Connor+ACT/
1,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,28 Boobialla Street ,-35.2503737,149.1163228,house,5,3,2,,https://www.auhouseprices.com/sold/view/ACT/341151370/28+Boobialla+Street%2C+O%27Connor+ACT/
2,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,14/41 David Street ,-35.2643806,149.1231391,unit,1,1,1,"$262,000",https://www.auhouseprices.com/sold/view/ACT/341772370/14-41+David+Street%2C+O%27Connor+ACT/
3,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,6 Blackbutt Street ,-35.2483915,149.1188318,house,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341883270/6+Blackbutt+Street%2C+O%27Connor+ACT/
4,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,7 Bursaria Street ,-35.2495206,149.1181908,house,3,1,1,"$1,650,000",https://www.auhouseprices.com/sold/view/ACT/341933270/7+Bursaria+Street%2C+O%27Connor+ACT/
5,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,9C Boronia Drive ,-35.2542244,149.1171339,house,3,2,2,"$1,175,000",https://www.auhouseprices.com/sold/view/ACT/341359070/9C+Boronia+Drive%2C+O%27Connor+ACT/
6,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,5/4 Hardman Street ,-35.2648508,149.1210124,apartment,1,1,1,"$430,000",https://www.auhouseprices.com/sold/view/ACT/341189070/5-4+Hardman+Street%2C+O%27Connor+ACT/
7,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,5 Jarrah Street ,-35.2558120,149.1254434,house,3,2,2,"$1,750,000",https://www.auhouseprices.com/sold/view/ACT/341728070/5+Jarrah+Street%2C+O%27Connor+ACT/
8,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,88 Scrivener Street ,-35.2537431,149.1179930,house,4,2,2,"$1,475,000",https://www.auhouseprices.com/sold/view/ACT/341853070/88+Scrivener+Street%2C+O%27Connor+ACT/
9,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,2 Hemmant Street ,-35.2612579,149.1135613,house,8,4,2,"$1,985,000",https://www.auhouseprices.com/sold/view/ACT/341882070/2+Hemmant+Street%2C+O%27Connor+ACT/
10,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,23/41 David Street ,-35.2643806,149.1231391,apartment,1,1,1,"$270,000",https://www.auhouseprices.com/sold/view/ACT/341966870/23-41+David+Street%2C+O%27Connor+ACT/
11,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,5/3 Bagot Street ,-35.2621729,149.1271967,apartment,2,1,1,"$615,000",https://www.auhouseprices.com/sold/view/ACT/341067870/5-3+Bagot+Street%2C+O%27Connor+ACT/
12,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,4/40 Moorhouse Street ,-35.2634302,149.1210540,townhouse,1,1,1,"$550,000",https://www.auhouseprices.com/sold/view/ACT/341304870/4-40+Moorhouse+Street%2C+O%27Connor+ACT/
13,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,10/16 Berrigan Crescent ,-35.2585901,149.1289495,apartment,1,1,1,"$430,000",https://www.auhouseprices.com/sold/view/ACT/341547270/10-16+Berrigan+Crescent%2C+O%27Connor+ACT/
14,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,7 Coolibah Crescent ,-35.2585268,149.1217774,house,3,1,3,"$1,350,000",https://www.auhouseprices.com/sold/view/ACT/341927570/7+Coolibah+Crescent%2C+O%27Connor+ACT/
15,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,14/15 Berrigan Crescent ,-35.2593756,149.1288821,apartment,2,2,2,"$500,000",https://www.auhouseprices.com/sold/view/ACT/341256570/14-15+Berrigan+Crescent%2C+O%27Connor+ACT/
16,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,23 Hovea Street ,-35.2568943,149.1238780,house,5,4,3,"$2,615,000",https://www.auhouseprices.com/sold/view/ACT/341762570/23+Hovea+Street%2C+O%27Connor+ACT/
17,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,26 Westgarth Street ,-35.2635809,149.1173367,house,3,1,1,"$1,460,000",https://www.auhouseprices.com/sold/view/ACT/341882570/26+Westgarth+Street%2C+O%27Connor+ACT/
18,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,28 Scrivener Street ,-35.2563439,149.1249297,house,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341415770/28+Scrivener+Street%2C+O%27Connor+ACT/
19,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,11/27 Berrigan Crescent ,-35.2585601,149.1286080,apartment,2,2,1,"$611,111",https://www.auhouseprices.com/sold/view/ACT/341212460/11-27+Berrigan+Crescent%2C+O%27Connor+ACT/
20,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,17A Faunce Crescent ,-35.2661449,149.1153709,house,3,2,2,"$875,000",https://www.auhouseprices.com/sold/view/ACT/341894360/17A+Faunce+Crescent%2C+O%27Connor+ACT/
21,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,7 Burt Street ,-35.2618023,149.1215990,house,4,2,2,,https://www.auhouseprices.com/sold/view/ACT/341930260/7+Burt+Street%2C+O%27Connor+ACT/
22,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,8/41 David Street ,-35.2643806,149.1231391,apartment,2,1,1,"$417,000",https://www.auhouseprices.com/sold/view/ACT/341381360/8-41+David+Street%2C+O%27Connor+ACT/
23,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,18 Cassinia Street ,-35.2511545,149.1201236,house,4,2,2,"$1,555,000",https://www.auhouseprices.com/sold/view/ACT/341147160/18+Cassinia+Street%2C+O%27Connor+ACT/
24,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,42 Scrivener Street ,-35.2561894,149.1234640,house,3,2,2,"$1,456,000",https://www.auhouseprices.com/sold/view/ACT/341421060/42+Scrivener+Street%2C+O%27Connor+ACT/
25,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,4/4 Verdon Street ,-35.2616363,149.1284906,apartment,1,1,1,"$411,900",https://www.auhouseprices.com/sold/view/ACT/341804960/4-4+Verdon+Street%2C+O%27Connor+ACT/
26,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,3 Lord Street ,-35.2617663,149.1159376,house,3,1,2,"$1,400,000",https://www.auhouseprices.com/sold/view/ACT/341628760/3+Lord+Street%2C+O%27Connor+ACT/
27,2602,O'Connor,49,https://www.auhouseprices.com/sold/list/ACT/2602/O%27Connor/,35/8 Correa Street ,-35.2520894,149.1218228,apartment,1,1,1,"$270,000",https://www.auhouseprices.com/sold/view/ACT/341223760/35-8+Correa+Street%2C+O%27Connor+ACT/
