,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,5 Cooba Place ,-35.3527929,149.0408221,house,3,1,0,"$758,000",https://www.auhouseprices.com/sold/view/ACT/341738370/5+Cooba+Place%2C+Rivett+ACT/
1,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,13 Kanooka Street ,-35.3519073,149.0377408,house,3,1,0,"$727,000",https://www.auhouseprices.com/sold/view/ACT/341096370/13+Kanooka+Street%2C+Rivett+ACT/
2,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,30 Woollum Crescent ,-35.3460676,149.0322687,house,3,1,1,"$758,000",https://www.auhouseprices.com/sold/view/ACT/341681370/30+Woollum+Crescent%2C+Rivett+ACT/
3,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,36 Woollum Crescent ,-35.3461284,149.0329414,house,3,1,0,,https://www.auhouseprices.com/sold/view/ACT/341435170/36+Woollum+Crescent%2C+Rivett+ACT/
4,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,6 Astelia Place ,-35.3477143,149.0404743,house,3,2,1,,https://www.auhouseprices.com/sold/view/ACT/341531170/6+Astelia+Place%2C+Rivett+ACT/
5,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,275 Hindmarsh Drive ,-35.3428991,149.0357321,house,4,2,2,"$861,000",https://www.auhouseprices.com/sold/view/ACT/341929970/275+Hindmarsh+Drive%2C+Rivett+ACT/
6,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,1 Darwinia Terrace ,-35.3445185,149.0289621,house,5,3,2,,https://www.auhouseprices.com/sold/view/ACT/341828670/1+Darwinia+Terrace%2C+Rivett+ACT/
7,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,8/5 Tristania Street ,-35.3420365,149.0473213,unit,2,1,1,"$435,000",https://www.auhouseprices.com/sold/view/ACT/341317160/8-5+Tristania+Street%2C+Rivett+ACT/
8,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,3 Melia Place ,-35.3481791,149.0342912,house,3,1,2,"$670,000",https://www.auhouseprices.com/sold/view/ACT/341591160/3+Melia+Place%2C+Rivett+ACT/
9,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,12 Diselma Place ,-35.3521178,149.0354133,house,3,1,2,"$652,000",https://www.auhouseprices.com/sold/view/ACT/341064060/12++Diselma+Place%2C+Rivett+ACT/
10,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,44 Rapanea Street ,-35.3469712,149.0423041,house,4,2,2,"$770,000",https://www.auhouseprices.com/sold/view/ACT/341191960/44+Rapanea+Street%2C+Rivett+ACT/
11,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,7 Melia Place ,-35.3484042,149.0343078,house,3,1,2,"$619,000",https://www.auhouseprices.com/sold/view/ACT/341985860/7+Melia+Place%2C+Rivett+ACT/
12,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,42 Angophora Street ,-35.3470705,149.0337462,house,3,1,2,"$726,000",https://www.auhouseprices.com/sold/view/ACT/341215860/42+Angophora+Street%2C+Rivett+ACT/
13,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,20 Bangalay Crescent ,-35.3446817,149.0385495,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341314760/20+Bangalay+Crescent%2C+Rivett+ACT/
