,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Property Link
0,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,15 Meldrum Street ,-35.3344774,149.0560712,house,3,2,1,"$962,000",https://www.auhouseprices.com/sold/view/ACT/341920370/15+Meldrum+Street%2C+Weston+ACT/
1,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,112 McInnes Street ,-35.3376102,149.0595061,house,3,2,1,"$870,000",https://www.auhouseprices.com/sold/view/ACT/341070270/112+McInnes+Street%2C+Weston+ACT/
2,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,2 Backler Place ,-35.3432081,149.0552913,house,3,1,2,,https://www.auhouseprices.com/sold/view/ACT/341273070/2+Backler+Place%2C+Weston+ACT/
3,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,9/2 Namatjira Drive ,-35.3394585,149.0520868,apartment,2,2,2,,https://www.auhouseprices.com/sold/view/ACT/341735970/9-2+Namatjira+Drive%2C+Weston+ACT/
4,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,35 Chevalier Street ,-35.3451687,149.0592689,house,5,1,2,"$935,000",https://www.auhouseprices.com/sold/view/ACT/341922970/35+Chevalier+Street%2C+Weston+ACT/
5,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,24 Gruner Street ,-35.3339423,149.0557276,house,7,3,15,,https://www.auhouseprices.com/sold/view/ACT/341860970/24+Gruner+Street%2C+Weston+ACT/
6,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,54 McInnes Street ,-35.3432135,149.0597364,house,4,2,2,"$1,200,000",https://www.auhouseprices.com/sold/view/ACT/341002870/54+McInnes+Street%2C+Weston+ACT/
7,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,86 Buvelot Street ,-35.3449176,149.0639497,house,3,1,5,,https://www.auhouseprices.com/sold/view/ACT/341754960/86+Buvelot+Street%2C+Weston+ACT/
8,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,46 Heysen Street ,-35.3322443,149.0596230,house,4,1,1,"$627,000",https://www.auhouseprices.com/sold/view/ACT/341364860/46+Heysen+Street%2C+Weston+ACT/
9,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,31 Collingridge Street ,-35.3383857,149.0605490,house,4,2,1,,https://www.auhouseprices.com/sold/view/ACT/341484860/31+Collingridge+Street%2C+Weston+ACT/
10,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,2/43 McConchie Circuit ,-35.3229890,149.0586900,townhouse,4,3,2,,https://www.auhouseprices.com/sold/view/ACT/341431860/2-43+McConchie+Circuit%2C+Weston+ACT/
11,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,8 Bryant Place ,-35.3444884,149.0600438,house,3,1,1,"$739,000",https://www.auhouseprices.com/sold/view/ACT/341211760/8+Bryant+Place%2C+Weston+ACT/
12,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,4 Conder Street ,-35.3409802,149.0579670,house,3,1,1,"$565,000",https://www.auhouseprices.com/sold/view/ACT/341070760/4+Conder+Street%2C+Weston+ACT/
13,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,20 Hopkins Street ,-35.3394511,149.0620393,house,4,2,1,,https://www.auhouseprices.com/sold/view/ACT/341806450/20+Hopkins+Street%2C+Weston+ACT/
14,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,9 Dargie Street ,-35.3231399,149.0579991,house,5,4,2,,https://www.auhouseprices.com/sold/view/ACT/341881450/9+Dargie+Street%2C+Weston+ACT/
