,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,6 Bodel Place ,-35.2576522,149.1442745,townhouse,3,1,1,"$720,000",25 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341978370/6+Bodel+Place%2C+Ainslie+ACT/
1,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,7 Duffy Street ,-35.2698855,149.1483343,house,5,3,2,"$1,830,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341116170/7+Duffy+Street%2C+Ainslie+ACT/
2,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,92 Duffy Street ,-35.2635378,149.1489141,house,3,1,1,"$1,460,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341617170/92+Duffy+Street%2C+Ainslie+ACT/
3,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,26 Paterson Street ,-35.2699271,149.1439605,house,3,1,1,"$1,680,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341857170/26+Paterson+Street%2C+Ainslie+ACT/
4,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,196 Majura Avenue ,-35.2513789,149.1539195,house,3,2,2,"$950,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341977170/196+Majura+Avenue%2C+Ainslie+ACT/
5,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,32 Canning Street ,-35.2726753,149.1486059,house,4,1,2,"$1,570,000",11 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341862170/32+Canning+Street%2C+Ainslie+ACT/
6,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,9 Bonney Street ,-35.2636052,149.1400238,house,4,2,2,"$1,691,000",Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341433970/9+Bonney+Street%2C+Ainslie+ACT/
7,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,6 Cowper Street ,-35.2654626,149.1390577,house,2,1,1,"$1,126,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341445970/6+Cowper+Street%2C+Ainslie+ACT/
8,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,32 Paterson Street ,-35.2693024,149.1436033,house,3,1,2,"$1,305,000",24 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341527870/32+Paterson+Street%2C+Ainslie+ACT/
9,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,19 Duffy Street ,-35.2688416,149.1477242,house,4,2,2,"$1,550,000",19 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341609770/19+Duffy+Street%2C+Ainslie+ACT/
10,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,2/95 Ebden Street ,-35.2600426,149.1469956,townhouse,2,2,1,"$735,000",19 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341137770/2-95+Ebden+Street%2C+Ainslie+ACT/
11,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,15 Howe Crescent ,-35.2731458,149.1439354,house,4,2,2,"$1,650,000",11 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341054670/15+Howe+Crescent%2C+Ainslie+ACT/
12,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,35 Ebden Street ,-35.2673363,149.1461895,house,3,1,1,"$1,225,000",8 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341481670/35+Ebden+Street%2C+Ainslie+ACT/
13,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,10 Calvert Street ,-35.2547507,149.1573864,house,3,1,3,"$1,165,000",30 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341778460/10+Calvert+Street%2C+Ainslie+ACT/
14,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,7 Gillen Street ,-35.2559451,149.1525822,house,2,2,1,"$1,485,000",19 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341045360/7+Gillen+Street%2C+Ainslie+ACT/
15,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,22 Angas Street ,-35.2631254,149.1391209,house,5,2,2,"$1,250,000",13 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341021360/22+Angas+Street%2C+Ainslie+ACT/
16,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,17 Shortland Crescent ,-35.2561026,149.1487947,house,3,2,2,"$1,150,000",12 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341037960/17+Shortland+Crescent%2C+Ainslie+ACT/
17,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,36 Cox Street ,-35.2644942,149.1453122,house,4,3,2,"$1,900,000",10 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341253960/36+Cox+Street%2C+Ainslie+ACT/
18,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,65B Tyson Street ,-35.2590139,149.1495913,house,3,2,2,"$1,280,000",19 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341963560/65B+Tyson+Street%2C+Ainslie+ACT/
19,2602,Ainslie,48,https://www.auhouseprices.com/sold/list/ACT/2602/Ainslie/,1 Quick Street ,-35.2747921,149.1436315,house,4,2,6,"$1,310,000",14 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341003450/1+Quick+Street%2C+Ainslie+ACT/
