,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,4/82 Pennington Crescent ,-35.4419351,149.1008530,townhouse,3,1,1,"$530,000",26 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341711470/4-82+Pennington+Crescent%2C+Calwell+ACT/
1,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,6 Mackrell Place ,-35.4448099,149.1000862,house,3,2,1,"$850,000",17 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341233270/6+Mackrell+Place%2C+Calwell+ACT/
2,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,50 Must Circuit ,-35.4364572,149.0988227,house,2,1,2,"$605,000",15 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341101270/50+Must+Circuit%2C+Calwell+ACT/
3,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,6 Roope Close ,-35.4365766,149.1121321,house,3,1,1,"$640,000",10 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341239070/6+Roope+Close%2C+Calwell+ACT/
4,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,3 Oman Place ,-35.4376169,149.0948543,house,4,2,2,"$740,000",25 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341828170/3+Oman+Place%2C+Calwell+ACT/
5,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,26 Johnstone Circuit ,-35.4344608,149.0969865,house,4,2,2,"$760,000",18 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341087770/26+Johnstone+Circuit%2C+Calwell+ACT/
6,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,35 Wettenhall Circuit ,-35.4379456,149.0935740,house,4,2,2,"$715,000",15 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341221770/35+Wettenhall+Circuit%2C+Calwell+ACT/
7,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,12 Tuthill Place ,-35.4462915,149.1030110,house,4,2,2,"$975,000",13 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341432770/12+Tuthill+Place%2C+Calwell+ACT/
8,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,33/32 Were Street ,-35.4369641,149.1156527,townhouse,3,1,1,"$543,000",12 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341248670/33-32+Were+Street%2C+Calwell+ACT/
9,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,5 Mackrell Place ,-35.4448759,149.1004404,house,4,3,2,"$857,000",9 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341833670/5+Mackrell+Place%2C+Calwell+ACT/
10,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,59 Girdlestone Circuit ,-35.4344985,149.1025940,house,3,1,1,"$645,000",12 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341669260/59+Girdlestone+Circuit%2C+Calwell+ACT/
11,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,3 Yeo Close ,-35.4380204,149.1146262,house,3,1,1,"$570,000",17 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341498060/3+Yeo+Close%2C+Calwell+ACT/
12,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,9 McBride Place ,-35.4440924,149.1071178,house,4,2,2,"$690,000",9 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341531960/9+McBride+Place%2C+Calwell+ACT/
13,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,10 Mackrell Place ,-35.4450610,149.0996410,house,5,3,2,"$930,000",5 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341654860/10+Mackrell+Place%2C+Calwell+ACT/
14,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,28 Martley Circuit ,-35.4412863,149.1098427,house,4,3,2,"$871,500",26 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341574660/28+Martley+Circuit%2C+Calwell+ACT/
15,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,27/92 Casey Crescent ,-35.4422888,149.1167277,townhouse,3,2,2,"$642,000",6 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341067250/27-92+Casey+Crescent%2C+Calwell+ACT/
16,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,15 McBride Place ,-35.4445609,149.1076478,house,5,3,2,"$935,000",4 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341652250/15+McBride+Place%2C+Calwell+ACT/
17,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,8 Hammill Close ,-35.4395327,149.1142361,house,3,1,1,"$540,000",30 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341005150/8+Hammill+Close%2C+Calwell+ACT/
18,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,16/24 Beazley Crescent ,-35.4421825,149.0966059,townhouse,3,1,1,"$340,000",30 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341518150/16-24+Beazley+Crescent%2C+Calwell+ACT/
19,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,52 Outtrim Avenue ,-35.4357935,149.1012178,house,4,3,2,"$779,000",23 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341423050/52+Outtrim+Avenue%2C+Calwell+ACT/
20,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,15 Langlands Close ,-35.4374440,149.1140824,house,3,1,2,"$535,000",22 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341509050/15+Langlands+Close%2C+Calwell+ACT/
21,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,30 Johnstone Circuit ,-35.4343527,149.0975014,house,4,2,6,"$730,000",19 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341504950/30+Johnstone+Circuit%2C+Calwell+ACT/
22,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,3 Hammill Close ,-35.4400773,149.1145368,house,3,1,1,"$530,000",19 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341586950/3+Hammill+Close%2C+Calwell+ACT/
23,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,19/54 Were Street ,-35.4376991,149.1171769,townhouse,3,1,1,"$480,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341299850/19-54+Were+Street%2C+Calwell+ACT/
24,2905,Calwell,69,https://www.auhouseprices.com/sold/list/ACT/2905/Calwell/,26 Must Circuit ,-35.4368840,149.1002710,house,5,2,6,"$772,000",7 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341875750/26+Must+Circuit%2C+Calwell+ACT/
