,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,73 Goldstein Crescent ,-35.4230411,149.1195869,house,4,2,2,"$837,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341134370/73+Goldstein+Crescent%2C+Chisholm+ACT/
1,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,1 Jobson Place ,-35.4144546,149.1213771,house,4,2,2,"$803,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341936170/1+Jobson+Place%2C+Chisholm+ACT/
2,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,66B Hambidge Crescent ,-35.4181233,149.1269402,house,3,2,1,"$680,000",11 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341133170/66B+Hambidge+Crescent%2C+Chisholm+ACT/
3,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,8 Hoban Place ,-35.4146956,149.1225397,house,4,2,2,"$850,000",13 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341488670/8+Hoban+Place%2C+Chisholm+ACT/
4,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,13 Bainbridge Close ,-35.4200233,149.1307298,house,4,2,3,"$1,130,000",12 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341418670/13+Bainbridge+Close%2C+Chisholm+ACT/
5,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,35 Mofflin Street ,-35.4253799,149.1173023,house,3,2,1,"$649,500",10 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341207670/35+Mofflin+Street%2C+Chisholm+ACT/
6,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,4 Scotney Place ,-35.4245974,149.1346059,house,3,2,8,"$820,000",6 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341388570/4+Scotney+Place%2C+Chisholm+ACT/
7,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,31/97 Clift Crescent ,-35.4273390,149.1170433,townhouse,2,1,1,"$430,000",19 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341198460/31-97+Clift+Crescent%2C+Chisholm+ACT/
8,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,37 Barangaroo Street ,-35.4277265,149.1248422,house,3,1,2,"$597,000",7 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341885260/37+Barangaroo+Street%2C+Chisholm+ACT/
9,2905,Chisholm,58,https://www.auhouseprices.com/sold/list/ACT/2905/Chisholm/,1 Woodburn Street ,-35.4171316,149.1167780,house,3,1,2,"$595,000",15 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341706060/1+Woodburn+Street%2C+Chisholm+ACT/
