,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,38/1 Gordon Street ,-35.2824407,149.1250223,apartment,1,1,1,"$412,000",26 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341251470/38-1+Gordon+Street%2C+City+ACT/
1,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,1103/39 London Circuit ,-35.2795872,149.1268276,apartment,3,2,2,"$1,500,000",19 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341878270/1103-39+London+Circuit%2C+City+ACT/
2,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,822/240 Bunda Street ,-35.2815888,149.1344878,apartment,2,2,1,"$600,000",15 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341078170/822-240+Bunda+Street%2C+City+ACT/
3,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,1508/25 Edinburgh Avenue ,-35.2851732,149.1234226,apartment,3,3,2,"$1,285,000",12 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341552270/1508-25+Edinburgh+Avenue%2C+City+ACT/
4,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,G05/19 Marcus Clarke Street ,-35.2849278,149.1250763,apartment,1,2,1,"$580,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341088970/G05-19+Marcus+Clarke+Street%2C+City+ACT/
5,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,G12/19 Marcus Clarke Street ,-35.2849278,149.1250763,apartment,1,1,1,"$598,000",Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341745070/G12-19+Marcus+Clarke+Street%2C+City+ACT/
6,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,78/66 Allara Street ,-35.2851077,149.1312489,unit,1,1,1,"$468,000",24 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341817870/78-66+Allara+Street%2C+City+ACT/
7,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,164/45 West Row ,-35.2786092,149.1275936,apartment,2,2,1,"$620,100",17 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341825770/164-45+West+Row%2C+City+ACT/
8,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,5/1 Gordon Street ,-35.2824407,149.1250223,apartment,2,2,1,"$560,000",16 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341763770/5-1+Gordon+Street%2C+City+ACT/
9,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,115/3 London Circuit ,-35.2828564,149.1254729,unit,4,3,3,"$1,700,000",9 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341649070/115-3+London+Circuit%2C+City+ACT/
10,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,39/45 West Row City ACT 2601 ,-35.2786092,149.1275936,apartment,2,2,1,"$575,000",29 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341845460/39-45+West+Row+City+ACT+2601%2C+City+ACT/
11,2601,City,99,https://www.auhouseprices.com/sold/list/ACT/2601/City/,903/2 Marcus Clarke Street ,-35.2849350,149.1256922,unit,2,2,1,"$540,000",28 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341675460/903-2+Marcus+Clarke+Street%2C+City+ACT/
