,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,12 Hugh McKay Crescent ,-35.1985429,149.0156479,house,2,1,1,"$530,000",24 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341175370/12+Hugh+McKay+Crescent%2C+Dunlop+ACT/
1,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,10 Siroset Close ,-35.1849002,149.0287627,house,3,2,2,"$670,000",11 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341071170/10+Siroset+Close%2C+Dunlop+ACT/
2,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,1 Bandt Place ,-35.1908509,149.0227937,house,3,2,2,"$640,000",12 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341886670/1+Bandt+Place%2C+Dunlop+ACT/
3,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,3 Goodhart Crescent ,-35.1939819,149.0247933,house,3,2,2,"$650,000",11 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341675670/3+Goodhart+Crescent%2C+Dunlop+ACT/
4,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,13 Henry Sutton Circuit ,-35.1868963,149.0236772,house,5,3,2,"$840,000",13 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341060260/13+Henry+Sutton+Circuit%2C+Dunlop+ACT/
5,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,15 Westall Close ,-35.1954787,149.0242374,house,3,2,2,"$690,000",23 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341648160/15+Westall+Close%2C+Dunlop+ACT/
6,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,8 Leonard Close ,-35.2010320,149.0161377,house,3,2,1,"$591,000",15 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341234060/8+Leonard+Close%2C+Dunlop+ACT/
7,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,7/20 Splayd Close ,-35.1883012,149.0307632,townhouse,3,2,2,"$570,000",14 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341661060/7-20+Splayd+Close%2C+Dunlop+ACT/
8,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,10 Branson Street ,-35.1897173,149.0285860,house,4,2,2,"$791,000",11 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341493960/10+Branson+Street%2C+Dunlop+ACT/
9,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,6 Toft Street ,-35.1916678,149.0175906,house,3,1,1,"$515,000",5 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341004860/6+Toft+Street%2C+Dunlop+ACT/
10,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,3/8 Jeff Snell Crescent ,-35.1935694,149.0181648,unit,2,2,2,"$384,500",24 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341931660/3-8+Jeff+Snell+Crescent%2C+Dunlop+ACT/
11,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,51 Branson Street ,-35.1873114,149.0290533,house,4,2,2,"$755,000",16 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341408450/51+Branson+Street%2C+Dunlop+ACT/
12,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,22 Douglas Waterhouse Drive ,-35.1862397,149.0230459,house,4,2,2,"$812,500",12 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341830450/22+Douglas+Waterhouse+Drive%2C+Dunlop+ACT/
13,2615,Dunlop,95,https://www.auhouseprices.com/sold/list/ACT/2615/Dunlop/,29 Shoobridge Circuit ,-35.1925783,149.0213869,house,3,2,2,"$639,000",10 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341553350/29+Shoobridge+Circuit%2C+Dunlop+ACT/
