,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,17 Camfield Place ,-35.2216912,149.0549462,house,2,1,1,"$682,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341600270/17+Camfield+Place%2C+Florey+ACT/
1,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,52 Summerville Crescent ,-35.2295510,149.0529031,house,4,2,2,"$832,000",19 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341178770/52+Summerville+Crescent%2C+Florey+ACT/
2,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,21 Summerville Crescent ,-35.2280363,149.0523815,house,3,1,1,"$485,000",13 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341749670/21+Summerville+Crescent%2C+Florey+ACT/
3,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,1 Lightfoot Crescent ,-35.2295803,149.0564856,house,4,2,2,"$923,000",6 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341757570/1+Lightfoot+Crescent%2C+Florey+ACT/
4,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,4/7 Gabriel Place ,-35.2285609,149.0557231,townhouse,2,1,2,"$500,000",12 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341379260/4-7+Gabriel+Place%2C+Florey+ACT/
5,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,4 Sloane Place ,-35.2208138,149.0572421,house,3,1,2,"$685,804",30 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341543670/4+Sloane+Place%2C+Florey+ACT/
6,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,28 Ratcliffe Crescent ,-35.2287258,149.0499927,house,4,2,1,"$828,000",8 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341376860/28+Ratcliffe+Crescent%2C+Florey+ACT/
7,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,1 Fielder Place ,-35.2215473,149.0528003,house,4,2,3,"$867,500",Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341261860/1+Fielder+Place%2C+Florey+ACT/
8,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,6 Lidgett Place ,-35.2275449,149.0547752,house,3,2,2,"$626,000",21 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341217560/6+Lidgett+Place%2C+Florey+ACT/
9,2615,Florey,56,https://www.auhouseprices.com/sold/list/ACT/2615/Florey/,13 Edman Close ,-35.2244373,149.0609811,house,4,2,2,"$809,000",14 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341085450/13+Edman+Close%2C+Florey+ACT/
