,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,89/311 Flemington Road ,-35.1880489,149.1477629,unit,1,1,1,"$331,000",19 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341969270/89-311+Flemington+Road%2C+Franklin+ACT/
1,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,57/329 Flemington Road ,-35.1877559,149.1459872,apartment,2,2,2,"$400,000",11 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341543170/57-329+Flemington+Road%2C+Franklin+ACT/
2,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,65/41 Clare Burton Crescent ,-35.1984126,149.1489803,apartment,1,1,1,"$361,000",9 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341409070/65-41+Clare+Burton+Crescent%2C+Franklin+ACT/
3,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,13/75 Elizabeth Jolley Cresent ,-35.1881026,149.1447335,apartment,2,2,2,"$430,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341838970/13-75+Elizabeth+Jolley+Cresent%2C+Franklin+ACT/
4,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,18/329 Flemington Road ,-35.1877559,149.1459872,apartment,1,1,1,"$315,000",26 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341450970/18-329+Flemington+Road%2C+Franklin+ACT/
5,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,110/311 Flemington Road ,-35.1880489,149.1477629,unit,1,1,1,"$360,000",25 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341477870/110-311+Flemington+Road%2C+Franklin+ACT/
6,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,20 Oodgeroo Avenue ,-35.2022137,149.1349012,house,4,2,2,"$915,000",16 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341142770/20+Oodgeroo+Avenue%2C+Franklin+ACT/
7,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,47/301 Flemington Road ,-35.1896513,149.1504297,apartment,2,2,1,"$400,000",15 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341552770/47-301+Flemington+Road%2C+Franklin+ACT/
8,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,7/297 Flemington Road ,-35.1904018,149.1508119,apartment,1,1,1,"$279,000",10 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341174670/7-297+Flemington+Road%2C+Franklin+ACT/
9,2913,Franklin,50,https://www.auhouseprices.com/sold/list/ACT/2913/Franklin/,26 Hesba Brinsmead Street ,-35.1965287,149.1479533,house,2,1,1,"$493,000",9 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341742670/26+Hesba+Brinsmead+Street%2C+Franklin+ACT/
