,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,4 Southam Place ,-35.2214263,149.0246621,house,3,2,2,"$782,500",27 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341922470/4+Southam+Place%2C+Holt+ACT/
1,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,23 Mockridge Crescent ,-35.2291623,149.0159657,house,4,1,3,"$730,000",4 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341683070/23+Mockridge+Crescent%2C+Holt+ACT/
2,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,12 Beaurepaire Crescent ,-35.2267556,149.0154008,house,4,2,4,"$855,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341963970/12+Beaurepaire+Crescent%2C+Holt+ACT/
3,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,19 Brownlow Place ,-35.2261702,149.0196931,house,3,2,2,"$612,000",12 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341617670/19+Brownlow+Place%2C+Holt+ACT/
4,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,40 Blackham Street ,-35.2230252,149.0271034,townhouse,2,1,1,"$425,000",9 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341452670/40+Blackham+Street%2C+Holt+ACT/
5,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,4 Bunton Place ,-35.2222788,149.0108406,house,3,1,2,"$730,000",4 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341853570/4+Bunton+Place%2C+Holt+ACT/
6,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,54/23 Blackham Street ,-35.2245267,149.0271279,townhouse,3,1,1,"$465,000",3 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341791570/54-23+Blackham+Street%2C+Holt+ACT/
7,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,8 Kellermann Close ,-35.2252138,149.0181203,house,3,1,2,"$435,000",27 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341833460/8+Kellermann+Close%2C+Holt+ACT/
8,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,11 Eaves Street ,-35.2283796,149.0142434,house,5,2,4,"$780,000",25 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341042460/11+Eaves+Street%2C+Holt+ACT/
9,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,81 Lionel Rose Street ,-35.2260877,148.9985896,house,4,3,2,"$700,000",24 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341451260/81+Lionel+Rose+Street%2C+Holt+ACT/
10,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,17 Slight Place ,-35.2229902,149.0011024,house,3,1,2,"$578,000",22 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341334160/17+Slight+Place%2C+Holt+ACT/
11,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,6 Trickett Street ,-35.2298318,149.0106298,townhouse,4,2,2,"$520,000",19 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341442160/6+Trickett+Street%2C+Holt+ACT/
12,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,126 Pro Hart Avenue ,-35.2304569,148.9955104,house,4,2,2,"$640,000",17 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341639060/126+Pro+Hart+Avenue%2C+Holt+ACT/
13,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,7/49 Fullston Way ,-35.2287033,148.9987690,townhouse,4,2,2,"$642,000",2 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341537760/7-49+Fullston+Way%2C+Holt+ACT/
14,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,12/23 Chave Street ,-35.2236400,149.0259715,townhouse,3,1,1,"$443,975",27 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341557660/12-23+Chave+Street%2C+Holt+ACT/
15,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,58/68 Hardwick Crescent ,-35.2203995,149.0192026,unit,2,2,1,"$310,000",25 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341164660/58-68+Hardwick+Crescent%2C+Holt+ACT/
16,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,3 Beach Place ,-35.2204913,149.0115326,house,5,3,3,"$820,000",19 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341673560/3+Beach+Place%2C+Holt+ACT/
17,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,79 Lorraway Street ,-35.2256483,148.9973593,house,4,2,2,"$685,000",11 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341706350/79+Lorraway+Street%2C+Holt+ACT/
18,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,6/96 Britten-Jones Drive ,-35.2248423,149.0024854,house,3,2,2,"$540,000",6 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341038250/6-96+Britten-Jones+Drive%2C+Holt+ACT/
19,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,25 Postle Circuit ,-35.2206743,149.0243468,house,3,2,3,"$660,000",6 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341237250/25+Postle+Circuit%2C+Holt+ACT/
20,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,4 Blandon Place ,-35.2226411,149.0271152,townhouse,2,1,1,"$430,000",5 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341146250/4+Blandon+Place%2C+Holt+ACT/
21,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,8/64 Hardwick Crescent ,-35.2207780,149.0192120,unit,1,1,1,"$290,000",4 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341685350/8-64+Hardwick+Crescent%2C+Holt+ACT/
22,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,3 McCabe Crescent ,-35.2277722,149.0160742,house,5,2,4,"$757,000",27 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341090050/3+McCabe+Crescent%2C+Holt+ACT/
23,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,34 Lionel Rose Street ,-35.2291921,148.9994898,house,3,2,2,"$616,000",23 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341543050/34+Lionel+Rose+Street%2C+Holt+ACT/
24,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,2/3 Fullston Way ,-35.2288984,149.0012122,townhouse,3,2,2,"$550,000",20 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341018560/2-3+Fullston+Way%2C+Holt+ACT/
25,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,8/3 Fullston Way ,-35.2288984,149.0012122,townhouse,4,2,2,"$555,000",16 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341452050/8-3+Fullston+Way%2C+Holt+ACT/
26,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,10/96 Britten-Jones Drive ,-35.2248423,149.0024854,townhouse,3,1,1,"$486,000",16 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341469850/10-96+Britten-Jones+Drive%2C+Holt+ACT/
27,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,11 Messenger Street ,-35.2235680,149.0070382,house,3,2,2,"$720,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341076850/11+Messenger+Street%2C+Holt+ACT/
28,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,57/68 Hardwick Crescent ,-35.2203995,149.0192026,apartment,2,2,1,"$310,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341138850/57-68+Hardwick+Crescent%2C+Holt+ACT/
29,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,44 Pickworth Street ,-35.2229415,149.0159876,house,3,1,2,"$630,000",10 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341779750/44+Pickworth+Street%2C+Holt+ACT/
30,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,98/68 Hardwick Crescent ,-35.2203995,149.0192026,apartment,1,1,1,"$275,000",9 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341158750/98-68+Hardwick+Crescent%2C+Holt+ACT/
31,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,14 Beaurepaire Crescent ,-35.2267599,149.0151482,house,4,1,2,"$627,000",7 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341494750/14+Beaurepaire+Crescent%2C+Holt+ACT/
32,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,8 Chave Street ,-35.2220123,149.0262806,house,3,1,2,"$645,000",Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341377650/8+Chave+Street%2C+Holt+ACT/
33,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,28 Lionel Rose Street ,-35.2295247,148.9995529,house,3,2,2,"$601,000",28 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341842650/28+Lionel+Rose+Street%2C+Holt+ACT/
34,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,3/11 Flack Street ,-35.2234476,149.0212298,unit,2,1,1,"$339,000",25 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341540650/3-11+Flack+Street%2C+Holt+ACT/
35,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,1 Watchorn Close ,-35.2234544,149.0030144,house,3,1,1,"$499,000",21 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341701550/1+Watchorn+Close%2C+Holt+ACT/
36,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,17 Lindrum Crescent ,-35.2269940,149.0102400,house,4,2,7,"$700,000",19 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341679440/17+Lindrum+Crescent%2C+Holt+ACT/
37,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,22 Lorraway Street ,-35.2293188,148.9983722,house,4,2,2,"$676,000",18 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341547440/22+Lorraway+Street%2C+Holt+ACT/
38,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,30 Paterick Place ,-35.2226830,149.0288700,house,2,1,1,"$518,000",5 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341496240/30+Paterick+Place%2C+Holt+ACT/
39,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,39 McCabe Crescent ,-35.2299986,149.0166347,house,3,1,1,"$577,000",29 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341417140/39+McCabe+Crescent%2C+Holt+ACT/
40,2615,Holt,77,https://www.auhouseprices.com/sold/list/ACT/2615/Holt/,33/158 Starke Street ,-35.2238240,149.0182200,townhouse,3,1,1,"$380,000",22 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341864040/33-158+Starke+Street%2C+Holt+ACT/
