,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,119 Harrington Circuit ,-35.3772003,149.0607652,house,4,1,3,"$810,000",25 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341630370/119+Harrington+Circuit%2C+Kambah+ACT/
1,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,33 Bateman Street ,-35.3915504,149.0481396,house,4,2,2,"$751,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341043370/33+Bateman+Street%2C+Kambah+ACT/
2,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,22 Inkster Street ,-35.3768742,149.0661283,house,3,2,2,"$800,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341122370/22+Inkster+Street%2C+Kambah+ACT/
3,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,17 McLeod Place ,-35.3910512,149.0552388,house,3,1,1,"$696,000",18 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341758270/17+McLeod+Place%2C+Kambah+ACT/
4,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,25A Humble Court ,-35.3825775,149.0783933,house,3,2,1,"$730,000",16 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341792270/25A+Humble+Court%2C+Kambah+ACT/
5,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,19 Broadhurst Street ,-35.3872556,149.0805279,house,4,2,2,"$1,080,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341277170/19+Broadhurst+Street%2C+Kambah+ACT/
6,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,6 Masters Place ,-35.3907655,149.0518959,house,4,2,1,"$753,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341049170/6+Masters+Place%2C+Kambah+ACT/
7,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,17 Maidment Place ,-35.3931297,149.0496328,house,3,1,4,"$752,000",11 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341821170/17+Maidment+Place%2C+Kambah+ACT/
8,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,5 Franks Place ,-35.3908791,149.0605738,house,3,2,2,"$770,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341519970/5+Franks+Place%2C+Kambah+ACT/
9,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,58 Summerland Circuit ,-35.3841370,149.0684271,house,3,1,2,"$770,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341021070/58+Summerland+Circuit%2C+Kambah+ACT/
10,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,2/112 Bacchus Circuit ,-35.3789010,149.0540057,duplex-semi-detached,4,2,2,"$780,000",2 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341837270/2-112+Bacchus+Circuit%2C+Kambah+ACT/
11,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,15 Trussell Place ,-35.4006973,149.0605154,house,4,2,2,"$1,116,500",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341383970/15+Trussell+Place%2C+Kambah+ACT/
12,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,3 Bellingham Crescent ,-35.3879225,149.0684687,house,4,1,2,"$725,000",19 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341652870/3+Bellingham+Crescent%2C+Kambah+ACT/
13,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,14 Horton Close ,-35.3876218,149.0880340,house,4,2,2,"$800,000",12 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341447670/14+Horton+Close%2C+Kambah+ACT/
14,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,6 Bethune Close ,-35.3866737,149.0523646,house,3,1,1,"$600,000",9 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341891670/6+Bethune+Close%2C+Kambah+ACT/
15,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,10/71 Morrison Street ,-35.3923050,149.0706566,townhouse,3,1,2,"$541,000",8 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341208370/10-71+Morrison+Street%2C+Kambah+ACT/
16,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,13 Faithfull Circuit ,-35.3818699,149.0459245,house,3,1,2,"$755,000",3 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341021570/13+Faithfull+Circuit%2C+Kambah+ACT/
17,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,24 Stanfield Close ,-35.3866440,149.0509328,house,3,1,1,"$637,500",18 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341704360/24+Stanfield+Close%2C+Kambah+ACT/
18,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,5/35 Ashby Circuit ,-35.3970538,149.0660425,townhouse,3,2,1,"$500,000",15 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341932360/5-35+Ashby+Circuit%2C+Kambah+ACT/
19,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,4 Fanning Place ,-35.3701694,149.0617750,house,4,3,2,"$730,100",22 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341118160/4+Fanning+Place%2C+Kambah+ACT/
20,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,54 Meredith Circuit ,-35.3954607,149.0488000,house,5,3,3,"$880,000",21 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341504160/54+Meredith+Circuit%2C+Kambah+ACT/
21,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,20 Ivo Whitton Circuit ,-35.3943631,149.0390840,house,5,2,2,"$1,020,000",16 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341246060/20+Ivo+Whitton+Circuit%2C+Kambah+ACT/
22,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,15 Aitken Circuit ,-35.3785772,149.0556158,house,3,1,2,"$532,000",16 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341548060/15+Aitken+Circuit%2C+Kambah+ACT/
23,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,4 Harrington Circuit ,-35.3785288,149.0584544,house,3,1,2,"$509,000",15 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341685060/4+Harrington+Circuit%2C+Kambah+ACT/
24,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,72 Kingsmill Street ,-35.3886934,149.0734533,house,4,1,2,"$627,000",14 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341088060/72+Kingsmill+Street%2C+Kambah+ACT/
25,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,33 Buckley Circuit ,-35.3803771,149.0499595,house,5,2,2,"$775,000",14 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341222060/33+Buckley+Circuit%2C+Kambah+ACT/
26,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,54 Bosworth Circuit ,-35.3739267,149.0550135,house,5,2,2,"$1,180,000",12 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341766960/54+Bosworth+Circuit%2C+Kambah+ACT/
27,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,3 Lacey Place ,-35.3844843,149.0739289,house,4,2,1,"$732,000",12 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341831060/3+Lacey+Place%2C+Kambah+ACT/
28,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,139B Boddington Crescent ,-35.3895830,149.0539539,house,2,1,2,"$535,000",11 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341385960/139B+Boddington+Crescent%2C+Kambah+ACT/
29,2902,Kambah,221,https://www.auhouseprices.com/sold/list/ACT/2902/Kambah/,4/10 Vanzetti Crescent ,-35.3921950,149.0723403,townhouse,3,1,2,"$543,000",10 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341289960/4-10+Vanzetti+Crescent%2C+Kambah+ACT/
