,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,6 Acacia Place ,-35.1962965,149.1057704,house,3,1,1,"$690,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341391370/6+Acacia+Place%2C+Nicholls+ACT/
1,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,3 McRitchie Circuit ,-35.1902935,149.0947985,house,5,3,4,"$1,650,000",2 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341697970/3+McRitchie+Circuit%2C+Nicholls+ACT/
2,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,5 Fleetwood Smith Street ,-35.1832584,149.0845307,house,4,3,2,"$1,560,000",28 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341992970/5+Fleetwood+Smith+Street%2C+Nicholls+ACT/
3,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,10 Hendry Close ,-35.1879986,149.0909180,house,6,5,6,"$2,201,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341102970/10+Hendry+Close%2C+Nicholls+ACT/
4,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,14/25 Temperley Street ,-35.1840824,149.0938526,house,3,2,2,"$785,000",24 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341129870/14-25+Temperley+Street%2C+Nicholls+ACT/
5,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,7 Krantzcke Circuit ,-35.1891319,149.0978435,house,4,2,2,"$820,000",18 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341638770/7+Krantzcke+Circuit%2C+Nicholls+ACT/
6,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,18 Arthaldo Court ,-35.1834489,149.1063502,house,5,4,2,"$1,350,000",15 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341101770/18+Arthaldo+Court%2C+Nicholls+ACT/
7,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,17 Krantzcke Circuit ,-35.1891231,149.0983484,house,4,2,2,"$770,000",15 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341080770/17+Krantzcke+Circuit%2C+Nicholls+ACT/
8,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,114 Temperley Street ,-35.1929866,149.0959768,house,5,3,3,"$2,050,000",15 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341051770/114+Temperley+Street%2C+Nicholls+ACT/
9,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,5 Quist Place ,-35.1839027,149.1092828,house,5,3,2,"$1,090,000",13 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341289670/5+Quist+Place%2C+Nicholls+ACT/
10,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,81 Tazewell Circuit ,-35.1869738,149.1042779,house,4,2,2,"$956,000",11 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341555670/81+Tazewell+Circuit%2C+Nicholls+ACT/
11,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,76 McClelland Avenue ,-35.1810430,149.0906848,house,4,2,2,"$956,000",30 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341708460/76+McClelland+Avenue%2C+Nicholls+ACT/
12,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,9/17 Freda Bennett Circuit ,-35.1800678,149.1032475,townhouse,3,1,2,"$560,000",29 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341380460/9-17+Freda+Bennett+Circuit%2C+Nicholls+ACT/
13,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,19 Cockatoo Close ,-35.1904785,149.1121653,house,4,2,2,"$730,000",21 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341409360/19+Cockatoo+Close%2C+Nicholls+ACT/
14,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,37 Freda Bennett Circuit ,-35.1793174,149.1059800,house,4,2,1,"$770,000",19 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341641160/37+Freda+Bennett+Circuit%2C+Nicholls+ACT/
15,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,97 Sue Geh Circuit ,-35.1888531,149.0925981,house,3,2,2,"$1,035,000",4 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341750860/97+Sue+Geh+Circuit%2C+Nicholls+ACT/
16,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,33 Lexcen Avenue ,-35.1874804,149.1052134,house,4,2,2,"$839,000",30 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341384760/33+Lexcen+Avenue%2C+Nicholls+ACT/
17,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,15 Tazewell Circuit ,-35.1874698,149.1027094,house,4,2,2,"$947,000",23 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341076560/15+Tazewell+Circuit%2C+Nicholls+ACT/
18,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,10 Whatmore Court ,-35.1819011,149.1015227,house,4,3,2,"$880,000",21 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341975560/10+Whatmore+Court%2C+Nicholls+ACT/
19,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,13/23 Temperley Street ,-35.1838966,149.0928671,house,4,2,2,"$775,000",17 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341847450/13-23+Temperley+Street%2C+Nicholls+ACT/
20,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,21 Rosella Street ,-35.1887195,149.1132618,house,4,2,2,"$685,000",16 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341297860/21+Rosella++Street%2C+Nicholls+ACT/
21,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,15 Rosella Street ,-35.1890055,149.1128849,house,3,2,2,"$740,000",14 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341123450/15+Rosella+Street%2C+Nicholls+ACT/
22,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,13/49-51 Freda Bennett Circuit ,-35.1803710,149.1078486,townhouse,2,1,2,"$470,000",11 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341735350/13-49-51+Freda+Bennett+Circuit%2C+Nicholls+ACT/
23,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,16/25 Temperley Street ,-35.1840824,149.0938526,townhouse,4,2,2,"$830,000",11 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341246350/16-25+Temperley+Street%2C+Nicholls+ACT/
24,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,11 Hendry Close ,-35.1880754,149.0906454,house,6,3,2,"$2,475,000",7 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341539250/11+Hendry+Close%2C+Nicholls+ACT/
25,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,6 Dobbin Circuit ,-35.1857119,149.0917818,house,4,2,2,"$1,045,000",2 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341240150/6+Dobbin+Circuit%2C+Nicholls+ACT/
26,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,33 Dooland Court ,-35.1808776,149.1080187,house,4,2,2,"$755,000",31 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341957150/33+Dooland+Court%2C+Nicholls+ACT/
27,2913,Nicholls,54,https://www.auhouseprices.com/sold/list/ACT/2913/Nicholls/,1/107 Lexcen Avenue ,-35.1838605,149.0988555,townhouse,3,2,2,"$611,000",24 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341924050/1-107+Lexcen+Avenue%2C+Nicholls+ACT/
