,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,8/64 Knox Street ,-35.2375804,149.1526571,apartment,2,1,1,"$420,000",23 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341925370/8-64+Knox+Street%2C+Watson+ACT/
1,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,16 Field Street ,-35.2403865,149.1606099,house,3,1,1,"$1,000,000",23 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341954370/16+Field+Street%2C+Watson+ACT/
2,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,56 Aspinall Street ,-35.2305490,149.1587163,townhouse,3,2,2,"$895,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341702370/56+Aspinall+Street%2C+Watson+ACT/
3,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,14 Simpson Street ,-35.2371339,149.1559637,house,3,1,2,"$1,025,000",12 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341816170/14+Simpson+Street%2C+Watson+ACT/
4,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,44/215 Aspinall Street ,-35.2291876,149.1642725,townhouse,3,2,2,"$835,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341632970/44-215+Aspinall+Street%2C+Watson+ACT/
5,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,10 Phillipa Weeks Street ,-35.2254709,149.1684474,house,3,1,1,"$570,000",26 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341582970/10+Phillipa+Weeks+Street%2C+Watson+ACT/
6,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,43 Molesworth Street ,-35.2323658,149.1523765,house,3,1,1,"$1,100,000",20 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341321870/43+Molesworth+Street%2C+Watson+ACT/
7,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,14 Cooper Place ,-35.2347527,149.1469128,house,3,2,2,"$1,020,000",17 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341506770/14+Cooper+Place%2C+Watson+ACT/
8,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,36 Irvine Street ,-35.2374272,149.1582239,house,4,1,3,"$1,063,000",15 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341509670/36+Irvine+Street%2C+Watson+ACT/
9,2602,Watson,68,https://www.auhouseprices.com/sold/list/ACT/2602/Watson/,24/19 Aspinall Street ,-35.2301410,149.1551401,townhouse,3,2,1,"$580,000",11 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341965670/24-19+Aspinall+Street%2C+Watson+ACT/
