,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,49 Paperbark Street ,-35.4709116,149.1039936,house,4,2,2,"$860,000",26 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341831470/49+Paperbark+Street%2C+Banks+ACT/
1,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,14/6 Kettlewell Crescent ,-35.4687897,149.1063050,townhouse,3,2,2,"$575,000",24 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341887370/14-6+Kettlewell+Crescent%2C+Banks+ACT/
2,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,10 White Place ,-35.4731760,149.0940464,house,3,1,2,"$640,000",15 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341500170/10+White+Place%2C+Banks+ACT/
3,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,16 House Circuit ,-35.4675157,149.0929520,house,3,1,2,"$563,000",4 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341999970/16+House+Circuit%2C+Banks+ACT/
4,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,57 Forsythe Street ,-35.4765820,149.1003614,house,4,2,2,"$870,000",19 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341729770/57+Forsythe+Street%2C+Banks+ACT/
5,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,5 Brittlebank Circuit ,-35.4677586,149.1028316,house,4,2,2,"$685,000",20 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341546360/5+Brittlebank+Circuit%2C+Banks+ACT/
6,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,30 Thomas Hart Street ,-35.4663451,149.0975497,house,3,1,3,"$572,000",12 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341721360/30+Thomas+Hart+Street%2C+Banks+ACT/
7,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,23 McLuckie Crescent ,-35.4673004,149.0985993,house,3,1,2,"$575,000",25 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341712260/23+McLuckie+Crescent%2C+Banks+ACT/
8,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,5 Moore Place ,-35.4742268,149.0994626,house,3,2,2,"$670,000",23 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341281260/5+Moore+Place%2C+Banks+ACT/
9,2906,Banks,81,https://www.auhouseprices.com/sold/list/ACT/2906/Banks/,17a Troughton Street ,-35.4709231,149.1005107,house,3,1,1,"$455,000",22 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341806160/17a+Troughton+Street%2C+Banks+ACT/
