,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,6/1 Provan Street ,-35.2882190,149.1439306,unit,3,2,2,"$1,150,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341601070/6-1+Provan+Street%2C+Campbell+ACT/
1,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,29 Chowne Street ,-35.2870933,149.1453807,house,4,2,2,"$1,585,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341222970/29+Chowne+Street%2C+Campbell+ACT/
2,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,42 Holmes Crescent ,-35.2893351,149.1617343,house,5,2,3,"$2,120,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341843970/42+Holmes+Crescent%2C+Campbell+ACT/
3,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,410/6 Provan Street ,-35.2887970,149.1438688,apartment,2,2,2,"$730,000",26 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341369870/410-6+Provan+Street%2C+Campbell+ACT/
4,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,4/12 Key Street ,-35.2840857,149.1507809,townhouse,3,2,2,"$1,220,000",16 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341933770/4-12+Key+Street%2C+Campbell+ACT/
5,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,2/12 Key Street ,-35.2840857,149.1507809,townhouse,3,2,2,"$1,065,000",18 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341194360/2-12+Key+Street%2C+Campbell+ACT/
6,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,4 Elliott Street ,-35.2915986,149.1551314,house,4,3,2,"$2,100,000",11 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341338260/4+Elliott+Street%2C+Campbell+ACT/
7,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,323/1 Kalma Way ,-35.2903061,149.1436667,apartment,1,1,1,"$455,000",24 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341513260/323-1+Kalma+Way%2C+Campbell+ACT/
8,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,89 Waller Crescent ,-35.2858497,149.1585192,house,4,2,1,"$1,330,000",12 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341869960/89+Waller+Crescent%2C+Campbell+ACT/
9,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,21 Truscott Street ,-35.2864509,149.1627131,house,3,2,3,"$1,417,500",10 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341953960/21+Truscott+Street%2C+Campbell+ACT/
10,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,308/6 Provan Street ,-35.2887970,149.1438688,apartment,3,2,2,"$828,000",8 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341107860/308-6+Provan+Street%2C+Campbell+ACT/
11,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,12/137 Blamey Crescent ,-35.2908527,149.1529831,apartment,1,1,1,"$200,000",24 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341914660/12-137+Blamey+Crescent%2C+Campbell+ACT/
12,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,304/59 Constitution Avenue ,-35.2907784,149.1439761,apartment,2,2,2,"$642,000",19 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341023560/304-59+Constitution+Avenue%2C+Campbell+ACT/
13,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,62 Gellibrand Street ,-35.2925969,149.1572800,house,5,3,2,"$1,560,000",13 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341059350/62+Gellibrand+Street%2C+Campbell+ACT/
14,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,16 Gellibrand Street ,-35.2887726,149.1604220,house,3,3,2,"$1,425,000",12 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341718350/16+Gellibrand+Street%2C+Campbell+ACT/
15,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,48 Getting Crescent ,-35.2888985,149.1472865,house,4,3,2,"$1,755,000",5 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341664250/48+Getting+Crescent%2C+Campbell+ACT/
16,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,1/134 Blamey Crescent ,-35.2913434,149.1517536,townhouse,3,2,2,"$1,369,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341718850/1-134+Blamey+Crescent%2C+Campbell+ACT/
17,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,30 Gellibrand Street ,-35.2900898,149.1598632,house,4,2,3,"$1,800,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341229850/30+Gellibrand+Street%2C+Campbell+ACT/
18,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,12 Chowne Street ,-35.2882615,149.1450817,house,5,3,4,"$1,510,000",19 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341480440/12+Chowne+Street%2C+Campbell+ACT/
19,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,7 Patey Street ,-35.2875301,149.1487016,house,4,2,1,"$1,240,000",19 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341998440/7+Patey+Street%2C+Campbell+ACT/
20,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,24/59 Constitution Avenue ,-35.2907784,149.1439761,apartment,3,2,2,"$849,000",11 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341344340/24-59+Constitution+Avenue%2C+Campbell+ACT/
21,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,204/59 Constitution Avenue ,-35.2907784,149.1439761,apartment,2,2,2,"$645,000",4 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341774240/204-59++Constitution+Avenue%2C+Campbell+ACT/
22,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,3 Getting Crescent ,-35.2906380,149.1453400,house,4,2,2,"$1,321,000",29 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341765140/3+Getting+Crescent%2C+Campbell+ACT/
23,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,3 Butler Place ,-35.2904835,149.1489006,house,5,2,2,"$1,300,000",22 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341773040/3+Butler+Place%2C+Campbell+ACT/
24,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,47 White Crescent ,-35.2865736,149.1573620,house,3,1,1,"$920,000",15 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341113940/47+White+Crescent%2C+Campbell+ACT/
25,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,22 Rosenthal Street ,-35.2825110,149.1571882,house,4,3,2,"$1,825,000",7 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341912840/22+Rosenthal+Street%2C+Campbell+ACT/
26,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,1/12 Key Street ,-35.2840840,149.1507900,townhouse,3,2,2,"$1,130,000",1 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341654740/1-12+Key+Street%2C+Campbell+ACT/
27,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,2/1 Provan Street ,-35.2882190,149.1439306,apartment,2,2,4,"$710,000",24 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341800740/2-1+Provan+Street%2C+Campbell+ACT/
28,2612,Campbell,43,https://www.auhouseprices.com/sold/list/ACT/2612/Campbell/,604/21 Provan Street ,-35.2901356,149.1431125,apartment,3,2,2,"$949,000",15 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341897529/604-21+Provan+Street%2C+Campbell+ACT/
