,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,2/6 Eaglemont Retreat ,-35.4632880,149.1121111,townhouse,3,1,1,"$585,000",22 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341316370/2-6+Eaglemont+Retreat%2C+Conder+ACT/
1,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,20 Whiteley Street ,-35.4483174,149.0948563,house,3,2,2,"$761,000",12 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341555170/20+Whiteley+Street%2C+Conder+ACT/
2,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,9/2 Merri Place ,-35.4572364,149.0985016,townhouse,3,1,2,"$557,000",2 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341577970/9-2+Merri+Place%2C+Conder+ACT/
3,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,3 Lethbridge Street ,-35.4624910,149.1045566,house,3,1,2,"$650,000",16 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341792770/3+Lethbridge+Street%2C+Conder+ACT/
4,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,40/81 Box Hill Avenue ,-35.4621148,149.0976094,unit,3,1,1,"$520,000",10 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341493170/40-81+Box+Hill+Avenue%2C+Conder+ACT/
5,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,12/4-6 Merri Place ,-35.4572364,149.0985016,townhouse,3,2,2,"$520,000",11 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341839260/12-4-6+Merri+Place%2C+Conder+ACT/
6,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,8 Humphrey Street ,-35.4669371,149.1075485,house,4,2,2,"$775,000",4 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341343260/8+Humphrey+Street%2C+Conder+ACT/
7,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,60 Tom Roberts Avenue ,-35.4628274,149.1054248,house,3,1,1,"$570,000",24 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341844260/60+Tom+Roberts+Avenue%2C+Conder+ACT/
8,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,7 Humphrey Street ,-35.4672498,149.1077109,house,3,2,2,"$695,000",10 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341344960/7+Humphrey+Street%2C+Conder+ACT/
9,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,13/7 Sommers Street ,-35.4623079,149.0938853,townhouse,3,1,1,"$465,000",17 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341080450/13-7+Sommers+Street%2C+Conder+ACT/
10,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,7 Abrahams Crescent ,-35.4646983,149.1020467,house,3,2,2,"$630,000",6 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341767250/7+Abrahams+Crescent%2C+Conder+ACT/
11,2906,Conder,64,https://www.auhouseprices.com/sold/list/ACT/2906/Conder/,4/2 Jane Price Crescent ,-35.4569510,149.0978988,townhouse,3,1,1,"$450,000",2 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341940150/4-2+Jane+Price+Crescent%2C+Conder+ACT/
