,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,74/3 Waddell Place ,-35.3252951,149.0806038,apartment,1,1,1,"$200,000",19 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341556370/74-3+Waddell+Place%2C+Curtin+ACT/
1,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,6 Jenkins Street ,-35.3231215,149.0759350,house,3,1,3,"$1,270,000",7 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341400070/6+Jenkins+Street%2C+Curtin+ACT/
2,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,8A Parker Street ,-35.3269253,149.0835730,house,3,1,1,"$708,000",4 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341704070/8A+Parker+Street%2C+Curtin+ACT/
3,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,1/4 Walsh Place ,-35.3249821,149.0846438,apartment,2,1,1,"$298,000",2 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341217970/1-4+Walsh+Place%2C+Curtin+ACT/
4,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,2/3 Blyth Place ,-35.3252428,149.0783701,townhouse,3,2,2,"$870,000",6 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341664870/2-3+Blyth+Place%2C+Curtin+ACT/
5,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,8 Daglish Street ,-35.3314825,149.0751698,house,4,3,2,"$2,010,000",26 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341056660/8+Daglish+Street%2C+Curtin+ACT/
6,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,75 Mccormack Street ,-35.3301582,149.0772151,house,4,2,2,"$1,315,000",14 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341193450/75+Mccormack+Street%2C+Curtin+ACT/
7,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,130 Carruthers Street ,-35.3238409,149.0786594,house,4,2,2,"$1,035,000",7 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341009250/130+Carruthers+Street%2C+Curtin+ACT/
8,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,4/141 Carruthers Street ,-35.3238509,149.0807098,apartment,2,1,1,"$317,000",4 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341573250/4-141+Carruthers+Street%2C+Curtin+ACT/
9,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,32 Cockburn Street ,-35.3234526,149.0718736,house,5,3,2,"$1,770,000",31 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341485150/32+Cockburn+Street%2C+Curtin+ACT/
10,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,38 Kidston Crescent ,-35.3202281,149.0827246,house,5,3,2,"$1,450,000",26 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341435050/38+Kidston+Crescent%2C+Curtin+ACT/
11,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,7 Reynolds Street ,-35.3220855,149.0811333,house,4,2,1,"$1,080,000",20 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341835950/7+Reynolds+Street%2C+Curtin+ACT/
12,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,17 Holman Street ,-35.3310205,149.0831555,house,3,1,1,"$890,000",18 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341442950/17+Holman+Street%2C+Curtin+ACT/
13,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,5 Reynolds Street ,-35.3218175,149.0809944,house,4,1,1,"$1,000,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341946850/5+Reynolds+Street%2C+Curtin+ACT/
14,2605,Curtin,71,https://www.auhouseprices.com/sold/list/ACT/2605/Curtin/,8 McLean Place ,-35.3256642,149.0769570,house,4,2,2,"$1,060,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341697850/8+McLean+Place%2C+Curtin+ACT/
