,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,208/2 Grose Street ,-35.3138114,149.1070687,apartment,2,2,1,"$942,000",25 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341038870/208-2+Grose+Street%2C+Deakin+ACT/
1,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,19 Dugan Street ,-35.3188904,149.1109798,house,3,2,1,"$1,500,000",22 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341570360/19+Dugan+Street%2C+Deakin+ACT/
2,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,13 Canterbury Crescent ,-35.3111831,149.1186870,house,5,3,2,"$2,825,000",19 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341394770/13+Canterbury+Crescent%2C+Deakin+ACT/
3,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,93 Strickland Crescent ,-35.3215921,149.1044174,house,4,4,2,"$1,950,000",16 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341076060/93+Strickland+Crescent%2C+Deakin+ACT/
4,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,14 Dugan Street ,-35.3188661,149.1103082,house,4,2,2,"$1,420,000",16 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341987060/14+Dugan+Street%2C+Deakin+ACT/
5,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,6/78 MacGregor Street ,-35.3160694,149.1073363,apartment,1,1,1,"$385,000",15 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341404060/6-78+MacGregor+Street%2C+Deakin+ACT/
6,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,18 Northcote Crescent ,-35.3148336,149.1120182,house,5,2,3,"$2,285,000",12 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341707260/18+Northcote+Crescent%2C+Deakin+ACT/
7,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,24/29-31 State Circle ,-35.3112480,149.1202350,apartment,2,2,2,"$645,000",11 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341095960/24-29-31+State+Circle%2C+Deakin+ACT/
8,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,302/2 Grose Street ,-35.3138114,149.1070687,apartment,2,2,1,"$1,100,000",9 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341514960/302-2+Grose+Street%2C+Deakin+ACT/
9,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,17 Macartney Crescent ,-35.3158908,149.0999802,house,2,1,2,"$1,063,000",4 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341551860/17+Macartney+Crescent%2C+Deakin+ACT/
10,2600,Deakin,51,https://www.auhouseprices.com/sold/list/ACT/2600/Deakin/,115/2 Grose Street ,-35.3134580,149.1069390,apartment,1,1,1,"$540,000",30 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341906760/115-2+Grose+Street%2C+Deakin+ACT/
