,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,52 Ashkanasy Crescent ,-35.2111550,149.0685541,house,3,1,2,"$606,000",17 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341324270/52+Ashkanasy+Crescent%2C+Evatt+ACT/
1,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,22 Cutlack Street ,-35.2092139,149.0781930,house,3,2,2,"$810,000",15 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341631270/22+Cutlack+Street%2C+Evatt+ACT/
2,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,27 Freehill Street ,-35.2118695,149.0694730,house,4,3,2,"$856,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341687170/27+Freehill+Street%2C+Evatt+ACT/
3,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,13/2 McClure Street ,-35.2085146,149.0726982,unit,1,1,1,"$300,000",4 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341824070/13-2+McClure+Street%2C+Evatt+ACT/
4,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,27 McClure Street ,-35.2076207,149.0727921,house,3,1,2,"$740,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341313970/27+McClure+Street%2C+Evatt+ACT/
5,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,35 McClure Street ,-35.2075275,149.0726661,house,3,2,1,"$650,000",4 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341529070/35+McClure+Street%2C+Evatt+ACT/
6,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,13 Callaghan Street ,-35.2156728,149.0669001,house,4,3,2,"$1,045,000",12 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341959260/13+Callaghan+Street%2C+Evatt+ACT/
7,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,21 Kellway Street ,-35.2061038,149.0724021,house,3,2,3,"$780,000",11 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341537260/21+Kellway+Street%2C+Evatt+ACT/
8,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,6 Eagar Place ,-35.2094268,149.0705094,house,4,2,1,"$800,000",30 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341993760/6+Eagar+Place%2C+Evatt+ACT/
9,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,4 Fuhrman Street ,-35.2042846,149.0696649,house,3,1,2,"$678,500",12 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341896350/4+Fuhrman+Street%2C+Evatt+ACT/
10,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,8 Eagar Place ,-35.2092480,149.0704170,house,4,2,2,"$780,000",7 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341630250/8+Eagar+Place%2C+Evatt+ACT/
11,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,29 De Lissa Street ,-35.2152480,149.0659117,house,5,2,2,"$1,500,000",5 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341846250/29+De+Lissa+Street%2C+Evatt+ACT/
12,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,42 Levine Street ,-35.2105033,149.0650115,house,3,1,4,"$654,000",4 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341646960/42+Levine+Street%2C+Evatt+ACT/
13,2617,Evatt,66,https://www.auhouseprices.com/sold/list/ACT/2617/Evatt/,58 Ashkanasy Crescent ,-35.2111149,149.0687947,house,3,1,2,"$520,000",30 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341190150/58+Ashkanasy+Crescent%2C+Evatt+ACT/
