,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,29 Custance Street ,-35.3776654,149.1007437,house,4,3,2,"$1,410,000",22 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341014370/29+Custance+Street%2C+Farrer+ACT/
1,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,26a Custance Street ,-35.3769286,149.0995689,house,4,3,2,"$1,545,000",18 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341439270/26a+Custance+Street%2C+Farrer+ACT/
2,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,109 Hawkesbury Crescent ,-35.3833842,149.1062418,house,4,2,2,"$1,210,000",20 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341391870/109+Hawkesbury+Crescent%2C+Farrer+ACT/
3,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,133 Lambrigg Street ,-35.3794008,149.1097926,house,4,1,1,"$840,000",22 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341359360/133+Lambrigg+Street%2C+Farrer+ACT/
4,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,32 Dookie Street ,-35.3775737,149.1082456,townhouse,4,2,2,"$970,000",19 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341016360/32+Dookie+Street%2C+Farrer+ACT/
5,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,9B Gluyas Street ,-35.3725070,149.0980435,house,4,2,2,"$995,000",6 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341355260/9B+Gluyas+Street%2C+Farrer+ACT/
6,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,3 Roseworthy Crescent ,-35.3734484,149.1047728,house,4,2,3,"$1,110,000",24 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341525260/3+Roseworthy+Crescent%2C+Farrer+ACT/
7,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,2/5 Crane Place ,-35.3753209,149.1068534,duplex-semi-detached,3,2,1,"$685,000",21 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341773160/2-5+Crane+Place%2C+Farrer+ACT/
8,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,1/48 Lambrigg Street ,-35.3752662,149.1002963,house,3,2,2,"$850,000",20 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341550660/1-48+Lambrigg+Street%2C+Farrer+ACT/
9,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,49 Muresk Street ,-35.3839532,149.1056622,house,4,2,2,"$1,400,000",7 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341949250/49+Muresk+Street%2C+Farrer+ACT/
10,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,23 Pudney Street ,-35.3805122,149.1127386,house,4,2,3,"$967,548",2 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341298150/23+Pudney+Street%2C+Farrer+ACT/
11,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,14 Cameron Street ,-35.3765711,149.1009465,house,4,2,2,"$885,000",19 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341413950/14+Cameron+Street%2C+Farrer+ACT/
12,2607,Farrer,53,https://www.auhouseprices.com/sold/list/ACT/2607/Farrer/,3/33 Lambrigg Street ,-35.3742798,149.0989609,townhouse,4,2,2,"$844,000",8 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341038750/3-33+Lambrigg+Street%2C+Farrer+ACT/
