,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,14/224 Flemington Road ,-35.1947398,149.1516710,townhouse,3,2,1,"$600,000",26 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341541470/14-224+Flemington+Road%2C+Harrison+ACT/
1,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,40 Adventure Street ,-35.2082223,149.1539730,house,5,2,2,"$828,000",17 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341705270/40+Adventure+Street%2C+Harrison+ACT/
2,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,61/11 Wimmera Street ,-35.1993471,149.1506744,apartment,2,2,2,"$411,500",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341084370/61-11+Wimmera+Street%2C+Harrison+ACT/
3,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,124/2 Windjana Street ,-35.2021502,149.1496939,unit,2,1,1,"$330,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341809970/124-2+Windjana+Street%2C+Harrison+ACT/
4,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,72/148 Flemington Road ,-35.2028986,149.1491755,apartment,2,1,1,"$355,000",2 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341747970/72-148+Flemington+Road%2C+Harrison+ACT/
5,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,6 Eldorado Street ,-35.1886535,149.1573656,house,5,2,2,"$937,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341055370/6+Eldorado+Street%2C+Harrison+ACT/
6,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,8 Alanvale Street ,-35.2076812,149.1590443,house,4,2,2,"$900,000",26 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341330970/8+Alanvale+Street%2C+Harrison+ACT/
7,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,3 Andruco Street ,-35.2014468,149.1603399,house,4,2,2,"$1,100,000",25 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341709870/3+Andruco+Street%2C+Harrison+ACT/
8,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,83/148 Flemington Road ,-35.2028986,149.1491755,apartment,1,1,1,"$320,000",19 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341122870/83-148+Flemington+Road%2C+Harrison+ACT/
9,2914,Harrison,44,https://www.auhouseprices.com/sold/list/ACT/2914/Harrison/,32/224 Flemington Road ,-35.1947398,149.1516710,apartment,4,2,2,"$625,000",18 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341895770/32-224+Flemington+Road%2C+Harrison+ACT/
