,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,40 Davidson Street ,-35.2370288,149.0248301,house,4,2,2,"$830,000",16 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341262270/40+Davidson+Street%2C+Higgins+ACT/
1,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,65 Kriewaldt Circuit ,-35.2283433,149.0261414,house,4,2,2,"$765,000",8 Jan 2021,https://www.auhouseprices.com/sold/view/ACT/341326260/65+Kriewaldt+Circuit%2C+Higgins+ACT/
2,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,28 Bundey Street ,-35.2305955,149.0219234,house,4,2,2,"$805,000",10 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341013960/28+Bundey+Street%2C+Higgins+ACT/
3,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,59 Pennefather Street ,-35.2335537,149.0326109,house,3,1,2,"$615,500",5 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341194860/59+Pennefather+Street%2C+Higgins+ACT/
4,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,17 Davidson Street ,-35.2350275,149.0237475,house,4,2,2,"$777,000",16 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341545450/17+Davidson+Street%2C+Higgins+ACT/
5,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,24 Cantor Crescent ,-35.2314435,149.0288885,house,4,1,2,"$615,000",11 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341946350/24+Cantor+Crescent%2C+Higgins+ACT/
6,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,11 Findlay Street ,-35.2362256,149.0302602,house,4,1,2,"$652,000",8 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341249250/11+Findlay+Street%2C+Higgins+ACT/
7,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,12 Edwards Street ,-35.2319937,149.0320995,house,4,2,5,"$700,000",7 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341580250/12+Edwards+Street%2C+Higgins+ACT/
8,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,3/85 Fullagar Crescent ,-35.2335733,149.0248709,townhouse,3,2,2,"$630,000",16 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341960950/3-85+Fullagar+Crescent%2C+Higgins+ACT/
9,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,4 Nicholas Street ,-35.2386297,149.0261336,other,3,2,4,"$660,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341656850/4+Nicholas+Street%2C+Higgins+ACT/
10,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,18 Nicholas Street ,-35.2387465,149.0272353,house,3,1,1,"$655,500",13 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341395850/18+Nicholas+Street%2C+Higgins+ACT/
11,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,4 Clyne Place ,-35.2280751,149.0329906,house,3,2,2,"$1,000",2 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341405260/4+Clyne+Place%2C+Higgins+ACT/
12,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,2 Millhouse Crescent ,-35.2365666,149.0249725,house,4,2,2,"$655,000",26 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341459550/2+Millhouse+Crescent%2C+Higgins+ACT/
13,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,20 Bundey Street ,-35.2311229,149.0221892,house,4,2,2,"$740,000",26 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341780650/20+Bundey+Street%2C+Higgins+ACT/
14,2615,Higgins,50,https://www.auhouseprices.com/sold/list/ACT/2615/Higgins/,46 Bundey Street ,-35.2313084,149.0202600,house,4,3,1,"$766,500",24 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341737550/46+Bundey+Street%2C+Higgins+ACT/
