,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,36 Shepherdson Place ,-35.3792106,149.1170525,house,4,2,2,"$1,361,000",6 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341455070/36+Shepherdson+Place%2C+Isaacs+ACT/
1,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,104 Julia Flynn Avenue ,-35.3713421,149.1120446,townhouse,4,2,2,"$900,000",12 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341037670/104+Julia+Flynn+Avenue%2C+Isaacs+ACT/
2,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,8/3 Hansen Circuit ,-35.3716182,149.1110100,townhouse,3,2,2,"$750,000",10 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341713960/8-3+Hansen+Circuit%2C+Isaacs+ACT/
3,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,9/45 Alexander Mackie Circuit ,-35.3747944,149.1136745,townhouse,3,2,2,"$820,000",4 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341728860/9-45+Alexander+Mackie+Circuit%2C+Isaacs+ACT/
4,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,12 Walton Street ,-35.3728827,149.1134201,house,3,2,2,"$840,000",27 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341078050/12+Walton+Street%2C+Isaacs+ACT/
5,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,7 Boehm Close ,-35.3626859,149.1088403,house,4,2,2,"$815,000",16 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341519850/7+Boehm+Close%2C+Isaacs+ACT/
6,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,23 Adkinson Close ,-35.3622819,149.1102934,house,4,2,2,"$1,075,000",10 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341570850/23+Adkinson+Close%2C+Isaacs+ACT/
7,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,1 Walton Street ,-35.3720321,149.1136070,house,4,2,2,"$977,500",26 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341919550/1+Walton+Street%2C+Isaacs+ACT/
8,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,8/28 Ringrose Crescent ,-35.3672177,149.1105656,townhouse,3,2,1,"$523,000",25 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341186550/8-28+Ringrose+Crescent%2C+Isaacs+ACT/
9,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,1/4 Kilgour Place ,-35.3764726,149.1180461,townhouse,4,2,2,"$930,000",25 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341921650/1-4+Kilgour+Place%2C+Isaacs+ACT/
10,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,6 Rosson Place ,-35.3722683,149.1127141,townhouse,3,2,2,"$702,000",21 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341970550/6+Rosson+Place%2C+Isaacs+ACT/
11,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,44 Rowntree Crescent ,-35.3750133,149.1158201,house,5,3,2,"$1,140,000",5 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341865240/44+Rowntree+Crescent%2C+Isaacs+ACT/
12,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,3 Hoy Place ,-35.3581022,149.1117187,house,4,2,2,"$1,200,000",29 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341554140/3+Hoy+Place%2C+Isaacs+ACT/
13,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,14 Ringrose Crescent ,-35.3657978,149.1108032,house,3,2,2,"$770,000",28 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341923140/14+Ringrose+Crescent%2C+Isaacs+ACT/
14,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,3 Story Place ,-35.3581543,149.1107362,house,5,3,2,"$1,275,000",24 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341437040/3+Story+Place%2C+Isaacs+ACT/
15,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,25 Adkinson Close ,-35.3620600,149.1101700,house,4,2,2,"$1,070,000",22 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341284040/25+Adkinson+Close%2C+Isaacs+ACT/
16,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,25 Walton Street ,-35.3731580,149.1143000,house,4,2,2,"$928,000",1 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341774740/25+Walton+Street%2C+Isaacs+ACT/
17,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,13/60 Hansen Circuit ,-35.3724204,149.1117907,townhouse,3,2,2,"$725,000",1 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341124740/13-60+Hansen+Circuit%2C+Isaacs+ACT/
18,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,13/60 Hansen Circuit ,-35.3724204,149.1117907,townhouse,3,2,2,"$725,000",1 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341414740/13-60+Hansen+Circuit%2C+Isaacs+ACT/
19,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,65 Julia Flynn Avenue ,-35.3671207,149.1129947,house,4,2,2,"$1,220,000",9 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341252529/65+Julia+Flynn+Avenue%2C+Isaacs+ACT/
20,2607,Isaacs,45,https://www.auhouseprices.com/sold/list/ACT/2607/Isaacs/,12 Bromby Street ,-35.3623999,149.1076663,house,4,2,2,"$1,010,000",7 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341710429/12+Bromby+Street%2C+Isaacs+ACT/
