,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,27 Rushbrook Circuit ,-35.4327798,149.0972293,house,4,2,2,"$830,000",12 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341675170/27+Rushbrook+Circuit%2C+Isabella+Plains+ACT/
1,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,15 Tumbleton Place ,-35.4243411,149.0983210,house,4,2,2,"$685,000",11 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341941170/15+Tumbleton+Place%2C+Isabella+Plains+ACT/
2,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,43 Rushbrook Circuit ,-35.4333031,149.0956457,house,4,2,2,"$790,000",19 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341834870/43+Rushbrook+Circuit%2C+Isabella+Plains+ACT/
3,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,31 Kadina Crescent ,-35.4310572,149.0931203,house,3,2,3,"$595,000",21 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341574160/31+Kadina+Crescent%2C+Isabella+Plains+ACT/
4,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,11 Tannabar Place ,-35.4277983,149.0939061,house,3,1,2,"$550,000",4 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341704860/11+Tannabar+Place%2C+Isabella+Plains+ACT/
5,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,15 Bucknel Circuit ,-35.4294188,149.1033651,house,3,1,2,"$650,000",25 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341732660/15+Bucknel+Circuit%2C+Isabella+Plains+ACT/
6,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,16 Balala Place ,-35.4264958,149.1008991,house,3,2,2,"$655,000",24 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341032660/16+Balala+Place%2C+Isabella+Plains+ACT/
7,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,7 Collyburl Crescent ,-35.4265422,149.0946004,house,3,1,2,"$575,000",10 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341263350/7+Collyburl+Crescent%2C+Isabella+Plains+ACT/
8,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,24 Werriwa Crescent ,-35.4243516,149.0977156,house,3,1,2,"$600,000",10 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341548350/24+Werriwa+Crescent%2C+Isabella+Plains+ACT/
9,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,8 Firbank Close ,-35.4326668,149.0980304,house,4,2,2,"$780,000",12 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341093850/8+Firbank+Close%2C+Isabella+Plains+ACT/
10,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,13 Carumbi Place ,-35.4302561,149.0966902,house,5,2,2,"$840,000",12 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341511150/13+Carumbi+Place%2C+Isabella+Plains+ACT/
11,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,51 Cromwell Circuit ,-35.4267718,149.0856622,townhouse,3,1,1,"$508,000",9 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341618750/51+Cromwell+Circuit%2C+Isabella+Plains+ACT/
12,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,28 Keverstone Circuit ,-35.4336418,149.0903189,house,3,1,2,"$550,000",25 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341708550/28+Keverstone+Circuit%2C+Isabella+Plains+ACT/
13,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,199 Ellerston Avenue ,-35.4317006,149.0924100,house,4,2,2,"$775,000",18 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341427440/199+Ellerston+Avenue%2C+Isabella+Plains+ACT/
14,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,225 Ellerston Avenue ,-35.4335548,149.0946499,house,3,2,2,"$585,000",11 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341066340/225+Ellerston+Avenue%2C+Isabella+Plains+ACT/
15,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,1 Collyburl Crescent ,-35.4261572,149.0939296,house,3,2,4,"$642,500",2 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341601240/1+Collyburl+Crescent%2C+Isabella+Plains+ACT/
16,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,87 Werriwa Crescent ,-35.4231316,149.1004813,house,3,1,1,"$570,000",20 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341811040/87+Werriwa+Crescent%2C+Isabella+Plains+ACT/
17,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,4 Pimpampa Close ,-35.4321896,149.0901977,house,3,1,2,"$550,000",14 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341842940/4+Pimpampa+Close%2C+Isabella+Plains+ACT/
18,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,9 Balala Place ,-35.4278258,149.1006253,house,3,1,3,"$570,000",14 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341614940/9+Balala+Place%2C+Isabella+Plains+ACT/
19,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,74 Keverstone Circuit ,-35.4346500,149.0907570,house,3,1,2,"$595,000",16 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341089529/74+Keverstone+Circuit%2C+Isabella+Plains+ACT/
20,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,5/12 Jondol Place ,-35.4240207,149.0851154,townhouse,3,1,1,"$445,000",7 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341044540/5-12+Jondol+Place%2C+Isabella+Plains+ACT/
21,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,34 Maharatta Circuit ,-35.4289899,149.0964041,house,4,3,3,"$685,000",6 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341478429/34+Maharatta+Circuit%2C+Isabella+Plains+ACT/
22,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,85 Ellerston Avenue ,-35.4259340,149.0949600,house,4,2,8,"$705,000",27 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341308329/85+Ellerston+Avenue%2C+Isabella+Plains+ACT/
23,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,25 Moonbi Crescent ,-35.4313380,149.0997913,house,4,2,2,"$628,000",27 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341987329/25+Moonbi+Crescent%2C+Isabella+Plains+ACT/
24,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,40 Abercorn Crescent ,-35.4264203,149.1016130,house,3,1,2,"$567,000",23 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341723329/40+Abercorn+Crescent%2C+Isabella+Plains+ACT/
25,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,88 Galloway Street ,-35.4317406,149.0942615,house,4,2,6,"$685,000",18 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341117229/88+Galloway++Street%2C+Isabella+Plains+ACT/
26,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,29 Rushbrook Circuit ,-35.4329177,149.0970787,house,4,2,2,"$675,000",10 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341667129/29+Rushbrook+Circuit%2C+Isabella+Plains+ACT/
27,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,50 Werriwa Crescent ,-35.4229222,149.0995618,house,4,2,2,"$655,000",3 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341960029/50+Werriwa+Crescent%2C+Isabella+Plains+ACT/
28,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,30 Maharatta Circuit ,-35.4286278,149.0964938,house,3,1,2,"$600,000",15 May 2020,https://www.auhouseprices.com/sold/view/ACT/341838829/30+Maharatta+Circuit%2C+Isabella+Plains+ACT/
29,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,9 Bucknel Circuit ,-35.4296195,149.1027095,house,4,2,3,"$655,000",24 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341974629/9+Bucknel+Circuit%2C+Isabella+Plains+ACT/
30,2905,Isabella Plains,47,https://www.auhouseprices.com/sold/list/ACT/2905/Isabella+Plains/,15 Jasper Close ,-35.4330940,149.0931510,house,3,1,1,"$363,000",14 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341707119/15+Jasper+Close%2C+Isabella+Plains+ACT/
