,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,12 Boelke Place ,-35.2071611,149.0031673,house,3,2,2,"$771,000",27 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341102470/12+Boelke+Place%2C+MacGregor+ACT/
1,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,2/21 Beeston Street ,-35.2104814,149.0229425,house,4,2,1,"$756,000",24 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341199370/2-21+Beeston+Street%2C+MacGregor+ACT/
2,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,3B Bowden Crescent ,-35.2094589,149.0238375,house,3,2,1,"$651,000",17 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341775270/3B+Bowden+Crescent%2C+MacGregor+ACT/
3,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,8 Dagmar Berne St ,-35.2163005,149.0022055,house,4,2,2,"$760,000",15 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341790170/8+Dagmar+Berne+St%2C+MacGregor+ACT/
4,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,7 Bennie Street ,-35.2148357,149.0106350,house,3,1,2,"$666,000",6 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341546070/7+Bennie+Street%2C+MacGregor+ACT/
5,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,32 Heighway Street ,-35.2122393,149.0035557,house,4,2,2,"$712,000",6 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341373170/32+Heighway+Street%2C+MacGregor+ACT/
6,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,23 Mileham Street ,-35.2073455,149.0159643,house,4,2,2,"$794,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341141070/23+Mileham+Street%2C+MacGregor+ACT/
7,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,91 Carman Loop ,-35.2065114,149.0086434,house,3,2,1,"$650,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341958970/91+Carman+Loop%2C+MacGregor+ACT/
8,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,3A Bowden Crescent ,-35.2094589,149.0238375,house,3,2,1,"$653,000",2 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341668970/3A+Bowden+Crescent%2C+MacGregor+ACT/
9,2615,Macgregor,107,https://www.auhouseprices.com/sold/list/ACT/2615/Macgregor/,28 Bryan Hudson Street ,-35.2150822,149.0044605,duplex-semi-detached,3,1,1,"$582,500",15 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341871770/28+Bryan+Hudson+Street%2C+MacGregor+ACT/
