,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,4 Linger Place ,-35.2078962,149.0577070,house,4,2,2,"$870,000",26 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341539870/4+Linger+Place%2C+Melba+ACT/
1,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,7 Orchard Place ,-35.2109139,149.0589036,house,4,2,3,"$769,000",23 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341501260/7+Orchard+Place%2C+Melba+ACT/
2,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,1/19 Carandini Street ,-35.2043535,149.0515686,townhouse,3,2,2,"$620,000",21 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341193160/1-19+Carandini+Street%2C+Melba+ACT/
3,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,7 Sampson Close ,-35.2052595,149.0547736,house,4,3,3,"$893,000",19 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341703160/7+Sampson+Close%2C+Melba+ACT/
4,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,13 Clifford Crescent ,-35.2067863,149.0635883,house,4,2,2,"$700,000",15 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341217060/13+Clifford+Crescent%2C+Melba+ACT/
5,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,73 Copland Drive ,-35.2100854,149.0609697,house,3,1,1,"$745,000",11 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341315960/73+Copland+Drive%2C+Melba+ACT/
6,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,3/11 Henslowe Place ,-35.2076170,149.0518385,townhouse,3,2,2,"$650,000",9 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341651960/3-11+Henslowe+Place%2C+Melba+ACT/
7,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,7 Keats Place ,-35.2048417,149.0528300,house,5,3,4,"$955,000",2 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341367760/7+Keats+Place%2C+Melba+ACT/
8,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,134 Kingsford Smith Drive ,-35.2033004,149.0559984,house,3,1,2,"$675,000",27 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341173760/134+Kingsford+Smith+Drive%2C+Melba+ACT/
9,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,32 Scarlett Street ,-35.2114726,149.0562704,house,4,2,2,"$725,000",16 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341226450/32+Scarlett+Street%2C+Melba+ACT/
10,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,4 Horsley Crescent ,-35.2121081,149.0565390,house,4,2,4,"$820,000",11 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341975350/4+Horsley+Crescent%2C+Melba+ACT/
11,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,4/11 Henslowe Place ,-35.2076170,149.0518385,townhouse,3,2,2,"$670,000",10 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341764350/4-11+Henslowe+Place%2C+Melba+ACT/
12,2615,Melba,52,https://www.auhouseprices.com/sold/list/ACT/2615/Melba/,13/48 Conley Drive ,-35.2160253,149.0489441,townhouse,3,1,1,"$493,000",7 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341565350/13-48+Conley+Drive%2C+Melba+ACT/
