,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,12 Moore Street ,-35.3458974,149.2297097,house,3,1,1,"$742,000",24 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341527370/12+Moore+Street%2C+Queanbeyan+NSW/
1,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,4/2 McIntosh Street ,-35.3572783,149.2243460,townhouse,2,2,1,"$455,000",24 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341129370/4-2+McIntosh+Street%2C+Queanbeyan+NSW/
2,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,29/85 Derrima Road ,-35.3434601,149.2212521,unit,2,1,1,"$218,000",23 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341539370/29-85+Derrima+Road%2C+Queanbeyan+NSW/
3,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,12 Granville Close Greenleigh ,-35.3668245,149.2408264,house,4,2,6,"$1,210,000",23 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341784370/12+Granville+Close+Greenleigh%2C+Queanbeyan+NSW/
4,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,5 Naylor Street ,-35.3492461,149.2216779,house,4,2,2,"$731,000",23 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341937370/5+Naylor+Street%2C+Queanbeyan+NSW/
5,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,9/61 Donald Road ,-35.3622711,149.2238158,unit,2,1,1,"$240,000",19 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341031370/9-61+Donald+Road%2C+Queanbeyan+NSW/
6,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,31 Buttle Street ,-35.3522264,149.2449591,house,3,2,2,"$680,000",19 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341240270/31+Buttle+Street%2C+Queanbeyan+NSW/
7,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,34 Naylor Street ,-35.3509683,149.2214861,house,4,2,2,"$927,500",17 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341377270/34+Naylor+Street%2C+Queanbeyan+NSW/
8,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,51 Stornaway Road ,-35.3501761,149.2262752,house,3,1,2,"$720,000",16 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341444270/51+Stornaway+Road%2C+Queanbeyan+NSW/
9,2620,Queanbeyan,226,https://www.auhouseprices.com/sold/list/ACT/2620/Queanbeyan/,13D/17 Uriarra Road ,-35.3453952,149.2268760,unit,2,2,1,"$350,000",15 Mar 2021,https://www.auhouseprices.com/sold/view/NSW/341020170/13D-17+Uriarra+Road%2C+Queanbeyan+NSW/
