,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,30 Woollum Crescent ,-35.3460676,149.0322687,house,3,1,1,"$758,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341681370/30+Woollum+Crescent%2C+Rivett+ACT/
1,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,275 Hindmarsh Drive ,-35.3428991,149.0357321,house,4,2,2,"$861,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341929970/275+Hindmarsh+Drive%2C+Rivett+ACT/
2,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,8/5 Tristania Street ,-35.3420365,149.0473213,unit,2,1,1,"$435,000",22 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341317160/8-5+Tristania+Street%2C+Rivett+ACT/
3,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,3 Melia Place ,-35.3481791,149.0342912,house,3,1,2,"$670,000",19 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341591160/3+Melia+Place%2C+Rivett+ACT/
4,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,12 Diselma Place ,-35.3521178,149.0354133,house,3,1,2,"$652,000",12 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341064060/12++Diselma+Place%2C+Rivett+ACT/
5,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,44 Rapanea Street ,-35.3469712,149.0423041,house,4,2,2,"$770,000",9 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341191960/44+Rapanea+Street%2C+Rivett+ACT/
6,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,7 Melia Place ,-35.3484042,149.0343078,house,3,1,2,"$619,000",5 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341985860/7+Melia+Place%2C+Rivett+ACT/
7,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,42 Angophora Street ,-35.3470705,149.0337462,house,3,1,2,"$726,000",5 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341215860/42+Angophora+Street%2C+Rivett+ACT/
8,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,17 Marlock Street ,-35.3460591,149.0439976,house,3,1,2,"$634,000",25 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341703660/17+Marlock+Street%2C+Rivett+ACT/
9,2611,Rivett,50,https://www.auhouseprices.com/sold/list/ACT/2611/Rivett/,57 Croton Street ,-35.3442273,149.0355715,house,4,2,2,"$785,000",14 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341703450/57+Croton+Street%2C+Rivett+ACT/
