,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,31 Guthridge Crescent ,-35.4013925,149.0877396,house,3,1,2,"$793,000",13 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341289170/31+Guthridge+Crescent%2C+Wanniassa+ACT/
1,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,11 Bailes Court ,-35.4018774,149.0852417,house,3,1,2,"$606,000",12 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341509170/11+Bailes+Court%2C+Wanniassa+ACT/
2,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,15 Snowden Place ,-35.4065189,149.0879159,house,3,1,3,"$720,000",6 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341227070/15+Snowden+Place%2C+Wanniassa+ACT/
3,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,51 Mcwhae Circuit ,-35.4011443,149.1025640,house,3,1,2,"$710,000",6 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341057070/51+Mcwhae+Circuit%2C+Wanniassa+ACT/
4,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,61 Guthridge Crescent ,-35.4022704,149.0906690,house,4,3,2,"$942,000",5 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341119070/61+Guthridge+Crescent%2C+Wanniassa+ACT/
5,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,14 Morrisey Street ,-35.3970698,149.0775542,house,4,2,3,"$752,000",4 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341004070/14+Morrisey+Street%2C+Wanniassa+ACT/
6,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,7/81 McWhae Circuit ,-35.4012348,149.1004273,townhouse,2,2,1,"$470,000",3 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341498970/7-81+McWhae+Circuit%2C+Wanniassa+ACT/
7,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,3 Harbison Crescent ,-35.3957056,149.0985804,house,4,2,2,"$900,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341872970/3+Harbison+Crescent%2C+Wanniassa+ACT/
8,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,15 Holden Crescent ,-35.3954834,149.0911213,house,4,2,2,"$848,000",13 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341699670/15+Holden+Crescent%2C+Wanniassa+ACT/
9,2903,Wanniassa,90,https://www.auhouseprices.com/sold/list/ACT/2903/Wanniassa/,43 McBryde Crescent ,-35.4070049,149.0879615,house,3,1,2,"$630,000",11 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341385670/43+McBryde+Crescent%2C+Wanniassa+ACT/
