,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,15 Meldrum Street ,-35.3344774,149.0560712,house,3,2,1,"$962,000",25 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341920370/15+Meldrum+Street%2C+Weston+ACT/
1,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,112 McInnes Street ,-35.3376102,149.0595061,house,3,2,1,"$870,000",20 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341070270/112+McInnes+Street%2C+Weston+ACT/
2,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,35 Chevalier Street ,-35.3451687,149.0592689,house,5,1,2,"$935,000",27 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341922970/35+Chevalier+Street%2C+Weston+ACT/
3,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,54 McInnes Street ,-35.3432135,149.0597364,house,4,2,2,"$1,200,000",20 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341002870/54+McInnes+Street%2C+Weston+ACT/
4,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,46 Heysen Street ,-35.3322443,149.0596230,house,4,1,1,"$627,000",5 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341364860/46+Heysen+Street%2C+Weston+ACT/
5,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,8 Bryant Place ,-35.3444884,149.0600438,house,3,1,1,"$739,000",28 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341211760/8+Bryant+Place%2C+Weston+ACT/
6,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,4 Conder Street ,-35.3409802,149.0579670,house,3,1,1,"$565,000",28 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341070760/4+Conder+Street%2C+Weston+ACT/
7,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,9 Backler Place ,-35.3433830,149.0550757,house,2,1,1,"$552,000",7 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341990250/9+Backler+Place%2C+Weston+ACT/
8,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,37 McInnes Street ,-35.3438355,149.0607974,house,4,2,3,"$1,216,000",31 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341228150/37+McInnes+Street%2C+Weston+ACT/
9,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,24 Fullwood Street ,-35.3348126,149.0607333,house,3,1,3,"$755,000",30 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341178150/24+Fullwood+Street%2C+Weston+ACT/
10,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,5 Gray Place ,-35.3464686,149.0633950,house,4,2,2,"$1,005,000",17 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341761950/5+Gray+Place%2C+Weston+ACT/
11,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,22 Rubbo Crescent ,-35.3420023,149.0652068,house,4,2,1,"$935,000",30 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341506650/22+Rubbo+Crescent%2C+Weston+ACT/
12,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,3 Souter Place ,-35.3354640,149.0578500,house,3,1,3,"$716,000",19 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341969440/3+Souter+Place%2C+Weston+ACT/
13,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,13 Shore Place ,-35.3325564,149.0566496,house,4,1,2,"$752,000",15 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341140340/13+Shore+Place%2C+Weston+ACT/
14,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,16 Heysen Street ,-35.3304800,149.0562890,house,3,1,3,"$715,000",ep 2020,https://www.auhouseprices.com/sold/view/ACT/341139140/16+Heysen+Street%2C+Weston+ACT/
15,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,25 Rubbo Crescent ,-35.3417119,149.0653204,house,4,3,2,"$1,210,000",29 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341024140/25+Rubbo+Crescent%2C+Weston+ACT/
16,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,11 Meldrum Street ,-35.3348130,149.0559477,house,3,1,1,"$732,500",22 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341893040/11+Meldrum+Street%2C+Weston+ACT/
17,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,35 Hilder Street ,-35.3366970,149.0570800,house,3,1,1,"$607,500",8 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341514840/35+Hilder+Street%2C+Weston+ACT/
18,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,1 Lycett Street ,-35.3362711,149.0550275,house,3,1,1,"$700,000",5 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341560840/1+Lycett+Street%2C+Weston+ACT/
19,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,28 Wakelin Circuit ,-35.3470269,149.0660719,house,3,2,4,"$725,000",28 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341338640/28+Wakelin+Circuit%2C+Weston+ACT/
20,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,4 Mather Street ,-35.3402913,149.0582320,house,3,1,2,"$711,000",22 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341056540/4+Mather+Street%2C+Weston+ACT/
21,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,31 Folingsby Street ,-35.3432997,149.0615540,house,4,2,1,"$765,000",8 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341420429/31+Folingsby+Street%2C+Weston+ACT/
22,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,14 Preston Street ,-35.3312800,149.0553600,house,3,1,1,"$632,000",20 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341011329/14+Preston+Street%2C+Weston+ACT/
23,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,15/1 Bellette Street ,-35.3332329,149.0613225,townhouse,3,2,2,"$665,000",16 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341317540/15-1+Bellette+Street%2C+Weston+ACT/
24,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,48 Wakelin Circuit ,-35.3460766,149.0641772,house,4,2,2,"$810,000",27 May 2020,https://www.auhouseprices.com/sold/view/ACT/341833029/48+Wakelin+Circuit%2C+Weston+ACT/
25,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,13 Peg Minty Crescent ,-35.3256392,149.0552245,townhouse,2,1,2,"$565,000",21 May 2020,https://www.auhouseprices.com/sold/view/ACT/341636929/13+Peg+Minty+Crescent%2C+Weston+ACT/
26,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,16 Ironside Street ,-35.3404738,149.0596889,house,3,1,2,"$655,000",19 May 2020,https://www.auhouseprices.com/sold/view/ACT/341032929/16+Ironside+Street%2C+Weston+ACT/
27,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,16 Gritten Street ,-35.3377915,149.0578605,house,3,1,1,"$699,000",15 May 2020,https://www.auhouseprices.com/sold/view/ACT/341308829/16+Gritten++Street%2C+Weston+ACT/
28,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,28 Lycett Street ,-35.3361137,149.0584450,house,3,1,1,"$660,000",8 May 2020,https://www.auhouseprices.com/sold/view/ACT/341541829/28+Lycett+Street%2C+Weston+ACT/
29,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,37 Hilder Street ,-35.3367011,149.0573048,house,3,1,4,"$720,000",May 2020,https://www.auhouseprices.com/sold/view/ACT/341072729/37+Hilder+Street%2C+Weston+ACT/
30,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,8 Rowell Place ,-35.3350615,149.0593534,house,5,2,5,"$875,000",30 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341470729/8+Rowell+Place%2C+Weston+ACT/
31,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,40 Rubbo Crescent ,-35.3435876,149.0663364,house,4,2,2,"$790,000",29 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341799629/40+Rubbo+Crescent%2C+Weston+ACT/
32,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,8 Gruner Street ,-35.3353876,149.0550272,house,3,1,1,"$645,000",6 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341849419/8+Gruner+Street%2C+Weston+ACT/
33,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,18/7 Watling Place ,-35.3435546,149.0534839,townhouse,2,1,1,"$440,000",19 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341401019/18-7+Watling+Place%2C+Weston+ACT/
34,2611,Weston,45,https://www.auhouseprices.com/sold/list/ACT/2611/Weston/,64 Gruner Street ,-35.3316822,149.0582226,house,4,1,1,"$675,000",13 Feb 2020,https://www.auhouseprices.com/sold/view/ACT/341224819/64+Gruner+Street%2C+Weston+ACT/
