,Postcode,Suburb Name,Recent Sales,Suburb Link,Street Address,Latitude,Longitude,Property Type,Beds,Baths,Cars,Sold Price,Sold Date,Property Link
0,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,3/51 Musgrave Street ,-35.3033178,149.1053957,townhouse,3,2,2,"$1,040,000",27 Mar 2021,https://www.auhouseprices.com/sold/view/ACT/341491470/3-51+Musgrave+Street%2C+Yarralumla+ACT/
1,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,3/5 Kintore Crescent ,-35.3127186,149.0988906,townhouse,3,2,2,"$1,247,000",12 Feb 2021,https://www.auhouseprices.com/sold/view/ACT/341907670/3-5+Kintore+Crescent%2C+Yarralumla+ACT/
2,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,87 Schlich Street ,-35.3043920,149.1054344,house,4,2,2,"$1,610,000",19 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341761160/87+Schlich+Street%2C+Yarralumla+ACT/
3,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,2 Strahan Row ,-35.3081860,149.1024281,townhouse,3,2,2,"$1,300,000",17 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341958060/2++Strahan+Row%2C+Yarralumla+ACT/
4,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,19 Mueller Street ,-35.3089959,149.0993730,house,4,2,2,"$2,250,000",17 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341782260/19+Mueller+Street%2C+Yarralumla+ACT/
5,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,14/41 Hampton Circuit ,-35.3105866,149.1105374,apartment,1,1,1,"$398,000",14 Dec 2020,https://www.auhouseprices.com/sold/view/ACT/341752060/14-41+Hampton+Circuit%2C+Yarralumla+ACT/
6,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,5/51 Hampton Circuit ,-35.3110716,149.1090829,apartment,1,1,1,"$260,000",24 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341296660/5-51+Hampton+Circuit%2C+Yarralumla+ACT/
7,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,4 Hill Corner ,-35.3103689,149.0955812,house,4,2,2,"$1,550,000",20 Nov 2020,https://www.auhouseprices.com/sold/view/ACT/341793560/4+Hill+Corner%2C+Yarralumla+ACT/
8,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,1/3 Rodway Street ,-35.3119302,149.0991246,townhouse,3,2,2,"$1,320,000",15 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341879850/1-3+Rodway+Street%2C+Yarralumla+ACT/
9,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,11/65 Musgrave Street ,-35.3025772,149.1052164,townhouse,3,3,1,"$1,540,000",14 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341018850/11-65+Musgrave+Street%2C+Yarralumla+ACT/
10,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,26 Irwin Street ,-35.3089788,149.1101943,house,4,2,2,"$2,560,000",10 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341949750/26+Irwin+Street%2C+Yarralumla+ACT/
11,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,6 Broome Crescent ,-35.3054407,149.1047467,house,5,3,2,"$2,658,000",10 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341661850/6+Broome+Crescent%2C+Yarralumla+ACT/
12,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,11 Schomburgk Street ,-35.3092069,149.0939676,house,4,3,2,"$1,620,000",10 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341193950/11+Schomburgk+Street%2C+Yarralumla+ACT/
13,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,3/49 Hampton Circuit ,-35.3109940,149.1094042,townhouse,3,2,2,"$1,060,000",8 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341606750/3-49+Hampton+Circuit%2C+Yarralumla+ACT/
14,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,7/47 Hampton Circuit ,-35.3109161,149.1097277,unit,1,1,1,"$260,000",6 Oct 2020,https://www.auhouseprices.com/sold/view/ACT/341623750/7-47+Hampton+Circuit%2C+Yarralumla+ACT/
15,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,16/41 Hampton Circuit ,-35.3105866,149.1105374,apartment,1,1,1,"$387,000",30 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341166650/16-41+Hampton+Circuit%2C+Yarralumla+ACT/
16,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,26 Lane-Poole Place ,-35.3071814,149.0897984,house,4,4,4,"$1,665,000",25 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341356550/26+Lane-Poole+Place%2C+Yarralumla+ACT/
17,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,28 Hutchins Street ,-35.3066728,149.0971355,house,3,1,2,"$1,400,000",5 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341558240/28+Hutchins+Street%2C+Yarralumla+ACT/
18,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,7 Broome Crescent ,-35.3056526,149.1044883,house,3,2,2,"$1,325,000",3 Sep 2020,https://www.auhouseprices.com/sold/view/ACT/341704240/7+Broome+Crescent%2C+Yarralumla+ACT/
19,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,8 Turner Place ,-35.3029134,149.0971484,house,5,3,2,"$2,582,500",29 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341206140/8+Turner+Place%2C+Yarralumla+ACT/
20,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,32 Banks Street ,-35.3053500,149.0958000,house,2,1,1,"$1,500,000",29 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341885140/32+Banks+Street%2C+Yarralumla+ACT/
21,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,2 Arkana Street ,-35.3063660,149.1095300,house,4,2,2,"$1,762,500",22 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341214040/2+Arkana+Street%2C+Yarralumla+ACT/
22,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,23B Hutchins Street ,-35.3088000,149.0967000,townhouse,3,2,2,"$1,750,000",22 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341504040/23B+Hutchins+Street%2C+Yarralumla+ACT/
23,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,31 Guilfoyle Street ,-35.3116151,149.1047968,house,5,3,2,"$1,900,000",21 Aug 2020,https://www.auhouseprices.com/sold/view/ACT/341806040/31+Guilfoyle+Street%2C+Yarralumla+ACT/
24,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,55 Schlich Street ,-35.3040096,149.1025432,house,3,2,2,"$1,270,000",31 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341062740/55+Schlich+Street%2C+Yarralumla+ACT/
25,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,9 MacDonnell Street ,-35.3100430,149.1075825,house,3,1,1,"$1,350,000",8 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341540429/9+MacDonnell+Street%2C+Yarralumla+ACT/
26,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,1/66 Mueller Street ,-35.3049551,149.0998655,house,3,1,2,"$955,000",8 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341200429/1-66+Mueller+Street%2C+Yarralumla+ACT/
27,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,13/47 Hampton Circuit ,-35.3109161,149.1097277,apartment,1,1,1,"$262,000",2 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341914429/13-47+Hampton+Circuit%2C+Yarralumla+ACT/
28,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,4 Maiden Street ,-35.3036042,149.1020202,house,4,2,3,"$2,200,000",2 Jul 2020,https://www.auhouseprices.com/sold/view/ACT/341574429/4+Maiden+Street%2C+Yarralumla+ACT/
29,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,22 Denman Street ,-35.3108290,149.0937550,house,6,4,2,"$3,050,000",29 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341501529/22+Denman+Street%2C+Yarralumla+ACT/
30,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,16 Schlich Street ,-35.3039970,149.0986500,house,5,2,2,"$2,300,000",6 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341233129/16+Schlich+Street%2C+Yarralumla+ACT/
31,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,91 Schlich Street ,-35.3044320,149.1061400,house,4,2,3,"$1,320,000",6 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341063129/91+Schlich+Street%2C+Yarralumla+ACT/
32,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,87A Hopetoun Circuit ,-35.3065660,149.1063925,house,4,2,2,"$1,850,000",2 Jun 2020,https://www.auhouseprices.com/sold/view/ACT/341720029/87A+Hopetoun+Circuit%2C+Yarralumla+ACT/
33,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,16 Schomburgk Street ,-35.3087198,149.0945049,house,3,1,2,"$1,257,000",21 May 2020,https://www.auhouseprices.com/sold/view/ACT/341145029/16+Schomburgk+Street%2C+Yarralumla+ACT/
34,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,59 Schlich Street ,-35.3041393,149.1028655,house,5,2,1,"$1,285,000",12 May 2020,https://www.auhouseprices.com/sold/view/ACT/341433829/59+Schlich+Street%2C+Yarralumla+ACT/
35,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,37 Weston Street ,-35.3097189,149.1029000,house,4,3,2,"$1,525,000",4 May 2020,https://www.auhouseprices.com/sold/view/ACT/341453729/37+Weston+Street%2C+Yarralumla+ACT/
36,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,11 Fraser Place ,-35.3120151,149.0968225,duplex-semi-detached,2,1,1,"$890,000",9 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341892519/11+Fraser+Place%2C+Yarralumla+ACT/
37,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,22 Weld Street ,-35.3071528,149.1084093,house,4,2,2,"$2,850,000",2 Apr 2020,https://www.auhouseprices.com/sold/view/ACT/341485419/22+Weld+Street%2C+Yarralumla+ACT/
38,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,27 Mueller Street ,-35.3082206,149.0993750,house,5,3,2,"$1,960,000",27 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341658319/27+Mueller+Street%2C+Yarralumla+ACT/
39,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,4/5 Kintore Crescent ,-35.3127186,149.0988906,townhouse,3,2,2,"$980,000",25 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341514319/4-5+Kintore+Crescent%2C+Yarralumla+ACT/
40,2600,Yarralumla,60,https://www.auhouseprices.com/sold/list/ACT/2600/Yarralumla/,14 Bailey Place ,-35.3010642,149.0966938,house,4,3,2,"$2,180,000",24 Mar 2020,https://www.auhouseprices.com/sold/view/ACT/341423319/14+Bailey+Place%2C+Yarralumla+ACT/
